plot_ID,DBH_cm,canopy_condition,DH,WH,bark,ES,BS,bark_blonding,species,notes
HRgap1,14.9,5,NO,NO,NO,NO,NO,,FRAM,
HRgap1,34.3,2,NO,NO,NO,NO,NO,,FRAM,
HRgap1,16.1,2,NO,NO,NO,NO,NO,,FRAM,
HRgap1,40.4,1,NO,NO,NO,NO,NO,,FRAM,
HRgap1,42.5,1,NO,NO,NO,NO,NO,,FRAM,
HRgap1,30.2,1,NO,NO,NO,NO,NO,,FRAM,
HRgap2,35.9,2,NO,NO,YES,NO,NO,,FRAM,
HRgap2,26.1,2,NO,NO,NO,NO,NO,,FRAM,
HRgap2,41,2,NO,NO,YES,NO,NO,,FRAM,
HRgap2,31.4,2,NO,NO,NO,NO,NO,,FRAM,
HRgap3,I,1,NO,NO,NO,NO,NO,,FRAM,
HRunh1,19.6,1,NO,NO,NO,NO,NO,,FRAM,
HRunh1,12.7,3,NO,NO,NO,NO,YES,,FRAM,
HRunh1,15.8,2,NO,NO,NO,NO,NO,,FRAM,
HRunh1,16,2,NO,NO,NO,NO,NO,,FRAM,
HRunh2,23.7,2,NO,NO,NO,NO,NO,,FRAM,
CH145unh2,33.2,2,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh2,27.8,2,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh2,25.1,2,NO,NO,NO,YES,NO,NO,FRAM,
CH145unh2,36.1,1,NO,NO,NO,NO,NO,YES,FRAM,
CH145unh2,37.9,1,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh2,26,1,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh2,30.2,1,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh2,26.5,2,NO,NO,NO,NO,NO,NO,FRAM,
HRunh3,12.5,1,NO,NO,NO,NO,NO,,FRAM,
HRunh3,61.2,2,NO,NO,NO,NO,NO,,FRAM,
HRunh3,III,2,NO,NO,NO,NO,NO,,FRAM,
CH145unh3,37.9,1,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh3,26.2,3,NO,NO,NO,YES,NO,YES,FRAM,
CH145unh3,35.1,2,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh3,37.4,1,NO,NO,NO,YES,NO,YES,FRAM,
CH145unh3,33.4,2,NO,NO,NO,YES,NO,NO,FRAM,
HRunh4,32.7,1,NO,NO,NO,NO,NO,,FRAM,
HRunh4,12.8,1,NO,NO,NO,NO,NO,,FRAM,
HRunh4,32.6,1,NO,NO,NO,NO,NO,,FRAM,
HRunh4,51.4,2,NO,NO,NO,NO,NO,,FRAM,
HRmat2,51.7,1,NO,NO,NO,NO,NO,NO,FRAM,
HRmat3,33.2,2,NO,NO,NO,NO,NO,NO,FRAM,
HRmat3,32,1,NO,NO,NO,NO,NO,NO,FRAM,
HRmat3,20.7,2,NO,NO,NO,NO,NO,YES,FRAM,
HRmat3,24.9,1,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh4,23,4,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh4,42.3,1,NO,NO,NO,NO,NO,YES,FRAM,
CH145unh4,28.2,2,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh4,27.1,2,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh4,21.2,2,NO,NO,NO,YES,NO,NO,FRAM,
CH145unh4,28.7,2,NO,NO,NO,YES,NO,YES,FRAM,
CH145unh4,28.7,2,NO,NO,NO,NO,NO,YES,FRAM,
CH145unh4,24.9,2,NO,NO,NO,NO,NO,YES,FRAM,
CH145unh4,35.3,2,NO,NO,NO,YES,NO,NO,FRAM,
CH145unh4,30.4,1,NO,NO,NO,NO,NO,YES,FRAM,
CH145unh4,21.7,1,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh4,30.1,1,NO,NO,NO,NO,NO,YES,FRAM,
CH145unh4,17.7,2,NO,NO,NO,YES,NO,NO,FRAM,
CH145unh4,31,2,NO,NO,NO,NO,NO,YES,FRAM,
CH145unh4,28.6,2,NO,NO,NO,YES,NO,NO,FRAM,
CH145unh4,33.3,1,NO,NO,NO,NO,NO,NO,FRAM,
CH145unh4,39.6,2,NO,NO,NO,NO,NO,YES,FRAM,
CH2214unh1,27.7,?,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh1,29.2,4,YES,NO,YES,NO,NO,NO,FRAM,
CH2214unh1,28.2,2,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh1,39.8,1,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh1,26.9,5,NO,NO,NO,NO,NO,NO,FRAM,snag
CH2214unh1,31.4,5,NO,YES,YES,NO,NO,NO,FRAM,snag?
CH2214unh1,39.3,2,NO,YES,NO,NO,NO,NO,FRAM,
CH2214unh1,32.2,2,NO,NO,NO,YES,NO,NO,FRAM,
CH2214unh2,40.3,1,NO,NO,NO,NO,NO,YES,FRAM,
CH2214unh2,11.5,2,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh2,38.1,1,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh2,23.3,1,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh2,30.3,2,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh2,30,1,NO,NO,NO,NO,NO,YES,FRAM,
CH2214unh3,51.3,2,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh3,21.1,1,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh3,49.4,2,NO,NO,NO,YES,NO,NO,FRAM,Same tree
CH2214unh3,38.1,2,NO,NO,NO,YES,NO,NO,FRAM,Same tree
CH2214unh3,12.2,2,NO,NO,NO,YES,NO,NO,FRAM,
CH2214unh3,16.3,2,NO,NO,NO,NO,NO,NO,FRAM,
CH2214unh3,21.8,2,NO,NO,YES,NO,NO,NO,FRAM,
CH2214unh3,14.4,2,NO,NO,NO,NO,NO,NO,FRAM,
CH138mat1,38.8,3,NO,NO,NO,YES,NO,YES,FRAM,Patches of blondin bark on most
CH138mat1,37.1,1,NO,NO,NO,NO,NO,YES,FRAM,Patches of blondin bark on most; some bark missing @ bottom
CH138mat1,52.8,3,NO,NO,NO,NO,NO,YES,FRAM,Patches of blondin bark on most
CH138mat1,38.7,1,NO,NO,NO,NO,NO,YES,FRAM,Patches of blondin bark on most
MP19mat1,31.5,1,NO,NO,NO,NO,NO,YES,FRAM,
MP19mat1,22.9,2,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,13.6,2,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,19.5,2,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,19.2,2,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,29.4,1,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,14.5,1,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,26,1,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,12.1,2,NO,NO,NO,yes,NO,NO,FRAM,from bending
MP19mat1,17.9,1,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat1,14.8,1,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat2,25.5,3,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat2,20,2,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat2,22.2,2,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat2,16.2,2,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat2,17.5,1,NO,NO,NO,NO,NO,NO,FRAM,
MP19mat2,26.1,1,NO,NO,NO,NO,NO,NO,FRAM,
MP1314gap1,II,2,NO,NO,NO,NO,NO,NO,FRAM,
MP1314mat1,50.5,1,NO,NO,NO,NO,NO,NO,FRAM,
MP1314mat1,31.8,1,NO,NO,NO,NO,NO,NO,FRAM,
MP1314mat1,38,1,NO,NO,NO,NO,NO,NO,FRAM,
MP1314mat1,43.2,2,NO,NO,NO,NO,NO,NO,FRAM,
MP1314gap2,III,1,NO,NO,NO,NO,NO,NO,FRAM,
MP1314gap2,II,1,NO,NO,NO,NO,YES,NO,FRAM,
MP1314gap2,I,1,NO,NO,NO,NO,NO,NO,FRAM,
MP1314gap2,I,1,NO,NO,NO,NO,NO,NO,FRAM,
MP1314gap3,39,3,NO,NO,NO,YES,NO,NO,FRAM,
MP1314gap3,38.2,2,NO,NO,NO,YES,NO,NO,FRAM,
CH138mat2,41.1,2,NO,NO,NO,NO,NO,NO,FRAM,
CH138mat3,48,2,NO,NO,NO,NO,NO,NO,FRAM,
CH138mat3,20.3,1,NO,NO,NO,YES,NO,NO,FRAM,
CH138mat3,35.9,2,NO,NO,NO,YES,NO,NO,FRAM,
CH138mat3,34.9,3,NO,NO,NO,NO,NO,NO,FRAM,
CH138mat3,34.6,?,NO,NO,NO,NO,YES,NO,FRAM,
