plot_ID,azimuth,species,diam_cm,decay_class,
HRgap1,0,UNK,21,3,
HRgap1,0,UNK,5,3,
HRgap1,0,UNK,22,5,
HRgap1,0,BEPA,11.6,3,
HRgap1,120,UNK,5.4,3,
Hrgap2,0,UNK,16.5,4,
HRgap2,0,UNK,9.3,3,
HRgap2,120,UNK,25.1,4,
HRgap2,120,UNK,33.2,4,
HRgap2,120,FAGR,39.4,3,
HRgap2,240,FAGR,25.2,3,
HRmat1,120,OSVI,6.6,2,*
HRmat1,240,OSVI,5.1,2,same tree 
HRmat1,0,BEPA,18.9,3,
HRmat1,0,BEPA,21,5,
HRgap3,120,BEAL,4.8,1,
HRgap3,120,BEAL,7.2,3,
HRunh1,120,BEPA,16.3,3,
HRunh1,120,ACRU,19.3,1,
HRunh1,120,ACRU,19.1,1,
HRunh1,120,ACRU,5.4,1,
HRunh1,120,ACRU,8,1,
HRunh1,120,BEPA,20.5,5,
HRunh1,0,BEPA,20.9,3,
HRunh1,0,BEPA,17.3,3,
HRunh1,0,UNK,9.8,4,
HRunh1,0,ACPE,9,1,
HRunh1,0,ACPE,6.1,1,
HRunh1,240,ACPE,9.1,1,
HRunh1,240,UNK,17.5,3,
HRunh2,240,PIRU,5.2,1,
HRunh2,240,PIRU,2,2,
HRunh2,0,PIRU,10,3,
HRunh2,0,UNK,13.1,4,
HRunh2,0,BEPA,16.7,3,
CH145unh2,0,UNK,7.4,3,
HRunh3,120,UNK,9,3,
HRunh3,120,UNK,4.4,3,
HRunh3,0,ACSA,5.5,3,
CH145unh3,0,UNK,20.7,4,
CH145unh3,120,UNK,9.9,3,
CH145unh3,240,ACSA,6.4,3,
HRunh4,240,PIRU,6.5,3,
HRunh4,240,PIRU,4,2,
HRunh4,240,UNK,17.3,4,
HRunh4,0,ACSA,13.1,2,
HRunh4,0,UNK,7.1,3,
HRunh4,0,UNK,6.6,2,
HRunh4,120,UNK,33,5,
HRmat2,240,ACPE,2,2,
CH145unh4,0,UNK,23.1,3,
CH145unh4,120,UNK,10.7,5,
CH145unh4,120,UNK,11.4,5,
CH145unh4,120,UNK,12.7,5,
CH145unh4,240,UNK,13.5,4,
HRmat3,0,PIRU,8.8,2,
HRmat3,240,PIRU,8.4,1,
HRmat3,240,unk,10.4,3,SAME
HRmat3,240,unk,6.8,3,SAME
CH2214unh1,0,UNK,10.6,5,
CH2214unh1,120,UNK,11.8,5,
CH2214unh1,120,ACSA,7.7,2,
CH2214unh1,240,UNK,8.6,3,
CH2214unh2,0,UNK,6.9,5,
CH2214unh2,0,BESP,9.5,2,
CH2214unh2,0,UNK,10.8,5,
CH2214unh2,120,UNK,26.9,3,
CH2214unh2,120,UNK,14.7,4,
CH2214unh2,240,ACSA,7.9,3,
CH2214unh3,0,UNK,5.4,3,
CH2214unh3,120,UNK,8.9,4,
CH2214unh3,240,ACPE,7.6,2,
CH2214unh3,240,BEPA,13.7,4,
CH2214unh3,240,BEPA,6.5,3,
MP19gap1,240,UNK,15,4,
MP19gap1,240,UNK,7.9,3,
MP19gap1,240,ACRU,12.9,2,
MP19gap1,120,UNK,13.9,3,
MP19gap1,120,ACSP,10.7,2,
MP19gap1,120,ACSP,10.6,2,
MP19gap1,120,ACSP,4.4,2,
MP19gap1,120,ACSP,12.3,4,
MP19gap1,120,UNK,7.9,2,
MP19gap1,120,ACSP,16.1,2,
MP19gap1,120,ACSP,6.4,2,
CH138mat1,0,UNK,23,5,
CH138mat1,0,UNK,31.7,3,
CH138mat1,0,UNK,7,2,
CH138mat1,120,UNK,26.9,3,
CH138mat1,120,UNK,11.9,4,
CH138mat1,240,UNK,27.5,3,
CH138mat1,240,UNK,19.4,3,
CH138mat1,240,UNK,36.2,3,
CH138gap1,240,UNK,14.7,3,
CH138gap1,240,UNK,15.6,3,
CH138gap1,120,FRAM,17.3,1,
CH138gap1,0,UNK,24.9,3,
CH138gap1,0,UNK,12.3,3,
CH138gap1,0,UNK,10.8,4,
CH138gap1,120,UNK,11.7,3,
CH138gap1,120,UNK,14.2,3,
CH138gap1,240,UNK,14.7,3,
CH138gap1,240,UNK,9.7,4,
CH138gap2,0,UNK,16,3,
CH138gap2,0,ACSA,9.9,3,
CH138gap2,240,UNK,11.1,3,
CH138gap2,240,UNK,7.8,3,
CH138gap2,240,UNK,9,3,
CH138gap2,120,UNK,5.7,4,
MP19mat1,0,UNK,20.7,5,
MP19mat1,120,UNK,16.4,5,
MP19mat1,120,UNK,25.1,5,
MP19mat1,240,UNK,11.7,5,
MP19gap2,0,ACSP,13.5,2,
MP19gap2,0,ACSP,24.1,2,
MP19gap2,0,ACSP,10.5,2,
MP19gap2,0,ACSP,8,2,
MP19gap2,0,ACSP,4.4,2,
MP19gap2,120,ACSP,12.3,3,
MP19gap2,120,ACSA,13,3,
MP19gap2,120,ACSA,7.9,2,
MP19mat2,0,UNK,17.9,5,
MP19mat2,120,ACSA,7,3,
MP19mat2,240,ACSA,4.7,3,
MP19mat2,240,UNK,14.4,4,
MP19gap3,0,UNK,8.4,3,
MP19gap3,0,UNK,13.1,2,
MP19gap3,0,UNK,7.5,2,
MP19gap3,0,UNK,7.5,3,
MP19gap3,120,UNK,21.6,3,
MP19gap3,120,UNK,15,4,
MP19gap3,120,UNK,6,3,
