plot_ID,azimuth,life_form,cover_class
HRgap1,60,H,3
HRgap1,60,F,3
HRgap1,60,B,1
HRgap1,60,S,0
HRgap1,60,C,6
HRgap1,180,H,3
HRgap1,180,F,2
HRgap1,180,B,1
HRgap1,180,S,2
HRgap1,180,C,6
HRgap1,300,H,4
HRgap1,300,F,3
HRgap1,300,B,0
HRgap1,300,S,0
HRgap1,300,C,6
HRgap2,60,H,4
HRgap2,60,F,2
HRgap2,60,B,3
HRgap2,60,S,0
HRgap2,60,C,6
HRgap2,180,H,4
HRgap2,180,F,0
HRgap2,180,B,3
HRgap2,180,S,1
HRgap2,180,C,6
HRgap2,300,H,4
HRgap2,300,F,1
HRgap2,300,B,5
HRgap2,300,S,3
HRgap2,300,C,5
HRmat1,60,H,4
HRmat1,60,F,0
HRmat1,60,B,3
HRmat1,60,S,2
HRmat1,60,C,6
HRmat1,180,H,5
HRmat1,180,F,2
HRmat1,180,B,0
HRmat1,180,S,0
HRmat1,180,C,6
HRmat1,300,H,4
HRmat1,300,F,2
HRmat1,300,B,2
HRmat1,300,S,2
HRmat1,300,C,6
HRgap3,60,H,3
HRgap3,60,F,4
HRgap3,60,B,3
HRgap3,60,S,2
HRgap3,60,C,6
HRgap3,180,H,5
HRgap3,180,F,3
HRgap3,180,B,0
HRgap3,180,S,0
HRgap3,180,C,5
HRgap3,300,H,5
HRgap3,300,F,0
HRgap3,300,B,0
HRgap3,300,S,1
HRgap3,300,C,6
HRunh1,60,H,3
HRunh1,60,F,5
HRunh1,60,B,2
HRunh1,60,S,0
HRunh1,60,C,5
HRunh1,180,H,3
HRunh1,180,F,5
HRunh1,180,B,0
HRunh1,180,S,1
HRunh1,180,C,5
HRunh1,300,H,3
HRunh1,300,F,5
HRunh1,300,B,3
HRunh1,300,S,0
HRunh1,300,C,5
HRunh2,60,H,3
HRunh2,60,F,2
HRunh2,60,B,3
HRunh2,60,S,0
HRunh2,60,C,6
HRunh2,180,H,2
HRunh2,180,F,0
HRunh2,180,B,1
HRunh2,180,S,0
HRunh2,180,C,6
HRunh2,300,H,3
HRunh2,300,F,1
HRunh2,300,B,2
HRunh2,300,S,0
HRunh2,300,C,6
CH145unh2,60,H,4
CH145unh2,60,F,4
CH145unh2,60,B,0
CH145unh2,60,S,0
CH145unh2,60,C,5
CH145unh2,180,H,3
CH145unh2,180,F,6
CH145unh2,180,B,0
CH145unh2,180,S,0
CH145unh2,180,C,5
CH145unh2,300,H,4
CH145unh2,300,F,6
CH145unh2,300,B,3
CH145unh2,300,S,0
CH145unh2,300,C,3
HRunh3,60,H,3
HRunh3,60,F,1
HRunh3,60,B,0
HRunh3,60,S,0
HRunh3,60,C,6
HRunh3,180,H,3
HRunh3,180,F,4
HRunh3,180,B,2
HRunh3,180,S,0
HRunh3,180,C,6
HRunh3,300,H,4
HRunh3,300,F,2
HRunh3,300,B,3
HRunh3,300,S,4
HRunh3,300,C,3
CH145unh3,60,H,1
CH145unh3,60,F,0
CH145unh3,60,B,0
CH145unh3,60,S,0
CH145unh3,60,C,6
CH145unh3,180,H,5
CH145unh3,180,F,0
CH145unh3,180,B,2
CH145unh3,180,S,0
CH145unh3,180,C,6
CH145unh3,300,H,3
CH145unh3,300,F,0
CH145unh3,300,B,0
CH145unh3,300,S,0
CH145unh3,300,C,6
HRunh4,60,H,2
HRunh4,60,F,4
HRunh4,60,B,3
HRunh4,60,S,4
HRunh4,60,C,5
HRunh4,180,H,4
HRunh4,180,F,4
HRunh4,180,B,3
HRunh4,180,S,2
HRunh4,180,C,5
HRunh4,300,H,4
HRunh4,300,F,0
HRunh4,300,B,2
HRunh4,300,S,0
HRunh4,300,C,6
HRmat2,60,H,3
HRmat2,60,F,5
HRmat2,60,B,0
HRmat2,60,S,0
HRmat2,60,C,6
HRmat2,180,H,2
HRmat2,180,F,6
HRmat2,180,B,2
HRmat2,180,S,0
HRmat2,180,C,5
HRmat2,300,H,3
HRmat2,300,F,3
HRmat2,300,B,3
HRmat2,300,S,0
HRmat2,300,C,6
CH145unh4,60,H,4
CH145unh4,60,F,4
CH145unh4,60,B,0
CH145unh4,60,S,0
CH145unh4,60,C,6
CH145unh4,180,H,3
CH145unh4,180,F,4
CH145unh4,180,B,0
CH145unh4,180,S,0
CH145unh4,180,C,5
CH145unh4,300,H,4
CH145unh4,300,F,3
CH145unh4,300,B,0
CH145unh4,300,S,0
CH145unh4,300,C,6
HRmat3,60,H,4
HRmat3,60,F,2
HRmat3,60,B,0
HRmat3,60,S,1
HRmat3,60,C,5
HRmat3,180,H,5
HRmat3,180,F,3
HRmat3,180,B,1
HRmat3,180,S,2
HRmat3,180,C,6
HRmat3,300,H,2
HRmat3,300,F,0
HRmat3,300,B,1
HRmat3,300,S,0
HRmat3,300,C,6
CH2214unh1,60,H,2
CH2214unh1,60,F,0
CH2214unh1,60,B,0
CH2214unh1,60,S,0
CH2214unh1,60,C,6
CH2214unh1,180,H,2
CH2214unh1,180,F,0
CH2214unh1,180,B,0
CH2214unh1,180,S,0
CH2214unh1,180,C,6
CH2214unh1,300,H,2
CH2214unh1,300,F,0
CH2214unh1,300,B,0
CH2214unh1,300,S,0
CH2214unh1,300,C,6
CH2214unh2,60,H,3
CH2214unh2,60,F,2
CH2214unh2,60,B,0
CH2214unh2,60,S,0
CH2214unh2,60,C,6
CH2214unh2,180,H,3
CH2214unh2,180,F,4
CH2214unh2,180,B,3
CH2214unh2,180,S,2
CH2214unh2,180,C,6
CH2214unh2,300,H,2
CH2214unh2,300,F,5
CH2214unh2,300,B,0
CH2214unh2,300,S,0
CH2214unh2,300,C,6
CH2214unh3,60,H,3
CH2214unh3,60,F,0
CH2214unh3,60,B,0
CH2214unh3,60,S,0
CH2214unh3,60,C,6
CH2214unh3,180,H,5
CH2214unh3,180,F,0
CH2214unh3,180,B,0
CH2214unh3,180,S,0
CH2214unh3,180,C,4
CH2214unh3,300,H,4
CH2214unh3,300,F,0
CH2214unh3,300,B,0
CH2214unh3,300,S,2
CH2214unh3,300,C,6
MP19gap1,60,H,5
MP19gap1,60,F,5
MP19gap1,60,B,0
MP19gap1,60,S,2
MP19gap1,60,C,4
MP19gap1,180,H,5
MP19gap1,180,F,3
MP19gap1,180,B,1
MP19gap1,180,S,0
MP19gap1,180,C,5
MP19gap1,300,H,5
MP19gap1,300,F,4
MP19gap1,300,B,1
MP19gap1,300,S,0
MP19gap1,300,C,6
CH138mat1,60,H,3
CH138mat1,60,F,0
CH138mat1,60,B,0
CH138mat1,60,S,0
