Genus,Species,Code,den0,den1,unc1,cod1,den2,unc2,cod2,den3,unc3,cod3,den4,unc4,cod4
Abies,amabilis,ABAM,0.4,0.356,0.02,B,0.382,0.014,B,0.301,0.06,B,0.239,0.336,C
Abies,balsamea,ABBA,0.34,0.356,0.024,B,0.414,0.014,B,0.412,0.058,B,0.286,0.336,C
Abies,bracteata,ABBR,0.36,0.367,0.024,B,0.354,0.029,B,0.301,0.06,B,0.239,0.336,C
Abies,concolor,ABCO,0.37,0.337,0.012,B,0.319,0.013,B,0.172,0.057,B,0.232,0.336,C
Abies,fraseri,ABFR,0.34,0.367,0.024,B,0.354,0.029,B,0.301,0.06,B,0.239,0.336,C
Abies,grandis,ABGR,0.35,0.338,0.01,B,0.338,0.013,B,0.32,0.057,B,0.239,0.336,C
Abies,lasiocarpa,ABLA,0.31,0.367,0.014,B,0.331,0.025,B,0.331,0.057,B,0.255,0.336,C
Abies,magnifica,ABMA,0.36,0.473,0.012,B,0.435,0.023,B,0.213,0.057,B,0.24,0.336,C
Abies,magnifica var. shastensis,ABMA2,0.36,0.367,0.024,B,0.354,0.029,B,0.301,0.06,B,0.239,0.336,C
Abies,procera,ABPR,0.37,0.364,0.01,B,0.309,0.012,B,0.334,0.057,B,0.252,0.336,C
Abies,species,ABIE,0.34,0.367,0.024,B,0.354,0.029,B,0.301,0.06,B,0.239,0.336,C
Acacia,species,ACSP2,0.6,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Acer,barbatum,ACBA,0.54,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,glabrum,ACGL,0.44,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,grandidentatum,ACGR,0.44,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,macrophyllum,ACMA,0.44,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,negundo,ACNE,0.44,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,nigrum,ACNI,0.52,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,pensylvanicum,ACPE,0.44,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,rubrum,ACRU,0.49,0.462,0.03,B,0.286,0.047,B,0.208,0.085,B,0.297,0.336,C
Acer,saccharinum,ACSA2,0.44,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,saccharum,ACSA,0.56,0.72,0.028,B,0.497,0.052,B,0.34,0.085,B,0.306,0.336,C
Acer,species,ACER,0.49,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Acer,spicatum,ACSP,0.44,0.568,0.048,B,0.415,0.053,B,0.295,0.087,B,0.297,0.336,C
Aesculus,californica,AECA,0.38,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
