FIA ID,Common name,Family,Genus,Species,Species group,Wood specific gravity,Bark specific gravity,gravity source,equation
0,conifers (general),,,,,,,,
10,fir spp.,Pinaceae,Abies,spp.,tf,0.357,0.375,,94
11,Pacific silver fir,Pinaceae,Abies,amabilis,tf,0.4,,,
12,balsam fir,Pinaceae,Abies,balsamea,tf,0.34,0.375,94,12
13,silver fir (Himalaya),Pinaceae,Abies,pindrow,tf,,,,
14,Bristlecone fir,Pinaceae,Abies,bracteata,tf,,,,
15,White fir,Pinaceae,Abies,concolor,tf,0.37,,,
16,Fraser fir,Pinaceae,Abies,fraseri,tf,0.34,0.4,,12
17,Grand fir,Pinaceae,Abies,grandis,tf,0.35,,,
18,Corkbark fir,Pinaceae,Abies,lasiocarpa var. arizonica,tf,0.28,,,
19,Subalpine fir,Pinaceae,Abies,lasiocarpa,tf,0.31,,,
20,California red fir,Pinaceae,Abies,magnifica,tf,0.37,,,
21,Shasta red fir,Pinaceae,Abies,magnifica var. shastensis,tf,0.37,,,
22,Noble fir,Pinaceae,Abies,procera,tf,0.37,,,
41,Port-Orford-cedar,Pinaceae,Chamaecyparis,lawsoniana,cl,0.39,,,
42,Alaska-cedar,Pinaceae,Chamaecyparis,nootkatensis,cl,0.42,,,
43,Atlantic white-cedar,Pinaceae,Chamaecyparis,thyoides,cl,0.31,0.4,,241
50,Cypress,Cupressaceae,Cupressus,spp.,wo,,,,
51,Arizona cypress,Cupressaceae,Cupressus,arizonica,wo,,,,
58,Pinchot juniper,Cupressaceae,Juniperus,pinchotti,wo,,,,
59,Redberry juniper,Cupressaceae,Juniperus,erythrocarpa,wo,,,,
60,Common juniper,Cupressaceae,Juniperus,communis,wo,0.44,0.4,,94
60,redcedar,Cupressaceae,Juniperus,spp.,cl,0.44,0.4,,241
62,California juniper,Cupressaceae,Juniperus,californica,wo,,,,
63,Alligator juniper,Cupressaceae,Juniperus,deppeana,wo,0.48,,,
64,Western juniper,Cupressaceae,Juniperus,occidentalis,wo,,,,
65,Utah juniper,Cupressaceae,Juniperus,osteosperma,wo,,,,
66,Rocky Mountain juniper,Cupressaceae,Juniperus,scopulorum,wo,0.44,0.4,,94
67,southern redcedar,Cupressaceae,Juniperus,silicicola,cl,0.44,0.4,,241
68,eastern redcedar,Cupressaceae,Juniperus,virginiana,cl,0.44,0.4,,241
69,Oneseed juniper,Cupressaceae,Juniperus,monosperma,wo,,,,
70,larch (introduced),Pinaceae,Larix,spp.,cl,0.48,0.4,,125
71,tamarack (native),Pinaceae,Larix,laricina,cl,0.49,0.4,,125
72,Subalpine larch,Pinaceae,Larix,lyallii,cl,0.48,,,
73,Western larch,Pinaceae,Larix,occidentalis,cl,0.48,,,
81,Incense-cedar,Cupressaceae,Calocedrus,decurrens,cl,0.35,,,
90,spruce,Pinaceae,Picea,spp.,sp,0.366,0.3,,94
91,Norway spruce,Pinaceae,Picea,abies,sp,0.38,0.4,,94
92,Brewer spruce,Pinaceae,Picea,breweriana,sp,,,,
93,Engelmann spruce,Pinaceae,Picea,engelmannii,sp,0.33,0.4,,94
94,white spruce,Pinaceae,Picea,glauca,sp,0.37,0.29,46,94
95,black spruce,Pinaceae,Picea,mariana,sp,0.38,0.351,94,95
96,blue spruce,Pinaceae,Picea,pungens,sp,0.38,0.4,,94
97,red spruce,Pinaceae,Picea,rubens,sp,0.38,0.32,,94
98,Sitka spruce,Pinaceae,Picea,sitchensis,sp,0.37,,,
100,pine spp.,Pinaceae,Pinus,spp.,pi,,,,
101,Whitebark pine,Pinaceae,Pinus,albicaulis,pi,,,,
102,Bristlecone pine,Pinaceae,Pinus,aristata,pi,,,,
103,Knobcone pine,Pinaceae,Pinus,attenuata,pi,,,,
104,Foxtail pine,Pinaceae,Pinus,balfouriana,pi,,,,
105,jack pine,Pinaceae,Pinus,banksiana,pi,0.4,0.34,94,105
