"","Year","Month","PAR"
"1","1800-1958",1,376.6
"2","1800-1958",2,499.01
"3","1800-1958",3,608.145
"4","1800-1958",4,707.6
"5","1800-1958",5,726.05
"6","1800-1958",6,726.67
"7","1800-1958",7,747.66
"8","1800-1958",8,708.465
"9","1800-1958",9,619.315
"10","1800-1958",10,509.925
"11","1800-1958",11,332.595
"12","1800-1958",12,297.185
"1981","1959",1,369.4
"1982","1959",2,464.1
"1983","1959",3,526.7
"1984","1959",4,746.1
"1985","1959",5,754.2
"1986","1959",6,734.3
"1987","1959",7,652.4
"1988","1959",8,712.2
"1989","1959",9,558
"1990","1959",10,479.8
"1991","1959",11,338.4
"1992","1959",12,362.8
"1993","1960",1,458.9
"1994","1960",2,462.8
"1995","1960",3,639
"1996","1960",4,685.6
"1997","1960",5,681.8
"1998","1960",6,750.6
"1999","1960",7,748.7
"2000","1960",8,763.6
"2001","1960",9,647.9
"2002","1960",10,564.5
"2003","1960",11,371.7
"2004","1960",12,358.2
"2005","1961",1,427
"2006","1961",2,485.1
"2007","1961",3,648.7
"2008","1961",4,583.4
"2009","1961",5,677.9
"2010","1961",6,728.4
"2011","1961",7,710.8
"2012","1961",8,673.3
"2013","1961",9,693.9
"2014","1961",10,522.3
"2015","1961",11,316.9
"2016","1961",12,272
"2017","1962",1,395.2
"2018","1962",2,423.7
"2019","1962",3,706.8
"2020","1962",4,689.9
"2021","1962",5,732.1
"2022","1962",6,787.6
"2023","1962",7,756.2
"2024","1962",8,706.1
"2025","1962",9,643.3
"2026","1962",10,432.6
"2027","1962",11,396.1
"2028","1962",12,364.8
"2029","1963",1,318.7
"2030","1963",2,546.4
"2031","1963",3,605.2
"2032","1963",4,706.9
"2033","1963",5,701.1
"2034","1963",6,780.2
"2035","1963",7,748.7
"2036","1963",8,624
"2037","1963",9,712.3
"2038","1963",10,675.3
"2039","1963",11,249.9
"2040","1963",12,378.1
"2041","1964",1,318.7
"2042","1964",2,535.2
"2043","1964",3,576.1
"2044","1964",4,664.4
"2045","1964",5,805.7
"2046","1964",6,839.4
"2047","1964",7,729.7
"2048","1964",8,697.9
"2049","1964",9,661.7
"2050","1964",10,559.3
"2051","1964",11,383.9
"2052","1964",12,238.8
"2053","1965",1,350.6
"2054","1965",2,473.9
"2055","1965",3,639
"2056","1965",4,732.5
"2057","1965",5,817.3
"2058","1965",6,791.3
"2059","1965",7,767.6
"2060","1965",8,669.2
"2061","1965",9,611.2
"2062","1965",10,469.6
"2063","1965",11,286.4
"2064","1965",12,258.7
"2065","1966",1,312.3
"2066","1966",2,535.2
"2067","1966",3,571.3
"2068","1966",4,660.1
"2069","1966",5,689.5
"2070","1966",6,776.5
"2071","1966",7,820.5
"2072","1966",8,734.8
"2073","1966",9,680.1
"2074","1966",10,554
"2075","1966",11,316.9
"2076","1966",12,305.1
"2077","1967",1,318.7
"2078","1967",2,479.5
"2079","1967",3,639
"2080","1967",4,634.5
"2081","1967",5,631.4
"2082","1967",6,602.7
"2083","1967",7,616.3
"2084","1967",8,611.7
"2085","1967",9,652.5
"2086","1967",10,422.1
"2087","1967",11,262.1
"2088","1967",12,272
"2089","1968",1,359.4
"2090","1968",2,512.9
"2091","1968",3,537.4
"2092","1968",4,732.5
"2093","1968",5,677.9
"2094","1968",6,432.6
"2095","1968",7,752.4
"2096","1968",8,677.4
"2097","1968",9,528.5
"2098","1968",10,290.2
"2099","1968",11,188.9
"2100","1968",12,106.1
"2101","1969",1,286.8
"2102","1969",2,407
"2103","1969",3,518
"2104","1969",4,643.1
"2105","1969",5,654.6
"2106","1969",6,673
"2107","1969",7,559.6
"2108","1969",8,673.3
"2109","1969",9,523.9
"2110","1969",10,527.6
"2111","1969",11,274.2
"2112","1969",12,325
"2113","1970",1,478
"2114","1970",2,485.1
"2115","1970",3,639
"2116","1970",4,736.7
"2117","1970",5,770.9
"2118","1970",6,754.3
"2119","1970",7,778.9
"2120","1970",8,784.1
"2121","1970",9,523.9
"2122","1970",10,448.5
"2123","1970",11,316.9
"2124","1970",12,285.2
"2125","1971",1,401.5
"2126","1971",2,440.5
"2127","1971",3,697.1
"2128","1971",4,736.7
"2129","1971",5,697.3
"2130","1971",6,913.3
"2131","1971",7,858.3
"2132","1971",8,775.9
"2133","1971",9,606.6
"2134","1971",10,532.9
"2135","1971",11,359.6
"2136","1971",12,338.3
"2137","1972",1,407.9
"2138","1972",2,535.2
"2139","1972",3,527.7
"2140","1972",4,775.1
"2141","1972",5,763.1
"2142","1972",6,610.1
"2143","1972",7,775.1
"2144","1972",8,726.6
"2145","1972",9,638.7
"2146","1972",10,559.3
"2147","1972",11,268.1
"2148","1972",12,225.5
"2149","1973",1,427
"2150","1973",2,596.6
"2151","1973",3,566.4
"2152","1973",4,685.6
"2153","1973",5,581
"2154","1973",6,680.4
"2155","1973",7,771.3
"2156","1973",8,693.8
"2157","1973",9,588.2
"2158","1973",10,580.4
"2159","1973",11,414.4
"2160","1973",12,285.2
"2161","1974",1,359.4
"2162","1974",2,495
"2163","1974",3,598.3
"2164","1974",4,672.6
"2165","1974",5,666.3
"2166","1974",6,776.5
"2167","1974",7,741.5
"2168","1974",8,792.3
"2169","1974",9,574.4
"2170","1974",10,554
"2171","1974",11,365.7
"2172","1974",12,258.7
"2173","1975",1,350.6
"2174","1975",2,457.2
"2175","1975",3,576.1
"2176","1975",4,753.8
"2177","1975",5,801.8
"2178","1975",6,735.8
"2179","1975",7,794
"2180","1975",8,722.5
"2181","1975",9,597.4
"2182","1975",10,559.3
"2183","1975",11,390
"2184","1975",12,287.7
"2185","1976",1,388.8
"2186","1976",2,507.4
"2187","1976",3,677.8
"2188","1976",4,817.7
"2189","1976",5,728.2
"2190","1976",6,824.6
"2191","1976",7,801.6
"2192","1976",8,747.2
"2193","1976",9,675.5
"2194","1976",10,490.7
"2195","1976",11,390
"2196","1976",12,364.8
"2197","1977",1,452.5
"2198","1977",2,457.2
"2199","1977",3,619.7
"2200","1977",4,770.8
"2201","1977",5,894.8
"2202","1977",6,613.8
"2203","1977",7,741.5
"2204","1977",8,652.7
"2205","1977",9,519.3
"2206","1977",10,485.4
"2207","1977",11,329.1
"2208","1977",12,338.3
"2209","1978",1,350.6
"2210","1978",2,680.2
"2211","1978",3,653.6
"2212","1978",4,724
"2213","1978",5,794.1
"2214","1978",6,728
"2215","1978",7,828.1
"2216","1978",8,730.7
"2217","1978",9,749
"2218","1978",10,490.7
"2219","1978",11,432.7
"2220","1978",12,318.4
"2221","1979",1,267.7
"2222","1979",2,618.9
"2223","1979",3,508.3
"2224","1979",4,672.9
"2225","1979",5,623.7
"2226","1979",6,854.2
"2227","1979",7,805.4
"2228","1979",8,632.2
"2229","1979",9,749
"2230","1979",10,390.4
"2231","1979",11,347.4
"2232","1979",12,358.2
"2233","1980",1,439.8
"2234","1980",2,579.8
"2235","1980",3,653.6
"2236","1980",4,672.6
"2237","1980",5,829
"2238","1980",6,758
"2239","1980",7,782.7
"2240","1980",8,702
"2241","1980",9,726
"2242","1980",10,491.9
"2243","1980",11,341.3
"2244","1980",12,287.7
"2245","1981",1,478
"2246","1981",2,440.5
"2247","1981",3,653.6
"2248","1981",4,689.9
"2249","1981",5,786.3
"2250","1981",6,728
"2251","1981",7,794
"2252","1981",8,697.9
"2253","1981",9,551.4
"2254","1981",10,485.4
"2255","1981",11,402.2
"2256","1981",12,278.6
"2257","1982",1,420.7
"2258","1982",2,563.1
"2259","1982",3,672.9
"2260","1982",4,813.4
"2261","1982",5,844.4
"2262","1982",6,684.1
"2263","1982",7,903.7
"2264","1982",8,700.5
"2265","1982",9,638.7
"2266","1982",10,585.6
"2267","1982",11,286.4
"2268","1982",12,272
"2269","1983",1,376.1
"2270","1983",2,535.2
"2271","1983",3,527.7
"2272","1983",4,583.4
"2273","1983",5,557.8
"2274","1983",6,902.2
"2275","1983",7,843.2
"2276","1983",8,775.9
"2277","1983",9,767.4
"2278","1983",10,569.8
"2279","1983",11,304.7
"2280","1983",12,285.2
"2281","1984",1,382.4
"2282","1984",2,495
"2283","1984",3,598.3
"2284","1984",4,689.9
"2285","1984",5,712.2
"2286","1984",6,832
"2287","1984",7,741.5
"2288","1984",8,751.3
"2289","1984",9,707.7
"2290","1984",10,538.2
"2291","1984",11,396.1
"2292","1984",12,285.2
"2293","1985",1,401.5
"2294","1985",2,535.2
"2295","1985",3,779.4
"2296","1985",4,753.8
"2297","1985",5,767
"2298","1985",6,691.5
"2299","1985",7,741.5
"2300","1985",8,792.3
"2301","1985",9,712.3
"2302","1985",10,491.9
"2303","1985",11,292.5
"2304","1985",12,272
"2305","1986",1,331.4
"2306","1986",2,479.5
"2307","1986",3,561.6
"2308","1986",4,715.5
"2309","1986",5,712.2
"2310","1986",6,728
"2311","1986",7,627.7
"2312","1986",8,644.5
"2313","1986",9,546.8
"2314","1986",10,474.8
"2315","1986",11,323
"2316","1986",12,265.3
"2317","1987",1,312.3
"2318","1987",2,574.3
"2319","1987",3,551.9
"2320","1987",4,574.9
"2321","1987",5,705
"2322","1987",6,728
"2323","1987",7,733.5
"2324","1987",8,755.4
"2325","1987",9,528.5
"2326","1987",10,506.5
"2327","1987",11,310.8
"2328","1987",12,258.7
"2329","1988",1,344.2
"2330","1988",2,434.9
"2331","1988",3,595.5
"2332","1988",4,549.4
"2333","1988",5,658.5
"2334","1988",6,783.9
"2335","1988",7,703.3
"2336","1988",8,706.1
"2337","1988",9,629.5
"2338","1988",10,379.9
"2339","1988",11,298.6
"2340","1988",12,318.4
"2341","1989",1,318.7
"2342","1989",2,423.7
"2343","1989",3,600.3
"2344","1989",4,647.3
"2345","1989",5,546.2
"2346","1989",6,628.6
"2347","1989",7,737.3
"2348","1989",8,685.6
"2349","1989",9,629.5
"2350","1989",10,443.2
"2351","1989",11,298.6
"2352","1989",12,351.6
"2353","1990",1,293.2
"2354","1990",2,451.6
"2355","1990",3,614.8
"2356","1990",4,540.9
"2357","1990",5,635.3
"2358","1990",6,643.4
"2359","1990",7,797.8
"2360","1990",8,743.1
"2361","1990",9,551.4
"2362","1990",10,422.1
"2363","1990",11,353.5
"2364","1990",12,225.5
"2365","1991",1,312.3
"2366","1991",2,423.7
"2367","1991",3,493.8
"2368","1991",4,596.2
"2369","1991",5,724.4
"2370","1991",6,758
"2371","1991",7,688.2
"2372","1991",8,603.5
"2373","1991",9,588.2
"2374","1991",10,401
"2375","1991",11,280.3
"2376","1991",12,252.1
"2377","1992",1,299.6
"2378","1992",2,351.3
"2379","1992",3,489
"2380","1992",4,536.6
"2381","1992",5,724.4
"2382","1992",6,721
"2383","1992",7,646.6
"2384","1992",8,619.9
"2385","1992",9,592.8
"2386","1992",10,416.8
"2387","1992",11,292.5
"2388","1992",12,232.2
"2389","1993",1,280.4
"2390","1993",2,440.5
"2391","1993",3,522.9
"2392","1993",4,532.3
"2393","1993",5,666.3
"2394","1993",6,728.4
"2395","1993",7,676.8
"2396","1993",8,681.5
"2397","1993",9,537.6
"2398","1993",10,443.2
"2399","1993",11,304.7
"2400","1993",12,258.7
"2401","1994",1,278.4
"2402","1994",2,447.4
"2403","1994",3,471.1
"2404","1994",4,590.4
"2405","1994",5,662.4
"2406","1994",6,712.7
"2407","1994",7,695.3
"2408","1994",8,643.2
"2409","1994",9,539
"2410","1994",10,535.5
"2411","1994",11,318.5
"2412","1994",12,289.7
"2413","1995",1,267.2
"2414","1995",2,391.4
"2415","1995",3,497.5
"2416","1995",4,589.6
"2417","1995",5,575.9
"2418","1995",6,759.6
"2419","1995",7,685.7
"2420","1995",8,712.9
"2421","1995",9,630.8
"2422","1995",10,456.7
"2423","1995",11,272.1
"2424","1995",12,263.9
"2425","1996",1,330.6
"2426","1996",2,389.2
"2427","1996",3,676.9
"2428","1996",4,600
"2429","1996",5,743.3
"2430","1996",6,655.1
"2431","1996",7,687.5
"2432","1996",8,782.5
"2433","1996",9,566.8
"2434","1996",10,559.7
"2435","1996",11,326.2
"2436","1996",12,203.1
"2437","1997",1,289
"2438","1997",2,477.3
"2439","1997",3,486.6
"2440","1997",4,868.6
"2441","1997",5,687
"2442","1997",6,968.7
"2443","1997",7,911.7
"2444","1997",8,793.7
"2445","1997",9,676.5
"2446","1997",10,587.5
"2447","1997",11,314.3
"2448","1997",12,325.3
"2449","1998",1,305.6
"2450","1998",2,560.56
"2451","1998",3,573.8
"2452","1998",4,820.26
"2453","1998",5,846.01
"2454","1998",6,624.35
"2455","1998",7,768.6
"2456","1998",8,723.6
"2457","1998",9,625.06
"2458","1998",10,413.1
"2459","1998",11,253.83
"2460","1998",12,243.3
"2461","1999",1,242.96
"2462","1999",2,482.78
"2463","1999",3,544.8
"2464","1999",4,748.17
"2465","1999",5,747.35
"2466","1999",6,812.4
"2467","1999",7,739.03
"2468","1999",8,641.81
"2469","1999",9,546
"2470","1999",10,427.87
"2471","1999",11,287.75
"2472","1999",12,274.86
"2473","2000",1,437.72
"2474","2000",2,504.55
"2475","2000",3,556.44
"2476","2000",4,606.57
"2477","2000",5,633.85
"2478","2000",6,693.2
"2479","2000",7,730.61
"2480","2000",8,622.81
"2481","2000",9,642.79
"2482","2000",10,528.54
"2483","2000",11,294.93
"2484","2000",12,309.88
"2485","2001",1,433.79
"2486","2001",2,378.93
"2487","2001",3,563.8
"2488","2001",4,628.89
"2489","2001",5,701.04
"2490","2001",6,694.09
"2491","2001",7,769.71
"2492","2001",8,696.76
"2493","2001",9,632.46
