LandisData     PnETSpeciesParameters
PnETSpeciesParameters   KWdLit   FolLignin   H3   H4   FolN   SLWmax   SLWDel   TOfol   AmaxA   AmaxB   HalfSat   PsnTMin   PsnTOpt   k   FracBelowG   FracFol   FrActWd
abiebals   0.125   0.25   105   145   0.5   215   0   0.25   5.3   21.5   70   2   19   0.5   0.3   0.08   0.00002
acerpens   0.075   0.11   105   145   1.3   70   0.2   1   -46   71.9   70   2   23   0.58   0.4   0.03   0.00004
acerrubr   0.081   .11   111   152   1.56   80   0.2   1   -46   71.9   96   4   26   0.58   0.3   0.03   0.00004
acersacc   0.075   0.11   105   145   1.3   70   0.2   1   -46   71.9   70   2   23   0.58   0.4   0.03   0.00004
betualle   0.075   0.11   105   145   1.4   80   0.2   1   -46   71.9   122   3   21   0.58   0.4   0.03   0.00004
betulent   0.149   .15   105   145   1.5   80   0.2   1   -46   71.9   96   3   21   0.58   0.4   0.03   0.00004
betupapy   0.075   0.11   105   145   1.4   80   0.2   1   -46   71.9   96   3   21   0.58   0.3   0.03   0.00004
>>betupopu   0.075   0.11   105   145   1.4   80   0.2   1   -46   71.9   96   3   21   0.58   0.4   0.03   0.00004
>>caryglab   0.166   .17   111   152   1.56   90   0.2   1   -46   71.9   122   2   23   0.58   0.4   0.03   0.00004
fagugran   0.075   0.24   111   152   1.4   80   0.2   1   -46   71.9   70   2   23   0.58   0.4   0.03   0.00004
fraxamer   0.075   0.12   111   152   1.50   85   0.2   1   -46   71.9   175   3   25   0.58   0.4   0.03   0.00004
fraxnigr   0.075   0.12   111   152   1.62   85   0.2   1   -46   71.9   96   3   23   0.58   0.4   0.03   0.00004
>>larilari   0.125   0.25   118   160   1.38   110   0   1   5.3   21.5   149   1   20   0.58   0.4   0.12   0.00004
>>ostrvirg   0.075   0.12   111   152   1.21   100   0.2   1   -46   71.9   96   3   23   0.58   0.4   0.03   0.00004
>>piceglau   0.125   0.25   118   160   0.50   250   0   0.25   5.3   21.5   122   2   20   0.5   0.3   0.08   0.00002
>>picemari   0.125   0.25   118   160   0.60   250   0   0.25   5.3   21.5   122   2   20   0.5   0.3   0.1   0.00002
picerube   0.125   0.25   118   160   0.60   250   0   0.25   5.3   21.5   140   2   20   0.5   0.3   0.08   0.00002
>>pinuresi   0.125   0.25   118   160   1.02   250   0   0.3333   5.3   21.5   149   3   21   0.5   0.4   0.12   0.00005
>>pinurigi   0.063   0.25   118   160   1.2   250   0   0.3333   5.3   21.5   149   3   21   0.5   0.4   0.12   0.00005
pinustro   0.125   0.25   118   160   0.9   235   0   0.5   5.3   21.5   192   3   21   0.5   0.4   0.09   0.00004
>>pinutaed   0.125   0.25   118   160   0.78   250   0   0.3333   5.3   21.5   149   5   30   0.5   0.4   0.12   0.00005
>>popubals   0.107   0.16   100   140   1.44   115   0.2   1   -46   71.9   175   0   21   0.58   0.3   0.03   0.00004
>>popugran   0.107   0.16   100   140   1.50   115   0.2   1   -46   71.9   175   2   22   0.58   0.3   0.03   0.00004
poputrem   0.107   0.16   100   140   1.50   115   0.2   1   -46   71.9   175   2   22   0.58   0.3   0.03   0.00004
prunpens   0.075   0.18   111   152   1.31   90   0.2   1   -46   71.9   175   3   25   0.58   0.3   0.03   0.00004
prunsero   0.125   0.25   111   152   1.68   90   0.2   1   -46   71.9   149   3   25   0.58   0.4   0.03   0.00004
>>queralba   0.063   0.18   118   160   1.50   100   0.2   1   -46   71.9   122   2   26   0.58   0.4   0.03   0.00004
>>quercocc   0.05   0.17   118   160   1.25   95   0.2   1   -46   71.9   149   2   26   0.58   0.4   0.03   0.00004
>>querprin   0.17   0.26   111   152   1.43   90   0.2   1   -46   71.9   122   2   26   0.58   0.4   0.03   0.00004
querrubr   0.075   0.17   111   152   1.3   85   0.2   1   -46   71.9   122   2   24   0.58   0.4   0.03   0.00004
>>quervelu   0.170   0.26   111   152   1.62   85   0.2   1   -46   71.9   122   2   24   0.58   0.4   0.03   0.00004
thujocci   0.125   0.25   105   145   0.78   245   0   0.5   5.3   21.5   149   3   20   0.5   0.4   0.13   0.00005
tiliamer   0.075   0.12   111   152   1.56   75   0.2   1   -46   71.9   96   3   23   0.58   0.4   0.03   0.00004
tsugcana   0.024   0.25   105   145   0.9   195   0   0.3333   5.3   21.5   70   3   21   0.5   0.3   0.06   0.00005
>>ulmuamer   0.075   0.12   105   145   1.38   85   0.2   1   -46   71.9   96   3   23   0.58   0.4   0.03   0.00004
>>KWdLit   default=0.1.   Use   values   from   Mattson   1987   Decomposition   of   woody   debris   NA   a   regenerating,   clear-cut   forest   in   the
>>Appalachians   when   available.   Otherwise:   0.075   for   hardwoods   and   0.125   for   softwoods   NA                  
>>FolLignin   default   =   0.02;   Range   in   Aber   and   Mellilo   (1982   Can   NA   Bot   60:2267)   =   0-0.25      
