"mukey","OBJECTID","Shape_Area","elev","elevbin","soilindex","soilindex2"
276562,2,0.00000311,217.0357143,1,"20","20"
276580,3,0.00000307,224.2068966,1,"1","1"
276571,5,0.00000751,455.2753623,2,"17","17"
276566,6,0.00000532,209.0434783,1,"20","20"
276593,7,0.00000671,271.4242424,1,"16","16"
276598,8,0.00000409,364.4736842,2,"11","11"
276576,9,0.00000191,250.6666667,1,"16","16"
276611,10,0.0000151,435.45,2,"17","17"
276631,11,0.0000591,436.4347826,2,"17","17"
276583,12,0.00000222,212.5,1,"16","16"
276631,13,0.0000463,352.1072261,1,"16","16"
276642,14,0.0000524,323.4318182,1,"16","16"
276614,15,0.00000532,201.6530612,1,"5","5"
276580,16,0.0000211,228.7236181,1,"1","1"
276582,17,0.0000427,327.1044776,1,"1","1"
276562,18,0.0000113,305.8411215,1,"20","20"
276583,19,0.00000432,212.5,1,"16","16"
276571,20,0.0000881,292.304878,1,"16","16"
276623,21,0.0000265,244.856,1,"1","1"
276640,22,0.00000598,239.8035714,1,"16","16"
276612,23,0.0000133,223.5966387,1,"1","1"
276574,24,0.00000217,210.8,1,"16","16"
276575,25,0.00000255,253.375,1,"16","16"
276632,26,0.00000708,510.1323529,2,"17","17"
276571,27,0.0000981,545.2715376,2,"17","17"
276574,28,0.0000045,219.1538462,1,"16","16"
276611,29,0.0000145,377.5036496,2,"17","17"
276562,30,0.0000147,312.9635036,1,"20","20"
276563,32,0.0000174,228.392638,1,"20","20"
276611,33,0.0000184,674.3254438,3,"18","18"
276571,34,0.0000117,704.2410714,3,"18","18"
276632,35,0.00000929,601.9195402,2,"17","17"
276589,36,0.0000264,289.9112903,1,"5","5"
276571,37,0.00000533,584.5306122,2,"17","17"
276640,38,0.0000837,408.9847909,2,"17","17"
276632,39,0.0000356,456.3333333,2,"17","17"
276563,40,0.000022,394.3019802,2,"21","21"
276562,41,0.00000543,368.9622642,2,"21","21"
276632,42,0.00000614,651.1355932,3,"18","18"
276611,43,0.0000126,608.1525424,2,"17","17"
276584,44,0.0000282,367.5801527,2,"21","21"
276654,45,0.000287363,669.1886161,3,"18","18"
276647,46,0.00000299,302.3928571,1,"20","20"
276597,47,0.0000578,225.7940631,1,"10","10"
276632,48,0.00000527,434.0392157,2,"17","17"
276631,49,0.00000178,405.1875,2,"17","17"
276597,50,0.00000868,258.7108434,1,"10","10"
276571,51,0.00000389,276.2432432,1,"16","16"
276580,52,0.0000108,224.2020202,1,"1","1"
276577,54,0.00000642,228.9833333,1,"16","16"
276597,55,0.00000418,356.3333333,1,"10","10"
276658,56,0.00000549,183.4,1,"20","20"
276614,57,0.0000027,323.44,1,"5","5"
276623,58,0.0000114,320.8095238,1,"1","1"
276565,59,0.00000909,334.9634146,1,"20","20"
276653,60,0.00000999,518.9677419,2,"2","2"
276631,61,0.0000227,456.3009259,2,"17","17"
276614,63,0.00000732,316.7246377,1,"5","5"
276630,64,0.0000122,318.2956522,1,"1","1"
276651,65,0.00000698,230.0625,1,"20","20"
276653,66,0.0000208,322.9637306,1,"1","1"
276609,67,0.0000301,468.4070175,2,"21","21"
276631,68,0.0000278,652.1654135,3,"18","18"
276632,69,0.0000143,618.2061069,2,"17","17"
276584,70,0.0000123,348.0434783,1,"20","20"
276658,71,0.0000383,223.8721591,1,"20","20"
276565,72,0.00000371,306.7058824,1,"20","20"
276612,73,0.00000811,365.45,2,"2","2"
276572,74,0.00000335,349.0714286,1,"20","20"
276658,75,0.00000821,217.3108108,1,"20","20"
276637,76,0.000021,266.2164948,1,"16","16"
276601,77,0.00000256,279.84,1,"16","16"
276611,78,0.00000428,674.8461538,3,"18","18"
276608,80,0.00000706,416.5,2,"21","21"
276631,81,0.000911223,613.3219146,2,"17","17"
276563,82,0.0000123,333.4833333,1,"20","20"
276584,83,0.0000273,480.4235294,2,"21","21"
276643,84,0.00000774,392.4027778,2,"17","17"
276597,86,0.00000204,416.9473684,2,"11","11"
276568,87,0.00000608,359.2641509,1,"20","20"
276651,88,0.000011,352.5339806,1,"20","20"
276630,89,0.00000276,486.16,2,"2","2"
276638,91,0.00000549,291.1730769,1,"16","16"
276583,92,0.00000704,374.7272727,2,"17","17"
276569,93,0.0000599,340.5668449,1,"20","20"
276581,94,0.00000919,313.1136364,1,"1","1"
276607,95,0.00000652,320.6610169,1,"20","20"
276631,96,0.000186133,404.0969593,2,"17","17"
276654,97,0.0000337,507.1904762,2,"17","17"
276622,98,0.00000378,404.8571429,2,"2","2"
276592,99,0.00000158,289.0625,1,"16","16"
276654,100,0.0000229,462.9074074,2,"17","17"
276571,101,0.0000283,498.8988764,2,"17","17"
276609,102,0.00000652,536.6229508,2,"21","21"
276562,103,0.00000227,359.8571429,1,"20","20"
276614,104,0.0000137,218.7874016,1,"5","5"
276562,105,0.00000245,358.45,1,"20","20"
276597,106,0.0000163,446.5163399,2,"11","11"
276611,107,0.0000131,598.8333333,2,"17","17"
276653,108,0.0000118,505.8240741,2,"2","2"
276599,109,0.0000199,454.5215054,2,"11","11"
276627,110,0.00000539,309.5625,1,"10","10"
276578,111,0.0000172,319.79375,1,"16","16"
276610,112,0.00000489,314.4130435,1,"20","20"
276611,113,0.000160649,630.1270792,2,"17","17"
276617,114,0.00000693,496.9365079,2,"6","6"
276652,115,0.0000277,510.9689922,2,"2","2"
276654,116,0.00000746,282.7428571,1,"16","16"
276590,117,0.000011,199.1401869,1,"20","20"
276640,118,0.0000291,347.8740741,1,"16","16"
276657,119,0.0000264,211.2142857,1,"5","5"
276631,120,0.0000276,684.6589147,3,"18","18"
276631,121,0.00000447,499.8139535,2,"17","17"
276653,122,0.00000485,444.9148936,2,"2","2"
276577,123,0.00000919,305.4761905,1,"16","16"
276630,124,0.00000347,301.3030303,1,"1","1"
276574,125,0.00000979,245.5795455,1,"16","16"
276571,126,0.0000273,432.37751,2,"17","17"
276582,127,0.000016,349.5324675,1,"1","1"
276580,128,0.0000125,279.8965517,1,"1","1"
276631,129,0.0000102,484.5,2,"17","17"
276599,130,0.00000162,407.5714286,2,"11","11"
276610,131,0.00000714,219.1538462,1,"20","20"
276597,132,0.000000556,250.8,1,"10","10"
276611,133,0.0000218,441.6490385,2,"17","17"
276599,134,0.00000433,268.6923077,1,"10","10"
276607,135,0.00000264,263.64,1,"20","20"
276583,136,0.00000814,219.3164557,1,"16","16"
276591,137,0.0000161,227.6470588,1,"16","16"
276604,138,0.0000149,221.6071429,1,"20","20"
276579,139,0.00000781,207.4857143,1,"5","5"
276575,140,0.0000123,233.8495575,1,"16","16"
276575,141,0.00000444,226.4871795,1,"16","16"
276572,142,0.0000394,510.0519126,2,"21","21"
276654,143,0.0000158,515.0738255,2,"17","17"
276654,144,0.0000162,486.4210526,2,"17","17"
276582,145,0.00000278,224.5909091,1,"1","1"
276596,146,0.00000111,243.5,1,"10","10"
276654,147,0.0000185,470.8208092,2,"17","17"
