"","stand","num_plots","num_ash_plots","prop_ash"
"2",10056231,725,165,0.227586206896552
"3",1e+07,2892,835,0.288727524204703
"4",50053864,17757,6098,0.343413864954666
"5",50056232,53,17,0.320754716981132
"6",10053946,239,88,0.368200836820084
"9",10053904,250,93,0.372
"10",10056237,70,19,0.271428571428571
"11",60137184,216,75,0.347222222222222
"19",10053896,370,216,0.583783783783784
"28",10056125,66,19,0.287878787878788
"30",10056219,369,99,0.268292682926829
"33",5e+07,938,250,0.266524520255864
"37",10053867,47,19,0.404255319148936
"38",10053895,297,103,0.346801346801347
"44",10056153,49,20,0.408163265306122
"50",10056139,110,29,0.263636363636364
"51",10053865,202,66,0.326732673267327
"52",10037123,161,109,0.677018633540373
"53",10053976,63,18,0.285714285714286
"54",10056133,233,60,0.257510729613734
"55",10056302,559,193,0.34525939177102
"57",10034422,178,79,0.443820224719101
"59",60053976,45,11,0.244444444444444
"81",10056172,830,208,0.250602409638554
"84",10034599,75,15,0.2
"93",10036108,324,66,0.203703703703704
"97",10037122,216,35,0.162037037037037
"98",60034600,107,34,0.317757009345794
"102",10036114,50,20,0.4
"104",10056259,199,75,0.376884422110553
"107",10056258,51,19,0.372549019607843
"108",10033923,67,11,0.164179104477612
"113",10034832,517,131,0.253384912959381
"117",10053929,281,75,0.266903914590747
"126",60136344,651,227,0.348694316436252
"140",10056013,231,61,0.264069264069264
"149",10136343,203,57,0.280788177339901
"150",10034249,66,10,0.151515151515152
"156",10036877,660,153,0.231818181818182
"162",10056140,82,19,0.231707317073171
"177",10034844,332,103,0.310240963855422
"178",10036922,45,24,0.533333333333333
"183",10053930,598,159,0.265886287625418
"185",10056254,364,103,0.282967032967033
"203",10036789,238,134,0.563025210084034
"205",10056344,235,122,0.519148936170213
"208",60056192,74,22,0.297297297297297
"215",10056193,457,151,0.330415754923414
"224",10034993,378,75,0.198412698412698
"236",10056184,306,62,0.202614379084967
"245",10056055,97,33,0.34020618556701
"260",10056155,110,28,0.254545454545455
"261",10138399,162,40,0.246913580246914
"262",10138671,608,162,0.266447368421053
