"","initcomm_cells_select_frni"
"1",89675
"2",207777
"3",93166
"4",117213
"5",48626
"6",80159
"7",187337
"8",211778
"9",64123
"10",241225
"11",237205
"12",109212
"13",180787
"14",81165
"15",129207
"16",236206
"17",162734
"18",50122
"19",155866
"20",157358
"21",249711
"22",237776
"23",168250
"24",157233
"25",165384
"26",209839
"27",169249
"28",93212
"29",96697
"30",89168
"31",175786
"32",146710
"33",204790
"34",208845
"35",87165
"36",87677
"37",161732
"38",141207
"39",158254
"40",129266
"41",244205
"42",93194
"43",125802
"44",176289
"45",227739
"46",137773
"47",162232
"48",165875
"49",93195
"50",203314
"51",195239
"52",182879
"53",162222
"54",65130
"55",236795
"56",176286
"57",243703
"58",36133
"59",157366
"60",243203
"61",229271
"62",181221
"63",162739
"64",162865
"65",195288
"66",24049
"67",117742
"68",113217
"69",133248
"70",156869
"71",224711
"72",222370
"73",20584
"74",146213
"75",173370
"76",170753
"77",227833
"78",30124
"79",203214
"80",68136
"81",232773
"82",225216
"83",81199
"84",181785
"85",146223
"86",157234
"87",96214
"88",162237
"89",93715
"90",237207
"91",241722
"92",171241
"93",141754
"94",127703
"95",182732
"96",153708
"97",168807
"98",69650
"99",237777
"100",248204
"101",74159
"102",213274
"103",158367
"104",116714
"105",207721
"106",123724
"107",244722
"108",1073
"109",161285
"110",140201
"111",81667
"112",141756
"113",246201
"114",22089
"115",164232
"116",94695
"117",109232
"118",136263
"119",114205
"120",184779
"121",243728
"122",164869
"123",132241
"124",34634
"125",91711
"126",244282
"127",201818
"128",166716
"129",239740
"130",238739
"131",225741
"132",72150
"133",99202
"134",176745
"135",236705
"136",151317
"137",239228
"138",185208
"139",114717
"140",190831
"141",175748
"142",205798
"143",60634
"144",68682
"145",170744
"146",157755
"147",77125
"148",150260
"149",17611
"150",93211
"151",124769
"152",160781
"153",180905
"154",191330
"155",248766
"156",2574
"157",124795
"158",138274
"159",199270
"160",158724
"161",187222
"162",156735
"163",216374
"164",213272
"165",116723
"166",220323
"167",91206
"168",135774
"169",183284
"170",139727
"171",65636
"172",145199
"173",165237
"174",179287
"175",84675
"176",128737
"177",95691
"178",190758
"179",216832
"180",186755
"181",20544
"182",155865
"183",227250
"184",206722
"185",160253
"186",174871
"187",135253
"188",249205
"189",219825
"190",182783
"191",139213
"192",244209
"193",85163
"194",151788
"195",211770
"196",63647
"197",172371
"198",243724
"199",124262
"200",153745
"201",116742
"202",242225
"203",16114
"204",114211
"205",230306
"206",242283
"207",2573
"208",205216
"209",244222
"210",88165
"211",131760
"212",187744
"213",242722
"214",86145
"215",73145
"216",177712
"217",229774
"218",240271
"219",118234
"220",245227
"221",192756
"222",124282
"223",153278
"224",74659
"225",83698
"226",226246
"227",239784
"228",171252
"229",159869
"230",33087
"231",139216
"232",225841
"233",65631
"234",243225
"235",144767
"236",156771
"237",235205
"238",210272
