"","stand","num_plots","num_ash_plots","prop_ash","mgmtarea","area_ha","num_large_ash_plots","num_med_ash_plots"
"18",30164532,88,14,0.159090909090909,3,7.92,13,1
"56",40167932,98,20,0.204081632653061,4,8.82,17,3
"68",30168096,67,15,0.223880597014925,3,6.03,10,5
"70",40004648,96,20,0.208333333333333,4,8.64,20,0
"125",40006560,73,12,0.164383561643836,4,6.57,12,0
"192",30167896,89,17,0.191011235955056,3,8.01,10,6
"230",30168060,102,19,0.186274509803922,3,9.18,10,9
"345",40004256,123,22,0.178861788617886,4,11.07,18,4
"420",40007504,111,17,0.153153153153153,4,9.99,17,0
"516",30214156,72,18,0.25,3,6.48,12,6
"559",40000504,116,21,0.181034482758621,4,10.44,12,9
"586",30164584,149,25,0.167785234899329,3,13.41,20,5
"768",40004000,105,25,0.238095238095238,4,9.45,24,1
"776",30167980,185,28,0.151351351351351,3,16.65,20,8
"783",40002980,150,25,0.166666666666667,4,13.5,24,1
"877",40001664,145,27,0.186206896551724,4,13.05,19,8
"881",30164576,92,16,0.173913043478261,3,8.28,11,2
"921",40005864,124,24,0.193548387096774,4,11.16,23,1
"954",30164894,102,20,0.196078431372549,3,9.18,14,6
"1034",40003664,75,14,0.186666666666667,4,6.75,10,2
"1051",40002984,139,32,0.23021582733813,4,12.51,23,9
"1204",30167986,176,30,0.170454545454545,3,15.84,21,8
"1306",40008864,88,20,0.227272727272727,4,7.92,18,2
"1488",30168048,84,28,0.333333333333333,3,7.56,21,6
"1498",40003656,179,30,0.167597765363128,4,16.11,22,8
"1503",30165272,79,16,0.20253164556962,3,7.11,13,3
"1546",40001480,89,18,0.202247191011236,4,8.01,17,1
"1573",40009752,126,26,0.206349206349206,4,11.34,23,3
"1756",40005252,77,23,0.298701298701299,4,6.93,21,2
"1920",40002444,88,14,0.159090909090909,4,7.92,10,4
"1929",30273840,100,21,0.21,3,9,13,5
"1947",40000704,94,25,0.265957446808511,4,8.46,22,2
"2050",40009136,84,14,0.166666666666667,4,7.56,11,0
"2154",40004824,84,14,0.166666666666667,4,7.56,14,0
"2183",30134592,105,22,0.20952380952381,3,9.45,19,3
"2464",40004068,96,19,0.197916666666667,4,8.64,16,3
"3507",40009652,156,24,0.153846153846154,4,14.04,22,2
"3516",40003104,88,23,0.261363636363636,4,7.92,15,7
"3547",40004712,144,23,0.159722222222222,4,12.96,17,5
"3577",40008512,102,29,0.284313725490196,4,9.18,18,2
