"","stand","num_plots","num_ash_plots","prop_ash","mgmtarea","area_ha","num_large_ash_plots","num_med_ash_plots"
"17",30165448,363,63,0.173553719008264,3,32.67,38,23
"21",30165050,687,164,0.238719068413392,3,61.83,128,36
"22",30165270,723,147,0.203319502074689,3,65.07,124,23
"26",30164372,753,140,0.185922974767596,3,67.77,110,30
"39",30164904,1151,194,0.168549087749783,3,103.59,182,12
"44",30165440,213,32,0.150234741784038,3,19.17,14,18
"67",30164976,207,45,0.217391304347826,3,18.63,32,13
"74",40000312,367,104,0.283378746594005,4,33.03,82,22
"134",30165348,185,45,0.243243243243243,3,16.65,33,11
"152",30164592,197,54,0.274111675126904,3,17.73,42,11
"287",30164314,363,117,0.322314049586777,3,32.67,95,19
"309",30165368,67,13,0.194029850746269,3,6.03,3,10
"318",30165096,187,48,0.25668449197861,3,16.83,37,10
"353",30165332,501,86,0.171656686626747,3,45.09,50,25
"386",30167948,330,91,0.275757575757576,3,29.7,55,30
"416",30168128,803,143,0.178082191780822,3,72.27,106,37
"488",30165020,248,61,0.245967741935484,3,22.32,50,11
"555",30164916,891,154,0.172839506172839,3,80.19,118,28
"569",30164480,438,94,0.214611872146119,3,39.42,68,26
"605",30164804,240,36,0.15,3,21.6,21,15
"627",30164454,476,86,0.180672268907563,3,42.84,59,26
"663",30168150,1063,239,0.22483537158984,3,95.67,209,29
"701",30164588,155,26,0.167741935483871,3,13.95,9,17
"733",30167988,267,57,0.213483146067416,3,24.03,41,12
"767",40006928,337,62,0.183976261127596,4,30.33,48,14
"774",30164366,172,27,0.156976744186047,3,15.48,8,19
"782",30164570,357,76,0.212885154061625,3,32.13,54,22
"811",30164404,586,113,0.192832764505119,3,52.74,98,15
"870",30165260,93,16,0.172043010752688,3,8.37,5,11
"1032",40000872,432,67,0.155092592592593,4,38.88,54,13
"1109",30164746,423,128,0.302600472813239,3,38.07,91,37
"1170",30165250,216,58,0.268518518518519,3,19.44,35,19
"1395",30165462,278,47,0.169064748201439,3,25.02,20,27
"1516",40005168,477,97,0.20335429769392,4,42.93,87,10
"1583",40004788,261,49,0.187739463601533,4,23.49,39,10
"2089",40002796,462,147,0.318181818181818,4,41.58,119,28
"2713",40004996,333,73,0.219219219219219,4,29.97,61,12
"2918",40004476,128,28,0.21875,4,11.52,13,15
"3493",40002744,127,33,0.259842519685039,4,11.43,18,14
"3616",40005528,112,18,0.160714285714286,4,10.08,6,12
