LandisData     EcoregionParameters
EcoregionParameters   SoilType   Latitude   RootingDepth   PrecLossFrac   LeakageFrac   RunoffCapture   PrecIntConst   SnowSublimFrac   WinterSTD   ClimateFileName
1   LOAM   43   42.19435163   0.368178145   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_1.txt
2   LOAM   43   36.78215687   0.55288461   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_2.txt
3   LOAM   43   42.50676472   0.452062079   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_3.txt
5   LOSA   43   50   0.253602793   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_5.txt
6   LOSA   43   50   0.277615858   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_6.txt
7   LOSA   43   50   0.139424539   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_7.txt
10   SAND   43   50   0.386654558   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_10.txt
11   SAND   43   50   0.423037497   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_11.txt
12   SAND   43   50   0.417131965   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_12.txt
14   SNCL   43   50   0.105198831   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_14.txt
16   SALO   43   43.75169605   0.446919765   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_16.txt
17   SALO   43   42.1121404   0.470878364   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_17.txt
18   SALO   43   41.10227192   0.6   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_18.txt
20   SILO   43   48.47746002   0.228958188   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_20.txt
21   SILO   43   46.77927554   0.32396466   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_21.txt
22   SILO   43   42.29776375   0.447568858   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_22.txt
101   LOAM   45   42.19435163   0.368178145   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_101.txt
102   LOAM   45   36.78215687   0.55288461   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_102.txt
103   LOAM   45   42.50676472   0.452062079   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_103.txt
105   LOSA   45   50   0.253602793   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_105.txt
106   LOSA   45   50   0.277615858   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_106.txt
107   LOSA   45   50   0.139424539   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_107.txt
110   SAND   45   50   0.386654558   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_110.txt
111   SAND   45   50   0.423037497   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_111.txt
112   SAND   45   50   0.417131965   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_112.txt
116   SALO   45   43.75169605   0.446919765   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_116.txt
117   SALO   45   42.1121404   0.470878364   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_117.txt
118   SALO   45   41.10227192   0.6   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_118.txt
120   SILO   45   48.47746002   0.228958188   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_120.txt
121   SILO   45   46.77927554   0.32396466   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_121.txt
122   SILO   45   42.29776375   0.447568858   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_122.txt
123   SLCL   45   50   0.142438442   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_123.txt
124   SLCL   45   50   0.144224227   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_124.txt
201   LOAM   43   42.19435163   0.368178145   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_1.txt
202   LOAM   43   36.78215687   0.55288461   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_2.txt
203   LOAM   43   42.50676472   0.452062079   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_3.txt
205   LOSA   43   50   0.253602793   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_5.txt
206   LOSA   43   50   0.277615858   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_6.txt
207   LOSA   43   50   0.139424539   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_7.txt
210   SAND   43   50   0.386654558   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_10.txt
211   SAND   43   50   0.423037497   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_11.txt
212   SAND   43   50   0.417131965   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_12.txt
214   SNCL   43   50   0.105198831   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_14.txt
216   SALO   43   43.75169605   0.446919765   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_16.txt
217   SALO   43   42.1121404   0.470878364   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_17.txt
218   SALO   43   41.10227192   0.6   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_18.txt
220   SILO   43   48.47746002   0.228958188   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_20.txt
221   SILO   43   46.77927554   0.32396466   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_21.txt
222   SILO   43   42.29776375   0.447568858   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_22.txt
301   LOAM   45   42.19435163   0.368178145   1   0   0.1   0.15   6.67   TerraClimate_historical_eco_101.txt
