LandisData     EcoregionParameters
EcoregionParameters   SoilType   Latitude   RootingDepth   PrecLossFrac   LeakageFrac   RunoffCapture   PrecIntConst   SnowSublimFrac   WinterSTD   ClimateFileName
1   LOAM   43   42.19435163   0.368178145   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_1_HBPAR.txt
2   LOAM   43   36.78215687   0.55288461   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_2_HBPAR.txt
3   LOAM   43   42.50676472   0.452062079   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_3_HBPAR.txt
5   LOSA   43   50   0.253602793   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_5_HBPAR.txt
6   LOSA   43   50   0.277615858   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_6_HBPAR.txt
7   LOSA   43   50   0.139424539   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_7_HBPAR.txt
10   SAND   43   50   0.386654558   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_10_HBPAR.txt
11   SAND   43   50   0.423037497   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_11_HBPAR.txt
12   SAND   43   50   0.417131965   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_12_HBPAR.txt
14   SNCL   43   50   0.105198831   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_14_HBPAR.txt
16   SALO   43   43.75169605   0.446919765   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_16_HBPAR.txt
17   SALO   43   42.1121404   0.470878364   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_17_HBPAR.txt
18   SALO   43   41.10227192   0.6   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_18_HBPAR.txt
20   SILO   43   48.47746002   0.228958188   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_20_HBPAR.txt
21   SILO   43   46.77927554   0.32396466   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_21_HBPAR.txt
22   SILO   43   42.29776375   0.447568858   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_22_HBPAR.txt
101   LOAM   45   42.19435163   0.368178145   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_101_HBPAR.txt
102   LOAM   45   36.78215687   0.55288461   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_102_HBPAR.txt
103   LOAM   45   42.50676472   0.452062079   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_103_HBPAR.txt
105   LOSA   45   50   0.253602793   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_105_HBPAR.txt
106   LOSA   45   50   0.277615858   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_106_HBPAR.txt
107   LOSA   45   50   0.139424539   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_107_HBPAR.txt
110   SAND   45   50   0.386654558   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_110_HBPAR.txt
111   SAND   45   50   0.423037497   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_111_HBPAR.txt
112   SAND   45   50   0.417131965   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_112_HBPAR.txt
116   SALO   45   43.75169605   0.446919765   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_116_HBPAR.txt
117   SALO   45   42.1121404   0.470878364   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_117_HBPAR.txt
118   SALO   45   41.10227192   0.6   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_118_HBPAR.txt
120   SILO   45   48.47746002   0.228958188   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_120_HBPAR.txt
