Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -4.3423   -15.5752   68.7514   376.6   355.7315
1800-1958   2   -2.8363   -15.1129   66.8267   499.01   356.4926
1800-1958   3   2.235   -9.0882   72.5893   608.145   356.696
1800-1958   4   9.9571   -1.9385   83.2924   707.6   357.9722
1800-1958   5   18.0633   4.5335   96.226   726.05   358.5598
1800-1958   6   22.4778   9.4974   118.4697   726.67   357.9803
1800-1958   7   25.1328   12.3589   116.4232   747.66   356.4695
1800-1958   8   24.1466   11.5384   121.3063   708.465   354.4635
1800-1958   9   19.7996   7.5552   90.8132   619.315   352.9024
1800-1958   10   12.8295   1.8517   105.7914   509.925   352.9462
1800-1958   11   5.2185   -3.3607   99.017   332.595   354.2837
1800-1958   12   -1.5082   -10.8241   96.3698   297.185   355.5944
1959   1   -5.2337   -16.6079   99.7376   369.4   315.58
1959   2   -5.2062   -20.3497   72.5583   464.1   316.48
1959   3   1.2293   -11.5276   56.6086   526.7   316.65
1959   4   10.9023   -2.0383   41.9194   746.1   317.72
1959   5   20.0242   5.1256   49.7037   754.2   318.29
1959   6   21.427   10.1046   119.9444   734.3   318.15
1959   7   27.2306   12.4681   52.5024   652.4   316.54
1959   8   25.8105   13.0127   131.2615   712.2   314.8
1959   9   21.7221   8.4957   52.7411   558   313.84
1959   10   12.1622   1.925   178.5158   479.8   313.33
1959   11   4.7925   -4.2124   163.7561   338.4   314.81
1959   12   -1.5213   -9.1719   91.3874   362.8   315.58
1960   1   -4.3211   -15.998   58.9973   458.9   316.43
1960   2   -0.5354   -10.847   90.8332   462.8   316.98
1960   3   -1.7574   -11.8653   47.5722   639   317.58
1960   4   10.1355   -1.3239   93.2909   685.6   319.03
1960   5   20.7528   7.1094   88.4628   681.8   320.04
1960   6   22.7222   8.6507   124.2502   750.6   319.59
1960   7   23.6579   10.4449   96.6773   748.7   318.18
1960   8   24.4109   9.9903   55.0952   763.6   315.9
1960   9   20.2031   7.4208   104.9535   647.9   314.17
1960   10   12.1588   0.0132   106.6199   564.5   313.83
1960   11   6.8234   -1.5589   62.4055   371.7   315
1960   12   -3.1682   -14.2532   43.2601   358.2   316.19
1961   1   -7.5632   -20.7815   31.6424   427   316.89
1961   2   -1.4585   -15.5061   74.2072   485.1   317.7
1961   3   2.0233   -9.8533   60.7398   648.7   318.54
1961   4   7.5689   -1.7262   114.599   583.4   319.48
1961   5   15.9739   3.2005   90.2514   677.9   320.58
1961   6   22.1396   8.9276   124.2478   728.4   319.77
1961   7   24.3758   12.1787   128.0668   710.8   318.57
1961   8   23.8644   11.655   93.0881   673.3   316.79
1961   9   23.52   10.3515   55.5102   693.9   314.99
1961   10   15.1354   2.6391   58.6054   522.3   315.31
1961   11   5.4203   -2.4567   84.6616   316.9   316.1
1961   12   -1.7745   -9.3725   70.9582   272   317.01
1962   1   -4.1692   -17.1873   47.3345   395.2   317.94
1962   2   -5.0309   -18.323   67.1985   423.7   318.55
1962   3   3.2   -8.8663   45.884   706.8   319.68
1962   4   9.6999   -2.2922   101.1951   689.9   320.57
1962   5   17.5209   4.153   69.2437   732.1   321.02
1962   6   23.4417   8.6922   76.3526   787.6   320.62
1962   7   22.6158   9.1958   168.8506   756.2   319.61
1962   8   23.5835   11.1262   108.7697   706.1   317.4
1962   9   17.9681   6.2886   84.1787   643.3   316.25
1962   10   11.5763   1.9133   161.461   432.6   315.42
1962   11   3.6387   -5.5337   74.9088   396.1   316.69
1962   12   -2.354   -13.5794   67.6342   364.8   317.7
1963   1   -4.9052   -14.6264   47.5134   318.7   318.74
1963   2   -6.5512   -19.3872   64.6741   546.4   319.07
1963   3   2.0951   -10.3041   63.9371   605.2   319.86
1963   4   8.8522   -2.7454   94.3276   706.9   321.38
1963   5   17.287   2.9602   78.4506   701.1   322.25
1963   6   23.6602   9.2883   61.4146   780.2   321.48
1963   7   25.5113   13.0098   96.6053   748.7   319.74
1963   8   21.2707   9.7868   176.3996   624   317.77
1963   9   18.4966   3.6235   54.0345   712.3   316.21
1963   10   16.9938   3.0421   20.2996   675.3   315.99
1963   11   7.3562   -0.4619   154.0788   249.9   317.07
1963   12   -7.074   -16.794   51.6463   378.1   318.35
1964   1   -2.2034   -12.9357   70.7571   318.7   319.57
1964   2   -3.1001   -16.0093   32.5881   535.2   320.01
1964   3   2.6193   -7.8375   99.8442   576.1   320.74
1964   4   9.6029   -2.7951   70.7623   664.4   321.84
1964   5   20.167   5.3749   96.3119   805.7   322.26
1964   6   22.5757   7.9454   63.7881   839.4   321.89
1964   7   25.5055   12.8194   84.5668   729.7   320.44
1964   8   21.3304   8.4447   110.7821   697.9   318.69
1964   9   18.5602   4.9541   32.7762   661.7   316.7
1964   10   12.4364   0.0074   64.0118   559.3   316.87
1964   11   5.4926   -4.4874   85.3237   383.9   317.68
1964   12   -1.4126   -10.8148   85.9189   238.8   318.71
1965   1   -5.9653   -18.0422   39.9831   350.6   319.44
1965   2   -3.5653   -16.08   63.2618   473.9   320.44
1965   3   0.7351   -9.946   21.6783   639   320.89
1965   4   8.3964   -4.1101   61.5758   732.5   322.14
1965   5   19.6391   4.4777   35.1765   817.3   322.17
1965   6   22.2961   7.865   91.5809   791.3   321.87
1965   7   23.0461   9.1475   84.2567   767.6   321.21
1965   8   23.3175   11.0682   155.7007   669.2   318.87
1965   9   19.6436   7.5515   115.0601   611.2   317.81
1965   10   11.6813   1.4625   119.0388   469.6   317.3
1965   11   2.9205   -4.9854   117.2267   286.4   318.87
1965   12   -0.864   -8.6712   57.8723   258.7   319.42
1966   1   -4.9121   -15.4896   62.8607   312.3   320.62
1966   2   -2.7536   -15.2778   72.0675   535.2   321.6
1966   3   2.7709   -8.2159   91.5464   571.3   322.39
1966   4   8.3752   -2.9448   31.8482   660.1   323.7
1966   5   15.5414   2.2356   73.4295   689.5   324.08
1966   6   23.0396   9.2656   89.1515   776.5   323.75
1966   7   24.9539   11.0196   91.668   820.5   322.38
1966   8   23.7886   11.0988   126.7627   734.8   320.36
1966   9   18.0591   5.4941   79.4001   680.1   318.64
1966   10   13.0032   0.6968   55.4138   554   318.1
1966   11   7.9169   -1.5568   72.9357   316.9   319.78
1966   12   -1.5996   -10.2992   100.0578   305.1   321.03
1967   1   -1.1569   -11.4194   47.8939   318.7   322.33
1967   2   -5.1775   -19.7624   54.2487   479.5   322.5
1967   3   0.3564   -12.0563   21.742   639   323.04
1967   4   8.6213   -3.0831   89.9021   634.5   324.42
1967   5   13.0739   0.7494   110.6155   631.4   325
1967   6   24.4488   10.6484   121.8619   602.7   324.09
1967   7   25.1202   13.1839   111.2902   616.3   322.54
1967   8   23.9413   11.9166   109.8513   611.7   320.92
1967   9   19.8582   6.2412   64.9691   652.5   319.25
1967   10   13.2166   3.0275   117.7496   422.1   319.39
1967   11   2.6332   -5.6107   76.493   262.1   320.73
1967   12   -0.889   -10.1233   112.7182   272   321.96
1968   1   -7.9297   -20.2596   49.9628   359.4   322.57
1968   2   -6.5862   -18.8095   36.608   512.9   323.15
1968   3   3.8617   -8.1404   87.4848   537.4   323.89
1968   4   13.3078   -0.989   82.2968   732.5   325.02
1968   5   16.6148   2.7778   79.7743   677.9   325.57
1968   6   19.8546   9.1277   109.5891   432.6   325.36
1968   7   25.4078   12.3387   101.7871   752.4   324.14
1968   8   22.2629   9.5908   71.7038   677.4   322.11
1968   9   21.3547   8.7388   63.2613   528.5   320.33
1968   10   14.2272   3.6304   72.2477   290.2   320.25
1968   11   2.4019   -4.7178   137.4469   188.9   321.32
1968   12   -4.7448   -13.2475   143.6071   106.1   322.89
1969   1   -4.086   -14.761   63.1946   286.8   324
1969   2   -2.6692   -13.3589   78.5602   407   324.42
1969   3   -0.0655   -10.2165   45.3712   518   325.63
1969   4   9.2052   -2.8139   90.4507   643.1   326.66
1969   5   15.8992   2.8645   98.9407   654.6   327.38
1969   6   22.405   9.6218   114.7069   673   326.71
1969   7   24.0338   11.3722   127.2079   559.6   325.88
1969   8   24.3965   12.3037   119.1126   673.3   323.66
1969   9   19.1392   7.8667   54.5213   523.9   322.38
1969   10   12.1505   1.1745   61.1562   527.6   321.78
1969   11   5.5441   -2.1747   159.7395   274.2   322.86
1969   12   -3.6517   -11.5066   149.8964   325   324.12
1970   1   -9.8561   -22.5687   20.5603   478   325.06
1970   2   -2.77   -15.973   80.8621   485.1   325.98
1970   3   0.4505   -10.0762   60.3041   639   326.93
1970   4   9.6773   -2.5218   82.9522   736.7   328.13
1970   5   17.8493   4.9302   90.6298   770.9   328.08
1970   6   22.3389   9.2484   93.6222   754.3   327.67
1970   7   25.9246   12.849   62.7922   778.9   326.34
1970   8   24.5002   11.4591   117.6276   784.1   324.69
1970   9   18.9927   8.105   114.7688   523.9   323.1
1970   10   14.3997   3.735   71.5369   448.5   323.06
1970   11   6.3086   -1.997   69.0292   316.9   324.01
1970   12   -5.6469   -15.2747   125.4384   285.2   325.13
1971   1   -8.0729   -20.0457   52.3268   401.5   326.17
1971   2   -2.7303   -13.9392   107.9591   440.5   326.68
1971   3   -0.4822   -10.8097   88.2396   697.1   327.17
1971   4   6.6475   -3.6697   55.6224   736.7   327.79
1971   5   17.2487   3.9672   77.135   697.3   328.93
1971   6   23.1333   8.4682   69.1987   913.3   328.57
1971   7   24.4372   11.4041   130.1083   858.3   327.36
1971   8   23.3345   11.2812   170.507   775.9   325.43
1971   9   20.8934   9.7924   57.3144   606.6   323.36
1971   10   16.344   4.5099   60.7515   532.9   323.56
1971   11   2.8038   -5.4878   88.9385   359.6   324.8
1971   12   -1.6313   -11.9605   94.7519   338.3   326.01
1972   1   -2.632   -15.3737   50.9349   407.9   326.77
1972   2   -4.6712   -16.9807   68.5746   535.2   327.63
1972   3   -0.261   -10.8361   120.4119   527.7   327.75
1972   4   5.5477   -4.8922   66.223   775.1   329.72
1972   5   18.6318   4.2028   88.2335   763.1   330.07
1972   6   20.8799   10.273   135.6252   610.1   329.09
1972   7   24.4113   12.424   155.0479   775.1   328.04
1972   8   22.434   10.4546   93.9902   726.6   326.32
1972   9   19.6869   7.0486   40.4593   638.7   324.84
1972   10   9.8233   -0.7204   89.7206   559.3   325.2
1972   11   2.5043   -4.67   126.3089   268.1   326.5
1972   12   -2.0367   -11.6635   172.1366   225.5   327.55
1973   1   -3.065   -13.4426   80.4765   427   328.55
1973   2   -4.4597   -17.0943   61.2829   596.6   329.56
1973   3   5.7531   -4.2742   79.3673   566.4   330.3
1973   4   10.063   -0.8896   101.2774   685.6   331.5
1973   5   15.8726   4.4271   151.7181   581   332.48
1973   6   22.6354   10.6316   210.8093   680.4   332.07
1973   7   25.4096   12.893   109.7436   771.3   330.87
1973   8   25.6459   13.7774   102.1545   693.8   329.31
1973   9   17.9312   7.1003   108.8624   588.2   327.51
1973   10   13.5762   2.1523   74.0007   580.4   327.18
1973   11   3.5475   -3.1759   99.8086   414.4   328.16
1973   12   -0.1058   -8.9573   210.3472   285.2   328.64
1974   1   -3.8559   -14.0846   71.5626   359.4   329.35
1974   2   -4.6442   -16.7019   66.692   495   330.71
1974   3   0.8979   -10.212   104.8908   598.3   331.48
1974   4   10.0939   -2.1262   129.6368   672.6   332.65
1974   5   14.1393   3.0365   154.5539   666.3   333.19
1974   6   22.451   10.0487   105.7852   776.5   332.2
1974   7   24.3563   12.4103   162.7563   741.5   331.07
1974   8   24.2395   11.3519   90.1273   792.3   329.15
1974   9   18.1759   7.2536   109.2922   574.4   327.33
1974   10   9.7883   -1.6902   41.1003   554   327.28
1974   11   4.5253   -3.6506   116.1326   365.7   328.31
