Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -4.1972   -15.4278   68.7771   347.1152   355.7315
1800-1958   2   -2.7179   -14.971   66.9139   467.4379   356.4926
1800-1958   3   2.5036   -8.8206   71.5842   573.0314   356.696
1800-1958   4   10.5284   -1.4563   82.8135   669.8101   357.9722
1800-1958   5   18.361   4.7628   95.5673   721.2414   358.5598
1800-1958   6   22.9145   9.8815   116.525   726.2708   357.9803
1800-1958   7   25.5673   12.7099   116.1383   723.1254   356.4695
1800-1958   8   24.5076   11.768   118.8184   684.2138   354.4635
1800-1958   9   20.0901   7.7502   89.9193   601.0486   352.9024
1800-1958   10   13.0859   2.0764   106.8865   468.9326   352.9462
1800-1958   11   5.3669   -3.1791   97.5348   324.198   354.2837
1800-1958   12   -1.3685   -10.6717   95.8576   292.5239   355.5944
1959   1   -5.1399   -16.4514   100.5483   369.4   315.58
1959   2   -5.0969   -20.2279   72.9901   464.1   316.48
1959   3   1.5107   -11.268   55.3486   526.7   316.65
1959   4   11.5115   -1.5954   42.315   746.1   317.72
1959   5   20.314   5.359   49.3523   754.2   318.29
1959   6   21.8592   10.4685   119.4618   734.3   318.15
1959   7   27.6743   12.767   52.7554   652.4   316.54
1959   8   26.1828   13.223   128.8989   712.2   314.8
1959   9   22.0631   8.6597   50.8401   558   313.84
1959   10   12.3747   2.123   178.3396   479.8   313.33
1959   11   4.877   -4.0667   160.5214   338.4   314.81
1959   12   -1.3884   -9.0741   89.5687   362.8   315.58
1960   1   -4.1844   -15.9559   58.5485   458.9   316.43
1960   2   -0.4379   -10.6602   90.8932   462.8   316.98
1960   3   -1.4506   -11.5371   47.498   639   317.58
1960   4   10.7098   -0.8957   91.754   685.6   319.03
1960   5   21.0886   7.3328   87.108   681.8   320.04
1960   6   23.1636   8.997   121.4937   750.6   319.59
1960   7   24.0538   10.8334   94.8183   748.7   318.18
1960   8   24.8127   10.202   54.2677   763.6   315.9
1960   9   20.46   7.5925   102.0377   647.9   314.17
1960   10   12.3866   0.2442   108.6076   564.5   313.83
1960   11   6.9715   -1.3014   61.7929   371.7   315
1960   12   -2.9838   -14.027   43.45   358.2   316.19
1961   1   -7.4587   -20.6593   31.7246   427   316.89
1961   2   -1.3837   -15.405   74.2723   485.1   317.7
1961   3   2.2345   -9.5825   61.0134   648.7   318.54
1961   4   8.1761   -1.2352   114.3062   583.4   319.48
1961   5   16.2567   3.4424   89.8452   677.9   320.58
1961   6   22.5435   9.3149   124.8753   728.4   319.77
1961   7   24.7855   12.5502   128.6349   710.8   318.57
1961   8   24.2233   11.87   93.7584   673.3   316.79
1961   9   23.8423   10.5511   53.9079   693.9   314.99
1961   10   15.3251   2.8392   59.948   522.3   315.31
1961   11   5.5553   -2.265   82.4041   316.9   316.1
1961   12   -1.6714   -9.1441   71.0829   272   317.01
1962   1   -4.0203   -17.0083   47.7804   395.2   317.94
1962   2   -4.9146   -18.2408   67.6662   423.7   318.55
1962   3   3.5679   -8.6039   45.4273   706.8   319.68
1962   4   10.2623   -1.8464   101.7292   689.9   320.57
1962   5   17.8185   4.4067   67.8533   732.1   321.02
1962   6   23.9046   9.0331   77.1314   787.6   320.62
1962   7   23.038   9.5519   170.157   756.2   319.61
1962   8   23.9859   11.3201   104.6865   706.1   317.4
1962   9   18.2741   6.5114   82.1892   643.3   316.25
1962   10   11.8292   2.1451   163.6591   432.6   315.42
1962   11   3.7952   -5.4006   72.0307   396.1   316.69
1962   12   -2.2093   -13.3703   67.4557   364.8   317.7
1963   1   -4.8091   -14.4093   46.8867   318.7   318.74
1963   2   -6.472   -19.236   66.1234   546.4   319.07
1963   3   2.3578   -10.1479   63.4414   605.2   319.86
1963   4   9.4675   -2.2501   94.5761   706.9   321.38
1963   5   17.5713   3.1576   79.2965   701.1   322.25
1963   6   24.1167   9.6388   61.7367   780.2   321.48
1963   7   25.8949   13.4129   97.5087   748.7   319.74
1963   8   21.6057   10.0311   176.3496   624   317.77
1963   9   18.7524   3.8254   56.3826   712.3   316.21
1963   10   17.2947   3.2858   20.8836   675.3   315.99
1963   11   7.5366   -0.2955   150.3745   249.9   317.07
1963   12   -6.9483   -16.6364   50.4848   378.1   318.35
1964   1   -1.9615   -12.7008   70.6202   318.7   319.57
1964   2   -2.9605   -15.8036   32.9632   535.2   320.01
1964   3   2.8983   -7.55   97.2884   576.1   320.74
1964   4   10.2305   -2.2973   70.2914   664.4   321.84
1964   5   20.4606   5.6402   94.1322   805.7   322.26
1964   6   23.0243   8.3589   62.865   839.4   321.89
1964   7   25.9206   13.2139   85.2507   729.7   320.44
1964   8   21.7137   8.7326   106.8528   697.9   318.69
1964   9   18.8618   5.2113   32.6185   661.7   316.7
1964   10   12.6903   0.2463   65.2786   559.3   316.87
1964   11   5.6249   -4.3137   83.8062   383.9   317.68
1964   12   -1.2659   -10.6491   85.0004   238.8   318.71
1965   1   -5.7921   -17.8827   40.6161   350.6   319.44
1965   2   -3.3968   -15.8943   63.6794   473.9   320.44
1965   3   1.1091   -9.6607   21.7881   639   320.89
1965   4   9.0404   -3.6385   61.9293   732.5   322.14
1965   5   19.9165   4.7331   36.4191   817.3   322.17
