Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -1.001   -12.0554   74.5897   152.7364   355.7315
1800-1958   2   0.4136   -11.4134   76.2076   233.4826   356.4926
1800-1958   3   5.3544   -5.9735   83.6648   329.7037   356.696
1800-1958   4   13.0285   0.0566   92.767   430.1159   357.9722
1800-1958   5   19.9315   5.8801   100.2016   496.5764   358.5598
1800-1958   6   24.2581   10.7534   110.1775   543.549   357.9803
1800-1958   7   26.9635   13.5697   103.7605   543.7435   356.4695
1800-1958   8   25.9687   12.7788   104.1695   474.3476   354.4635
1800-1958   9   21.8098   8.7646   93.9939   374.19   352.9024
1800-1958   10   15.4307   2.7137   95.225   245.3246   352.9462
1800-1958   11   8.2546   -1.8778   97.7809   156.8621   354.2837
1800-1958   12   1.5631   -8.0487   98.9805   123.1354   355.5944
1959   1   -1.2539   -12.581   84.464   148.528   315.58
1959   2   -0.9351   -14.5821   69.7087   244.939   316.48
1959   3   4.5294   -7.3555   80.1408   348.0189   316.65
1959   4   13.699   0.1195   79.3197   408.6907   317.72
1959   5   21.9752   6.5328   40.4431   537.5325   318.29
1959   6   23.4594   11.0931   95.2046   484.6637   318.15
1959   7   27.7474   13.6664   73.9268   533.4155   316.54
1959   8   27.4361   13.8298   106.6889   439.8276   314.8
1959   9   23.8839   9.7335   52.621   384.1201   313.84
1959   10   15.2657   4.1356   164.1124   217.387   313.33
1959   11   7.6985   -2.6447   147.9102   154.3455   314.81
1959   12   1.9591   -6.477   105.3754   122.0422   315.58
1960   1   -0.5716   -11.2529   66.1071   150.6999   316.43
1960   2   1.8224   -8.309   102.6926   219.5393   316.98
1960   3   0.8936   -9.8786   62.8206   361.2332   317.58
1960   4   14.1263   1.3919   116.0547   398.6544   319.03
1960   5   20.6601   7.0986   93.0884   433.3612   320.04
1960   6   24.2248   10.1723   112.9052   569.9153   319.59
1960   7   25.4644   11.4456   154.2237   542.8335   318.18
1960   8   25.3279   12.0667   83.5478   458.9181   315.9
1960   9   21.4073   8.8374   183.2244   355.7537   314.17
1960   10   15.2159   1.5752   59.7971   246.5768   313.83
1960   11   9.7578   -1.6661   62.0017   182.3006   315
1960   12   -0.6678   -13.1686   50.3062   142.6477   316.19
1961   1   -3.7948   -17.5266   49.7814   171.2556   316.89
1961   2   1.2391   -11.9343   81.0593   220.1413   317.7
1961   3   4.7786   -6.4386   76.106   323.9036   318.54
1961   4   9.9068   -0.3874   107.6892   395.5154   319.48
1961   5   17.6693   4.3077   105.8603   472.723   320.58
1961   6   24.2773   10.0361   102.2067   555.0524   319.77
1961   7   25.9657   12.843   92.3513   524.477   318.57
1961   8   25.2074   12.2375   97.2963   455.1062   316.79
1961   9   24.8494   11.2701   59.977   384.8027   314.99
1961   10   17.4422   3.5578   46.3578   234.3673   315.31
1961   11   7.7149   -1.4181   91.7523   162.9659   316.1
1961   12   0.5533   -8.0072   74.6118   122.1   317.01
1962   1   -0.7724   -12.7261   67.1113   162.5949   317.94
1962   2   -1.9596   -13.5772   102.7166   206.5235   318.55
1962   3   5.5175   -6.0775   37.2748   346.9681   319.68
1962   4   13.357   -0.6152   95.293   418.6228   320.57
1962   5   20.1917   5.5284   54.4213   508.7203   321.02
1962   6   24.8808   10.402   57.0915   558.2209   320.62
1962   7   25.4565   10.3735   79.2605   555.1737   319.61
1962   8   24.8135   11.442   93.7675   447.6555   317.4
1962   9   19.7586   6.4985   78.9604   377.5351   316.25
1962   10   14.4439   2.5734   105.1264   222.5107   315.42
1962   11   6.0486   -4.6529   72.133   171.324   316.69
1962   12   -0.3793   -12.3328   79.1623   135.1313   317.7
1963   1   -2.3754   -13.4987   67.0944   158.0142   318.74
1963   2   -2.4898   -16.5045   63.1026   255.8722   319.07
1963   3   5.005   -6.0942   84.1186   305.0025   319.86
1963   4   12.8596   -1.4123   41.5664   459.6366   321.38
1963   5   19.659   4.2189   62.7669   519.586   322.25
1963   6   24.6226   9.8316   86.4763   544.5246   321.48
1963   7   27.143   12.7081   65.2951   559.4192   319.74
1963   8   23.8933   10.2285   76.3889   454.7686   317.77
1963   9   20.0547   4.712   75.4373   373.8075   316.21
1963   10   19.6736   3.1415   9.5113   268.4813   315.99
1963   11   10.0677   1.191   146.4334   136.7736   317.07
1963   12   -3.0952   -13.1557   59.3339   147.485   318.35
1964   1   0.5235   -11.5386   101.1225   147.258   319.57
1964   2   -0.4196   -12.9501   51.8314   250.6273   320.01
1964   3   5.6929   -5.4061   86.0664   322.4604   320.74
1964   4   12.1737   -0.6961   76.901   399.1394   321.84
1964   5   22.5713   6.2111   40.9683   555.5903   322.26
1964   6   24.4328   9.1864   42.4047   587.9031   321.89
1964   7   27.3083   13.8377   63.0197   520.6562   320.44
1964   8   23.8935   9.3066   81.8885   463.9446   318.69
1964   9   21.7009   6.7299   20.2886   387.03   316.7
1964   10   15.3822   0.4497   27.6327   261.6937   316.87
1964   11   9.3024   -2.3903   53.5015   168.219   317.68
1964   12   0.7335   -8.4188   103.99   111.0346   318.71
1965   1   -2.8234   -14.2729   49.8127   153.2882   319.44
1965   2   -0.6799   -12.2967   71.7085   236.6544   320.44
1965   3   3.2772   -6.4765   33.2661   346.071   320.89
1965   4   10.9544   -1.9464   65.4154   446.3552   322.14
1965   5   22.5546   5.8296   39.7153   544.9573   322.17
1965   6   24.4852   8.5791   56.5671   599.1619   321.87
1965   7   26.0923   10.4097   74.6399   566.2343   321.21
1965   8   25.3862   11.9707   101.3323   455.0094   318.87
1965   9   21.0793   9.1603   109.0931   357.9247   317.81
1965   10   14.7799   1.6414   70.2677   249.6637   317.3
1965   11   6.5663   -3.4105   71.9048   181.6651   318.87
1965   12   2.2471   -6.6382   50.3527   127.0719   319.42
1966   1   -1.7904   -11.9344   53.7598   150.6264   320.62
1966   2   0.0074   -12.1058   79.292   238.9741   321.6
1966   3   5.1818   -5.6444   75.172   316.2257   322.39
1966   4   11.0748   -1.8622   36.5134   433.9455   323.7
1966   5   17.236   3.5502   77.5977   491.587   324.08
1966   6   25.2789   9.9888   78.1863   574.0957   323.75
1966   7   27.9119   12.1243   91.2172   588.1339   322.38
1966   8   26.3127   11.615   67.9189   473.6234   320.36
1966   9   19.8165   6.8688   131.7762   375.8668   318.64
1966   10   15.1917   1.1328   81.4551   243.5865   318.1
1966   11   10.1453   -0.6875   75.3802   154.2702   319.78
1966   12   1.2931   -8.347   77.9392   129.1779   321.03
1967   1   1.7673   -8.5778   33.8128   140.4391   322.33
1967   2   -2.0806   -15.084   66.4948   239.5861   322.5
1967   3   2.608   -9.0393   73.1009   317.0169   323.04
1967   4   11.0777   -1.2093   103.7354   406.778   324.42
1967   5   15.2718   2.1361   122.122   489.2971   325
1967   6   25.8155   11.4669   96.0419   519.8149   324.09
1967   7   26.0079   14.0621   116.2561   511.2246   322.54
1967   8   24.6014   12.4606   97.3455   452.0648   320.92
1967   9   21.621   6.995   52.3111   394.9745   319.25
1967   10   15.1446   2.7092   81.9067   248.7016   319.39
1967   11   4.7784   -4.5833   75.0557   175.7739   320.73
1967   12   1.5961   -7.6259   129.3399   115.756   321.96
1968   1   -4.1244   -16.1464   41.6543   142.9528   322.57
1968   2   -2.6752   -13.9807   18.6904   275.794   323.15
1968   3   6.5881   -5.06   100.018   296.2725   323.89
1968   4   16.2596   0.4913   78.6135   450.9079   325.02
1968   5   17.8578   4.3071   122.8026   514.569   325.57
1968   6   22.3174   10.7671   163.239   488.2787   325.36
1968   7   27.4729   13.4433   32.2223   580.9501   324.14
1968   8   25.5348   11.515   53.2806   475.2462   322.11
1968   9   23.1692   8.8248   70.8398   400.9466   320.33
1968   10   16.4484   3.9658   64.9224   254.5951   320.25
1968   11   6.0565   -2.5291   155.6701   151.7142   321.32
1968   12   -1.1491   -10.1952   130.8277   123.1402   322.89
1969   1   -1.7722   -12.2022   46.9498   152.8345   324
1969   2   -0.6541   -10.6547   64.7457   226.7925   324.42
1969   3   3.101   -7.2124   50.6472   344.9064   325.63
1969   4   14.476   0.5132   115.3986   416.5906   326.66
1969   5   19.2365   4.8069   85.8998   505.8134   327.38
1969   6   24.112   10.4779   112.4697   552.3168   326.71
1969   7   24.7949   12.8852   151.1089   510.5955   325.88
1969   8   26.5492   12.9249   97.4044   482.5327   323.66
1969   9   21.6053   9.0895   69.354   366.4979   322.38
1969   10   15.4122   1.5711   47.0933   248.4232   321.78
1969   11   7.2295   -1.3867   167.3051   145.7978   322.86
1969   12   -1.389   -9.6683   155.5298   114.6937   324.12
1970   1   -5.5704   -18.9506   16.8892   174.5141   325.06
1970   2   0.5731   -12.345   82.8758   236.8277   325.98
1970   3   3.3935   -6.947   70.4596   333.0346   326.93
1970   4   13.0396   -0.4921   96.7147   454.856   328.13
1970   5   20.1708   6.874   87.0133   484.7105   328.08
1970   6   23.6731   10.2924   98.6649   565.3577   327.67
1970   7   26.6521   13.5663   56.2214   551.7073   326.34
1970   8   26.883   12.1989   96.7788   501.9748   324.69
1970   9   21.5719   9.4471   97.5965   358.3575   323.1
1970   10   16.1885   4.3676   68.6995   232.8903   323.06
1970   11   8.7006   -0.7087   77.522   140.7777   324.01
1970   12   -1.3826   -10.7172   92.8688   125.2843   325.13
1971   1   -3.7424   -16.6545   47.1821   164.0727   326.17
1971   2   0.0097   -10.7282   111.4858   210.9858   326.68
1971   3   2.7551   -7.2109   76.5256   346.033   327.17
1971   4   10.4868   -2.3708   53.8436   433.2297   327.79
1971   5   18.5389   4.7014   101.9262   462.6919   328.93
1971   6   25.6702   9.8411   61.8198   605.4519   328.57
1971   7   26.6262   11.7711   97.8887   574.2813   327.36
1971   8   25.5275   11.6768   171.2726   475.0931   325.43
1971   9   22.3419   11.1642   81.9405   361.876   323.36
1971   10   18.2924   5.6251   69.2702   226.2876   323.56
1971   11   6.2021   -3.2877   112.4904   168.9398   324.8
1971   12   2.5322   -7.1398   91.293   124.6881   326.01
1972   1   0.6121   -11.6913   46.8037   157.6977   326.77
1972   2   -1.1578   -13.3546   97.5579   238.4119   327.63
1972   3   3.0169   -7.1538   110.31   298.8863   327.75
1972   4   9.7656   -3.0869   97.8475   437.9866   329.72
1972   5   19.8773   6.3642   135.4894   450.8923   330.07
1972   6   21.5647   10.9095   213.838   471.2147   329.09
1972   7   26.2433   13.9053   105.5332   510.3921   328.04
1972   8   24.7109   11.6486   63.9937   472.1529   326.32
1972   9   21.6595   8.0019   43.9158   357.7545   324.84
1972   10   12.6543   0.259   88.7799   242.6985   325.2
1972   11   4.735   -3.2879   199.0134   150.9951   326.5
1972   12   1.2225   -6.7863   162.3272   96.1542   327.55
1973   1   1.2783   -9.9184   81.9344   156.7718   328.55
1973   2   -0.5628   -12.488   64.9207   247.5471   329.56
1973   3   8.5502   -2.0508   75.568   288.4571   330.3
1973   4   13.2364   1.4182   135.9698   403.0334   331.5
1973   5   17.3281   5.5393   156.0174   444.2903   332.48
1973   6   24.9615   12.4421   159.1094   522.2526   332.07
1973   7   27.1903   13.9198   80.983   549.0501   330.87
1973   8   27.5469   14.7079   73.8578   482.5622   329.31
1973   9   21.4135   7.7653   56.8701   387.6081   327.51
1973   10   16.4935   2.2977   59.9092   260.0871   327.18
