"species","age","mapcode"
"fraxamer","105","1"
"prunsero","107","1"
"acersacc","102","2"
"fraxamer","105","2"
"acersacc","82","3"
"fraxamer","64","3"
"querrubr","53","3"
"acerrubr","104","4"
"betupapy","79","4"
"fraxamer","80","4"
"fraxamer","74","5"
"acersacc","74","6"
"acersacc","94","7"
"fraxamer","88","7"
"betualle","89","8"
"fraxamer","79","8"
"acersacc","59","9"
"acersacc","70","10"
"acersacc","78","11"
"betualle","84","11"
"fagugran","53","11"
"fraxamer","81","11"
"tsugcana","53","11"
"acersacc","76","12"
"fraxamer","81","12"
"acersacc","74","13"
"fagugran","63","13"
"fraxamer","70","13"
"acersacc","65","14"
"fraxamer","77","14"
"acersacc","66","15"
"fraxamer","57","15"
"acersacc","85","16"
"fagugran","53","16"
"fraxamer","95","16"
"acersacc","84","17"
"fagugran","51","17"
"acersacc","87","18"
"betualle","76","18"
"fraxamer","78","18"
"betualle","66","19"
"fraxamer","45","19"
"acersacc","82","20"
"betualle","38","20"
"fraxamer","80","20"
"prunsero","79","20"
"acersacc","98","21"
"fraxamer","107","21"
"abiebals","85","22"
"acersacc","86","22"
"betualle","67","22"
"fraxamer","81","22"
"acersacc","94","23"
"betualle","91","23"
"fagugran","84","23"
"fraxamer","93","23"
"acersacc","100","24"
"fraxamer","99","24"
"betualle","121","25"
"fagugran","93","25"
"fraxamer","54","25"
"prunsero","111","25"
"acerrubr","90","26"
"acersacc","90","26"
"betualle","51","26"
"fraxamer","92","26"
"acersacc","94","27"
"fraxamer","116","27"
"acersacc","85","28"
"betualle","77","28"
"fraxamer","88","28"
"acersacc","48","29"
"betualle","51","30"
"acersacc","46","31"
"fraxamer","33","31"
"acersacc","66","32"
"betualle","45","32"
"betupapy","29","32"
"fraxamer","53","32"
"acersacc","90","33"
"fagugran","71","33"
"acersacc","94","34"
"fraxamer","81","34"
"acersacc","46","35"
"acersacc","63","36"
"acersacc","70","37"
"fraxamer","75","37"
"acersacc","85","38"
"fagugran","36","38"
"fraxamer","74","38"
"prunsero","66","38"
"acersacc","105","39"
"fagugran","84","39"
"fraxamer","100","39"
"acersacc","98","40"
"fraxamer","86","40"
"acersacc","95","41"
"fraxamer","71","41"
"acersacc","87","42"
"betualle","87","42"
"fraxamer","113","42"
"acersacc","102","43"
"fraxamer","59","43"
"acersacc","111","44"
"fraxamer","77","44"
"acersacc","116","45"
"betualle","105","45"
"fraxamer","112","45"
"acersacc","77","46"
"betualle","58","46"
"fraxamer","77","46"
"acersacc","82","47"
"fraxamer","74","47"
"acersacc","115","48"
"betupapy","95","48"
"fraxamer","96","48"
"acersacc","72","49"
"fraxamer","71","49"
"acersacc","65","50"
"fagugran","56","50"
"fraxamer","64","50"
"acersacc","55","51"
"fraxamer","59","51"
"acersacc","81","52"
"fraxamer","55","52"
"acersacc","81","53"
"fagugran","48","53"
"fraxamer","72","53"
"acersacc","60","54"
"betualle","56","54"
"fraxamer","57","54"
"acersacc","113","55"
"fraxamer","110","55"
"acersacc","96","56"
"fraxamer","90","56"
"acersacc","73","57"
"fagugran","36","57"
