mukey,FirstOfslopegradwta,FirstOfbrockdepmin,SumOfksat_weight1,SumOfsand_weight1,SumOfsilt_weight1,SumOfclay_weight1,SumOffieldcap_weight1,SumOfmaxdepth_weight,texture,texdesc,texcl
1153255,75,,30,68.19999695,23.79999924,8,15.80000019,100,GR-SL,Gravelly sandy loam,Sandy loam
1399919,9,,7.559670125,53.11998696,40.91183913,2.592521739,14.05341509,98.38,FSL,Fine sandy loam,Fine sandy loam
1399962,25,,7.584262919,53.18974366,40.47434648,2.629712676,14.11382155,99.42,FSL,Fine sandy loam,Fine sandy loam
1400056,48,,7.507289585,52.92948696,41.21193913,2.552921739,14.00741508,98.38,FSL,Fine sandy loam,Fine sandy loam
1400121,24.9,,31.72274183,61.56885915,28.5233662,1.88228169,12.45648419,98.55,GR-LS,Gravelly loamy sand,Loamy sand
1400122,47.2,,35.58950684,62.1971,28.9213,1.8316,11.98341995,100,GR-LS,Gravelly loamy sand,Loamy sand
1400125,8,,6.188810583,43.0745,51.2055,6.14,19.17277001,100,CN-SIL,Channery silt loam,Silt loam
1400324,12,71,12.45873106,50.80421935,35.99633491,3.10435695,18.16242329,85.33,FSL,Fine sandy loam,Fine sandy loam
1400325,24.8,71,12.45873106,50.80421935,35.99633491,3.10435695,18.16242329,85.33,FSL,Fine sandy loam,Fine sandy loam
1400326,47.2,71,14.96265671,51.52751066,34.91516099,3.041804776,18.08575676,84.25,FSL,Fine sandy loam,Fine sandy loam
1400352,,0,,,,,,49,,,
1400357,,,,,,,,100,VAR,Variable,
1529472,1,,13.25184995,8.179300032,3.572600008,0.5781,49.10360072,100,PEAT,Peat,
1606802,24.9,,31.72274183,61.56885915,28.5233662,1.88228169,12.45648419,98.55,GR-LS,Gravelly loamy sand,Loamy sand
1606804,47.2,,35.58950684,62.1971,28.9213,1.8316,11.98341995,100,GR-LS,Gravelly loamy sand,Loamy sand
1607207,2,,380.1766353,126.0945803,20.49001989,5.0954,13.02740982,100,COS,Coarse sand,Coarse sand
1689460,4,,32.7497451,63.06621549,27.33351972,1.928969014,13.2101025,99.13,GR-LS,Gravelly loamy sand,Loamy sand
1689462,48,,7.507289585,52.92948696,41.21193913,2.552921739,14.00741508,98.38,FSL,Fine sandy loam,Fine sandy loam
1689466,37.2,,10.92672222,73.23071969,25.54141189,6.703422222,13.63202915,99.43,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
1689475,12,71,12.45873106,50.80421935,35.99633491,3.10435695,18.16242329,85.33,FSL,Fine sandy loam,Fine sandy loam
1689476,24.8,71,12.45873106,50.80421935,35.99633491,3.10435695,18.16242329,85.33,FSL,Fine sandy loam,Fine sandy loam
276561,2,,6.612500058,36.85699947,50.86800053,12.275,22.74900011,100,SIL,Silt loam,Silt loam
276562,6,,6.612500058,36.85699947,50.86800053,12.275,22.74900011,100,SIL,Silt loam,Silt loam
276563,12,,6.612500058,36.85699947,50.86800053,12.275,22.74900011,100,SIL,Silt loam,Silt loam
276564,20,,6.612500058,36.85699947,50.86800053,12.275,22.74900011,100,SIL,Silt loam,Silt loam
276565,6,,6.612500058,36.85699947,50.86800053,12.275,23.30100035,100,SIL,Silt loam,Silt loam
276566,12,,6.612500058,36.85699947,50.86800053,12.275,23.30100035,100,SIL,Silt loam,Silt loam
276567,20,,6.612500058,36.85699947,50.86800053,12.275,23.30100035,100,SIL,Silt loam,Silt loam
276568,6,,6.612500058,36.85699947,50.86800053,12.275,23.10100035,100,SIL,Silt loam,Silt loam
276569,12,,6.612500058,36.85699947,50.86800053,12.275,23.38100027,100,SIL,Silt loam,Silt loam
276570,20,,6.612500058,36.85699947,50.86800053,12.275,23.38100027,100,SIL,Silt loam,Silt loam
276571,29.6,,11.65985228,56.25906087,35.28671739,3.217265217,15.58753567,95.14,FSL,Fine sandy loam,Fine sandy loam
276572,4,,5.134399986,38.59700035,54.40299965,7,17.35100036,100,GR-SIL,Gravelly silt loam,Silt loam
276574,2,,111.3466002,40.36999969,18.36999992,11,15.41599979,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
276575,6,,111.3466002,40.36999969,18.36999992,11,15.41599979,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
276576,12,,111.3466002,40.36999969,18.36999992,11,15.41599979,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
276577,20,,111.3466002,40.36999969,18.36999992,11,15.41599979,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
276578,8,,111.3466002,40.36999969,18.36999992,11,15.41599979,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
276579,2,,98.50730786,85.18585997,13.42235,1.73179,9.066929885,100,LFS,Loamy fine sand,Loamy fine sand
276580,9,38,9.170000076,39.27906977,42.22093023,18.5,25.71395328,43,L,Loam,Loam
276581,9,0,9.170000076,39.27906977,42.22093023,18.5,25.71395328,43,L,Loam,Loam
276582,20,0,9.170000076,39.27906977,42.22093023,18.5,25.71395328,43,L,Loam,Loam
