LandisData	EcoregionParameters

EcoregionParameters   SoilType   Latitude   RootingDepth   PrecLossFrac   LeakageFrac   RunoffCapture   PrecIntConst   SnowSublimFrac   WinterSTD   ClimateFileName
1   LOAM   43   42.19435163   0.368178145   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_1_clim_31May2022.txt
2   LOAM   43   36.78215687   0.55288461   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_2_clim_31May2022.txt
3   LOAM   43   42.50676472   0.452062079   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_3_clim_31May2022.txt
5   LOSA   43   50   0.253602793   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_5_clim_31May2022.txt
6   LOSA   43   50   0.277615858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_6_clim_31May2022.txt
7   LOSA   43   50   0.139424539   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_7_clim_31May2022.txt
10   SAND   43   50   0.386654558   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_10_clim_31May2022.txt
11   SAND   43   50   0.423037497   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_11_clim_31May2022.txt
12   SAND   43   50   0.417131965   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_12_clim_31May2022.txt
14   SNCL   43   50   0.105198831   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_14_clim_31May2022.txt
16   SALO   43   43.75169605   0.446919765   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_16_clim_31May2022.txt
17   SALO   43   42.1121404   0.470878364   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_17_clim_31May2022.txt
18   SALO   43   41.10227192   0.6   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_18_clim_31May2022.txt
20   SILO   43   48.47746002   0.228958188   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_20_clim_31May2022.txt
21   SILO   43   46.77927554   0.32396466   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_21_clim_31May2022.txt
22   SILO   43   42.29776375   0.447568858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_22_clim_31May2022.txt
101   LOAM   45   42.19435163   0.368178145   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_101_clim_31May2022.txt
102   LOAM   45   36.78215687   0.55288461   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_102_clim_31May2022.txt
103   LOAM   45   42.50676472   0.452062079   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_103_clim_31May2022.txt
105   LOSA   45   50   0.253602793   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_105_clim_31May2022.txt
106   LOSA   45   50   0.277615858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_106_clim_31May2022.txt
107   LOSA   45   50   0.139424539   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_107_clim_31May2022.txt
110   SAND   45   50   0.386654558   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_110_clim_31May2022.txt
111   SAND   45   50   0.423037497   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_111_clim_31May2022.txt
112   SAND   45   50   0.417131965   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_112_clim_31May2022.txt
116   SALO   45   43.75169605   0.446919765   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_116_clim_31May2022.txt
117   SALO   45   42.1121404   0.470878364   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_117_clim_31May2022.txt
118   SALO   45   41.10227192   0.6   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_118_clim_31May2022.txt
120   SILO   45   48.47746002   0.228958188   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_120_clim_31May2022.txt
121   SILO   45   46.77927554   0.32396466   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_121_clim_31May2022.txt
122   SILO   45   42.29776375   0.447568858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_122_clim_31May2022.txt
123   SLCL   45   50   0.142438442   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_123_clim_31May2022.txt
124   SLCL   45   50   0.144224227   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_124_clim_31May2022.txt
201   LOAM   43   42.19435163   0.368178145   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_1_clim_31May2022.txt
202   LOAM   43   36.78215687   0.55288461   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_2_clim_31May2022.txt
203   LOAM   43   42.50676472   0.452062079   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_3_clim_31May2022.txt
205   LOSA   43   50   0.253602793   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_5_clim_31May2022.txt
206   LOSA   43   50   0.277615858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_6_clim_31May2022.txt
207   LOSA   43   50   0.139424539   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_7_clim_31May2022.txt
210   SAND   43   50   0.386654558   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_10_clim_31May2022.txt
211   SAND   43   50   0.423037497   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_11_clim_31May2022.txt
212   SAND   43   50   0.417131965   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_12_clim_31May2022.txt
214   SNCL   43   50   0.105198831   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_14_clim_31May2022.txt
216   SALO   43   43.75169605   0.446919765   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_16_clim_31May2022.txt
217   SALO   43   42.1121404   0.470878364   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_17_clim_31May2022.txt
218   SALO   43   41.10227192   0.6   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_18_clim_31May2022.txt
220   SILO   43   48.47746002   0.228958188   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_20_clim_31May2022.txt
221   SILO   43   46.77927554   0.32396466   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_21_clim_31May2022.txt
222   SILO   43   42.29776375   0.447568858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_22_clim_31May2022.txt
301   LOAM   45   42.19435163   0.368178145   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_101_clim_31May2022.txt
302   LOAM   45   36.78215687   0.55288461   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_102_clim_31May2022.txt
303   LOAM   45   42.50676472   0.452062079   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_103_clim_31May2022.txt
305   LOSA   45   50   0.253602793   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_105_clim_31May2022.txt
306   LOSA   45   50   0.277615858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_106_clim_31May2022.txt
307   LOSA   45   50   0.139424539   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_107_clim_31May2022.txt
310   SAND   45   50   0.386654558   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_110_clim_31May2022.txt
311   SAND   45   50   0.423037497   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_111_clim_31May2022.txt
312   SAND   45   50   0.417131965   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_112_clim_31May2022.txt
316   SALO   45   43.75169605   0.446919765   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_116_clim_31May2022.txt
317   SALO   45   42.1121404   0.470878364   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_117_clim_31May2022.txt
318   SALO   45   41.10227192   0.6   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_118_clim_31May2022.txt
320   SILO   45   48.47746002   0.228958188   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_120_clim_31May2022.txt
321   SILO   45   46.77927554   0.32396466   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_121_clim_31May2022.txt
322   SILO   45   42.29776375   0.447568858   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_122_clim_31May2022.txt
323   SLCL   45   50   0.142438442   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_123_clim_31May2022.txt
324   SLCL   45   50   0.144224227   1   0   0.1   0.15   6.67   histclim_by_ecoregion/eco_124_clim_31May2022.txt
