LandisData	Ecoregions

>> Active   MapCode   Name   Description
yes   1   1   description
yes   2   2   description
yes   3   3   description
yes   5   5   description
yes   6   6   description
yes   7   7   description
yes   10   10   description
yes   11   11   description
yes   12   12   description
yes   14   14   description
yes   16   16   description
yes   17   17   description
yes   18   18   description
yes   20   20   description
yes   21   21   description
yes   22   22   description
yes   101   101   description
yes   102   102   description
yes   103   103   description
yes   105   105   description
yes   106   106   description
yes   107   107   description
yes   110   110   description
yes   111   111   description
yes   112   112   description
yes   116   116   description
yes   117   117   description
yes   118   118   description
yes   120   120   description
yes   121   121   description
yes   122   122   description
yes   123   123   description
yes   124   124   description
yes   201   201   description
yes   202   202   description
yes   203   203   description
yes   205   205   description
yes   206   206   description
yes   207   207   description
yes   210   210   description
yes   211   211   description
yes   212   212   description
yes   214   214   description
yes   216   216   description
yes   217   217   description
yes   218   218   description
yes   220   220   description
yes   221   221   description
yes   222   222   description
yes   301   301   description
yes   302   302   description
yes   303   303   description
yes   305   305   description
yes   306   306   description
yes   307   307   description
yes   310   310   description
yes   311   311   description
yes   312   312   description
yes   316   316   description
yes   317   317   description
yes   318   318   description
yes   320   320   description
yes   321   321   description
yes   322   322   description
yes   323   323   description
yes   324   324   description
no   0   0   description
