Year        Month        Tmax        Tmin        PAR        Prec        CO2
1800-1970        1        -6.318        -20.2199        170.3047        17.1704        325.06
1800-1970        2        -0.0421        -12.9837        230.2687        70.8694        325.98
1800-1970        3        2.9269        -7.3654        329.7075        68.5797        326.93
1800-1970        4        12.4475        -0.6992        451.4861        100.2207        328.13
1800-1970        5        19.6208        6.6478        486.0121        92.0492        328.08
1800-1970        6        23.1068        9.85        569.1668        105.4748        327.67
1800-1970        7        25.857        13.1161        548.801        56.5249        326.34
1800-1970        8        26.0694        11.5118        500.2661        95.596        324.69
1800-1970        9        20.6484        8.964        349.8303        106.779        323.1
1800-1970        10        15.5633        4.4105        226.6121        74.4128        323.06
1800-1970        11        7.9629        -0.8973        135.6304        72.0635        324.01
1800-1970        12        -2.3874        -11.6935        119.7789        103.006        325.13
1971        1        -4.5111        -17.3603        159.1419        46.2601        326.17
1971        2        -0.6152        -11.3737        203.4812        117.2989        326.68
1971        3        2.0277        -8.0715        341.3141        86.5986        327.17
1971        4        9.4598        -2.6409        425.0036        54.1848        327.79
1971        5        18.2196        4.6329        467.7517        99.9224        328.93
1971        6        24.8985        9.264        604.2588        67.8333        328.57
1971        7        25.7868        11.378        571.3838        105.2069        327.36
1971        8        24.7371        11.1868        470.2622        174.3943        325.43
1971        9        21.779        10.6303        360.4901        64.5011        323.36
1971        10        17.706        5.3609        219.9096        65.446        323.56
1971        11        5.3574        -3.698        164.5822        114.9427        324.8
1971        12        1.5497        -8.0311        119.4002        97.8032        326.01
1972        1        -0.0599        -12.6373        154.6938        47.493        326.77
1972        2        -1.8019        -14.0734        233.0811        93.9113        327.63
1972        3        2.2137        -7.5363        294.0353        113.6677        327.75
1972        4        8.8136        -3.3421        441.9365        93.9686        329.72
1972        5        19.4687        6.1622        450.596        138.8142        330.07
1972        6        21.0907        10.7199        473.2188        187.9945        329.09
1972        7        25.3713        13.4068        507.6564        118.9099        328.04
1972        8        23.6577        10.9687        465.3658        69.6619        326.32
1972        9        20.7691        7.2847        351.0693        45.9795        324.84
1972        10        11.7103        0.0829        234.9482        90.0875        325.2
1972        11        3.8652        -3.5479        144.8298        205.6308        326.5
1972        12        0.5812        -7.6743        92.3133        166.917        327.55
1973        1        0.5021        -10.4627        151.1432        76.8937        328.55
1973        2        -1.2274        -13.1678        241.4706        57.8448        329.56
1973        3        7.9469        -2.1627        284.1039        71.3721        330.3
1973        4        12.7324        1.346        405.7162        127.3139        331.5
1973        5        16.7425        5.4497        439.1032        166.1701        332.48
1973        6        24.1827        12.0536        526.7694        171.088        332.07
1973        7        26.5682        13.6329        549.237        71.1443        330.87
1973        8        26.9298        14.2222        482.2822        83.1523        329.31
1973        9        20.572        7.1797        379.8257        57.0294        327.51
1973        10        15.7477        1.9891        252.8797        62.3281        327.18
1973        11        6.9845        -2.0415        135.7809        63.9735        328.16
1973        12        1.8277        -7.5228        95.6458        221.5196        328.64
1974        1        -0.4425        -11.0422        151.1432        69.9082        329.35
1974        2        -1.3336        -13.617        241.4706        71.9333        330.71
1974        3        3.7033        -6.4889        284.1039        95.5822        331.48
1974        4        14.0346        0.3143        405.7162        71.1424        332.65
1974        5        16.7689        4.5937        439.1032        123.3057        333.19
1974        6        23.2924        10.1214        526.7694        79.4641        332.2
1974        7        25.6027        12.4957        549.237        105.027        331.07
1974        8        25.1595        11.6373        482.2822        102.4217        329.15
1974        9        19.3511        7.423        379.8257        155.2135        327.33
1974        10        12.1065        -1.0875        252.8797        36.107        327.28
1974        11        7.4166        -2.3864        154.0636        120.8646        328.31
1974        12        1.7697        -6.5067        100.4692        76.0233        329.58
1975        1        0.6045        -10.3962        141.616        92.4801        330.73
1975        2        -0.0989        -11.0993        240.0286        94.184        331.46
1975        3        2.8841        -7.3775        312.5436        76.3554        331.94
1975        4        8.4291        -2.8298        430.058        80.6211        333.11
1975        5        22.5718        7.4147        490.2135        65.6697        333.95
1975        6        22.8862        10.9322        545.4797        120.7088        333.42
1975        7        26.9411        14.3242        548.9041        153.6208        331.97
1975        8        24.7879        12.41        483.6305        173.4219        329.95
1975        9        18.5793        7.2709        376.5219        153.0147        328.5
1975        10        15.7263        3.8762        256.1147        149.1659        328.36
1975        11        10.3465        -0.1352        137.1935        122.0443        329.38
1975        12        -0.1172        -10.4236        105.9242        93.8119        330.62
1976        1        -4.1424        -17.0669        142.5434        108.9083        331.56
1976        2        3.0946        -9.728        216.2681        91.4742        332.74
1976        3        6.1079        -6.441        322.3325        92.3501        333.36
1976        4        14.2633        0.6144        478.7199        99.0274        334.74
1976        5        17.8605        4.283        525.3443        149.7968        334.72
1976        6        25.3548        12.433        533.1986        104.3102        333.98
1976        7        24.1147        11.9741        550.0426        125.552        333.08
1976        8        24.1945        11.1008        464.8316        163.3286        330.68
1976        9        19.778        6.3088        346.7845        87.4739        328.96
1976        10        12.1257        1.0892        233.4798        143.4766        328.72
1976        11        4.6366        -4.2585        153.051        40.4095        330.16
1976        12        -1.7111        -13.7117        113.6981        53.8374        331.62
1977        1        -5.1821        -16.9762        146.5786        48.9875        332.68
1977        2        -0.8922        -11.2772        219.7234        71.4887        333.17
1977        3        7.9013        -3.381        325.0473        153.825        334.96
1977        4        13.2259        -0.4581        453.9171        109.6713        336.14
1977        5        22.0343        5.6417        479.9841        68.6787        336.93
1977        6        21.5802        9.7843        547.917        115.3261        336.17
1977        7        26.0713        12.3547        524.6887        58.2693        334.88
1977        8        24.3091        11.841        464.4813        101.8857        332.56
1977        9        19.1922        9.3065        376.851        159.2279        331.29
1977        10        13.6716        1.9821        234.0964        143.9387        331.28
1977        11        8.2614        -0.1906        181.55        115.5276        332.46
1977        12        -1.1339        -10.2448        136.3764        132.5581        333.6
1978        1        -3.322        -13.3085        171.1761        161.5048        334.94
1978        2        -3.9985        -17.5596        232.4646        23.3477        335.26
1978        3        2.314        -9.1087        314.4901        64.2926        336.66
1978        4        9.8367        -1.9084        456.1333        52.9276        337.69
1978        5        19.7827        5.9215        580.6655        60.3824        338.02
1978        6        23.093        9.3431        554.6333        118.4442        338.01
1978        7        25.8344        11.5385        534.5724        72.4944        336.5
1978        8        24.5327        12.6422        464.6342        103.6849        334.42
1978        9        19.6425        5.0698        321.2763        55.3058        332.36
1978        10        13.738        1.1122        223.2698        93.957        332.45
1978        11        7.9135        -4.0023        133.8102        48.0692        333.76
1978        12        0.7831        -9.4871        113.8409        101.2343        334.91
1979        1        -2.3398        -11.7826        111.9976        191.7914        336.14
1979        2        -6.4829        -17.7272        256.0695        55.2908        336.69
1979        3        6.9593        -4.0364        298.7562        70.5804        338.27
1979        4        11.1379        -0.464        410.842        111.8049        338.82
1979        5        19.3384        7.3244        473.1969        135.056        339.24
1979        6        23.2066        9.2382        603.6559        30.3906        339.26
1979        7        26.5798        13.4885        549.2669        107.8059        337.54
1979        8        24.0306        12.1735        435.1486        93.268        335.72
1979        9        20.9158        6.5828        397.3827        110.3484        333.97
1979        10        13.1318        3.0206        213.7168        98.8835        334.24
1979        11        9.8224        -0.1049        138.2829        95.7166        335.32
1979        12        2.758        -7.367        127.8168        47.9887        336.82
1980        1        -0.9022        -11.255        161.7693        18.031        337.9
1980        2        -2.2773        -14.49        251.9784        22.3908        338.34
1980        3        3.9526        -7.0501        307.5831        122.3504        340.07
1980        4        12.5738        0.3237        388.3184        93.4485        340.93
1980        5        20.3935        5.2213        556.8741        34.9538        341.45
1980        6        21.8663        8.0745        553.9688        113.6127        341.36
1980        7        26.3782        13.113        550.01        73.1083        339.45
1980        8        25.834        13.0417        469.008        85.9394        337.67
1980        9        21.5188        7.9785        405.4123        82.1472        336.25
1980        10        12.7009        1.455        244.0185        71.2351        336.14
1980        11        4.8177        -4.3167        153.6128        94.2805        337.3
1980        12        -1.7198        -14.8622        137.1679        39.3257        338.29
1981        1        -5.4652        -18.4983        178.5983        12.8371        339.29
1981        2        4.2189        -7.571        181.353        182.8835        340.55
1981        3        5.202        -5.6353        339.6549        13.8769        341.63
1981        4        13.8839        0.6945        423.8909        80.7424        342.6
1981        5        20.661        5.424        534.4264        92.1448        343.04
1981        6        23.717        10.4982        549.1909        82.2057        342.54
1981        7        25.7104        13.2224        515.4219        113.7616        340.82
1981        8        24.6043        11.1699        456.1212        78.1        338.48
1981        9        18.9709        8.3382        314.1249        135.0498        336.95
1981        10        12.0764        0.437        212.445        126.167        337.05
1981        11        7.2291        -2.4374        143.9198        55.5004        338.57
1981        12        -0.0902        -8.456        107.4709        112.2664        339.91
1982        1        -5.8784        -18.4692        143.537        82.113        340.93
1982        2        -0.6787        -13.0987        227.8652        90.491        341.76
1982        3        4.1392        -8.2347        337.3459        79.0818        342.78
1982        4        11.1061        -2.7427        481.809        82.5074        343.96
1982        5        20.7521        5.9454        496.739        65.9354        344.77
1982        6        20.9068        9.63        450.8227        179.2315        343.88
1982        7        26.5566        11.6848        602.9596        65.4848        342.42
1982        8        23.5528        9.9673        468.8875        76.1961        340.24
1982        9        21.1778        7.8425        356.5192        58.3635        338.38
1982        10        15.2375        1.1551        277.9358        43.1775        338.41
1982        11        9.4382        -0.8668        142.1164        108.1072        339.44
1982        12        4.3646        -6.1954        110.8382        50.8089        340.78
1983        1        -0.8921        -11.4902        154.3523        97.9844        341.57
1983        2        0.9262        -11.0712        234.525        71.4694        342.79
1983        3        4.9664        -3.9709        272.8623        122.8701        343.37
1983        4        10.9796        0.3864        345.6155        195.4497        345.4
1983        5        16.8684        5.1214        407.5542        188.0913        346.14
1983        6        25.0856        10.1968        599.025        62.646        345.76
1983        7        27.4144        12.8389        559.5124        41.1827        344.32
1983        8        25.5208        12.6047        488.2688        149.2946        342.5
1983        9        23.0464        8.043        431.6019        55.3442        340.46
1983        10        14.5119        2.4185        253.7493        82.9587        340.53
1983        11        7.2619        -2.0334        136.3977        176.6064        341.79
1983        12        -1.2609        -10.075        116.8838        179.2171        343.2
1984        1        -3.28        -14.622        152.927        41.8886        344.21
1984        2        3.3        -6.9725        188.7146        99.5451        344.92
1984        3        0.7273        -9.5947        338.3527        98.8049        345.68
1984        4        11.8742        0.3615        396.3235        109.9707        347.14
1984        5        16.9622        4.2532        440.0911        276.8602        347.78
1984        6        24.6458        10.4361        587.4742        56.9379        347.16
1984        7        25.0689        12.803        495.6178        144.2886        345.79
1984        8        25.7071        13.553        473.0793        88.1821        343.74
1984        9        20.0318        6.2795        382.5182        43.9279        341.59
1984        10        16.111        3.7394        256.1982        69.5235        341.86
1984        11        7.6571        -2.8129        163.1475        84.1461        343.31
1984        12        3.6024        -5.8823        112.244        99.2511        345
1985        1        -4.2422        -14.2528        153.2823        31.6718        345.48
1985        2        0.2877        -10.8748        215.5033        45.7454        346.42
1985        3        6.9178        -5.912        351.9569        81.9236        347.91
1985        4        13.3246        0.7832        480.7022        50.4232        348.66
1985        5        20.365        6.1127        507.1777        85.3001        349.28
1985        6        20.632        9.1457        467.4248        98.2593        348.65
1985        7        26.0908        12.3195        575.1673        54.7649        346.9
1985        8        24.3863        11.4162        437.2852        107.9205        345.26
1985        9        21.4563        8.7226        361.6783        98.4292        343.47
1985        10        15.1383        2.3967        236.7317        75.0686        343.35
1985        11        7.1206        -0.9502        105.7625        136.8552        344.73
1985        12        -1.6138        -10.9814        117.823        60.9871        346.12
1986        1        -1.0326        -12.5422        151.5069        103.0007        346.78
1986        2        -2.0554        -13.1831        210.1317        82.861        347.48
1986        3        6.3182        -6.0794        333.0498        101.84        348.25
1986        4        15.0284        1.4923        442.8838        42.2839        349.86
