"","initcomm_cells_select_fram_minusfrni"
"1",137
"2",421
"3",422
"4",427
"5",635
"6",852
"7",921
"8",1135
"9",1137
"10",1138
"11",1640
"12",1921
"13",1924
"14",2137
"15",2422
"16",2423
"17",2630
"18",2631
"19",2637
"20",2640
"21",2792
"22",2852
"23",2917
"24",2921
"25",3136
"26",3265
"27",3287
"28",3289
"29",3290
"30",3355
"31",3417
"32",3426
"33",3634
"34",3760
"35",3789
"36",3917
"37",4211
"38",4291
"39",4292
"40",4302
"41",4304
"42",4353
"43",4420
"44",4710
"45",4711
"46",4758
"47",4787
"48",4789
"49",4791
"50",4799
"51",5127
"52",5137
"53",5205
"54",5208
"55",5261
"56",5297
"57",5366
"58",5424
"59",5765
"60",5804
"61",5914
"62",5972
"63",5973
"64",6128
"65",6129
"66",6131
"67",6134
"68",6207
"69",6258
"70",6295
"71",6296
"72",6308
"73",6472
"74",6473
"75",6624
"76",6625
"77",6635
"78",6638
"79",6701
"80",6755
"81",6797
"82",6860
"83",6975
"84",7124
"85",7129
"86",7135
"87",7295
"88",7299
"89",7360
"90",7472
"91",7473
"92",7627
"93",7713
"94",7792
"95",7864
"96",7925
"97",7974
"98",7975
"99",8128
"100",8184
"101",8185
"102",8186
"103",8187
"104",8206
"105",8252
"106",8296
"107",8301
"108",8359
"109",8360
"110",8423
"111",8472
"112",8704
"113",8797
"114",8801
"115",8855
"116",8856
"117",8972
"118",8974
"119",8975
"120",9192
"121",9211
"122",9254
"123",9298
"124",9304
"125",9308
"126",9348
"127",9354
"128",9355
"129",9358
"130",9359
"131",9360
"132",9475
"133",9477
"134",9691
"135",9693
"136",9710
"137",9712
"138",9800
"139",9854
"140",9856
"141",9857
"142",9859
"143",9973
"144",9976
"145",9977
"146",10180
"147",10183
"148",10188
"149",10214
"150",10348
"151",10356
"152",10358
"153",10472
"154",10473
"155",10477
"156",10633
"157",10680
"158",10685
"159",10693
"160",10702
"161",10710
"162",10798
"163",10849
"164",10852
"165",10858
"166",11125
"167",11128
"168",11138
"169",11215
"170",11257
"171",11299
"172",11348
"173",11349
"174",11350
"175",11353
"176",11354
"177",11358
"178",11359
"179",11360
"180",11478
"181",11636
"182",11684
"183",11691
"184",11708
"185",11717
"186",11758
"187",11849
"188",11854
"189",11855
"190",11856
"191",11857
"192",11858
"193",11860
"194",12136
"195",12185
"196",12349
