"","plot_ID","azimuth","species","diam_cm","decay_class","X"
"27","BRSPunh1",0,"UNK",14.9,2,""
"28","BRSPunh1",0,"UNK",13.6,3,""
"29","BRSPunh1",120,"UNK",10,3,""
"30","BRSPunh1",120,"FRAM",7.9,2,""
"31","BRSPunh1",120,"FRAM",6.9,2,""
"32","BRSPunh1",240,"FRAM",7.5,2,""
"33","BRSPunh1",240,"FRAM",7.4,2,""
"34","BRSPunh2",0,"QURU",36.3,1,""
"35","BRSPunh2",120,"UNK",24.5,4,""
"36","BRSPunh2",120,"QURU",41.4,1,""
"37","BRSPunh2",240,"UNK",12.1,3,""
"38","BRSPunh2",240,"UNK",20.4,3,""
"39","BRSPunh2",240,"FRAM",5,1,""
"40","BRSPunh2",240,"ACRU",4.1,1,""
"41","BRSPunh2",240,"ACRU",3.8,1,""
"42","BRSPunh2",240,"ACRU",3.9,1,""
"43","BRSPunh2",240,"ACRU",2.9,1,""
"44","BRSPunh2",240,"UNK",19,3,""
"45","BRSPunh2",240,"ACRU",2.7,1,""
"46","BRSPunh2",240,"UNK",7.3,2,""
"47","BRSPunh2",240,"UNK",15.2,3,""
"48","BRSPunh2",240,"ACRU",2.6,1,""
"49","BRSPunh3",0,"UNK",16.9,4,""
"50","BRSPunh3",0,"UNK",7.8,4,""
"51","BRSPunh3",0,"QURU",29.9,2,""
"52","BRSPunh3",120,"UNK",10,4,""
"53","BRSPunh3",120,"UNK",13.8,4,""
"54","BRSPunh3",120,"UNK",9.8,3,""
"55","BRSPunh3",240,"UNK",9.7,3,""
"56","BRSPunh4",0,"UNK",9.6,5,""
"57","BRSPunh4",240,"UNK",7,2,""
"NA",NA,NA,NA,NA,NA,NA
"1181","OMSFCRgap1",0,"FRAM",9.5,1,""
"1182","OMSFCRgap1",0,"UNK",7.1,1,""
"1183","OMSFCRgap1",0,"UNK",10.4,2,""
"1184","OMSFCRgap1",0,"FRAM",13.4,2,""
"1185","OMSFCRgap1",0,"UNK",8.2,1,""
"1186","OMSFCRgap1",0,"ACSP",9.5,2,""
"1187","OMSFCRgap1",0,"FRAM",7.6,1,""
"1188","OMSFCRgap1",0,"ABBA",15,1,""
"1189","OMSFCRgap1",120,"UNK",21.1,3,""
"1190","OMSFCRgap1",120,"UNK",16,2,""
"1191","OMSFCRgap1",120,"UNK",8.9,2,""
"1192","OMSFCRgap1",120,"ABBA",18.9,1,""
"1193","OMSFCRgap1",120,"FRAM",5.5,1,""
"1194","OMSFCRgap1",120,"UNK",10.4,1,""
"1195","OMSFCRgap1",240,"UNK",12.5,3,""
"1196","OMSFCRgap1",240,"UNK",3.3,1,""
"1197","OMSFCRgap1",240,"UNK",13.9,2,""
"1198","OMSFCRgap1",240,"ABBA",7.4,1,""
"1199","OMSFCRgap1",240,"UNK",2.8,1,""
"1200","OMSFCRgap1",240,"FRAM",9.4,1,""
"1201","OMSFCRgap2",0,"FRAM",15.9,1,""
"1202","OMSFCRgap2",0,"FRAM",3.1,1,""
"1203","OMSFCRgap2",0,"FRAM",6.8,1,""
"1204","OMSFCRgap2",0,"FRAM",9.5,1,""
"1205","OMSFCRgap2",0,"FRAM",11.2,1,""
"1206","OMSFCRgap2",0,"UNK",10.6,2,""
"1207","OMSFCRgap2",0,"FRAM",9.1,1,""
"1208","OMSFCRgap2",0,"FRAM",13.2,2,""
"1209","OMSFCRgap2",0,"FRAM",6.6,1,""
"1210","OMSFCRgap2",0,"UNK",7.1,1,""
"1211","OMSFCRgap2",0,"FRAM",22.5,1,""
"1212","OMSFCRgap2",0,"PRSE",8.3,1,""
"1213","OMSFCRgap2",120,"FRAM",21.6,1,""
"1214","OMSFCRgap2",120,"UNK",27.1,3,""
"1215","OMSFCRgap2",120,"FRAM",60.1,1,""
"1216","OMSFCRgap2",120,"UNK",15.9,2,""
"1217","OMSFCRgap2",120,"FRAM",44.6,1,""
"1218","OMSFCRgap2",120,"PRSE",3.4,1,""
"1219","OMSFCRgap2",240,"BENI",4.1,1,""
"1220","OMSFCRgap2",240,"UNK",26.8,3,""
"1221","OMSFCRgap2",240,"PRSE",3.3,1,""
"1222","OMSFCRgap2",240,"UNK",32.5,3,""
"1223","OMSFCRgap2",240,"UNK",12.4,2,""
"1224","OMSFCRgap2",240,"BENI",2.2,1,""
"1225","OMSFCRgap2",240,"BENI",3.6,1,""
"1226","OMSFCRgap2",240,"PRSE",7.1,2,""
"1227","OMSFCRgap2",240,"UNK",14.7,3,""
"1228","OMSFCRgap2",240,"FRAM",12.1,1,""
"1229","OMSFCRgap3",0,"UNK",8.2,2,""
"1230","OMSFCRgap3",0,"ACSA",4,1,""
"1231","OMSFCRgap3",0,"FRAM",5.4,1,""
"1232","OMSFCRgap3",0,"FRAM",9.3,1,""
"1233","OMSFCRgap3",0,"ACPE",3.2,1,""
"1234","OMSFCRgap3",0,"ACPE",4.9,1,""
"1235","OMSFCRgap3",0,"ACSA",2,1,""
"1236","OMSFCRgap3",0,"ACSA",2.3,1,""
"1237","OMSFCRgap3",0,"FRAM",14.7,2,""
"1238","OMSFCRgap3",120,"UNK",16,4,""
"1239","OMSFCRgap3",120,"PRSE",20.9,1,""
"1240","OMSFCRgap3",120,"ACPE",6.9,2,""
"1241","OMSFCRgap3",120,"FRAM",2.7,1,""
