"","plot_ID","DBH_cm","canopy_condition","DH","WH","bark","ES","BS","bark_blonding","species","notes"
"16","BRSPunh1","73.4","2","NO","NO","NO","NO","NO","YES","FRAM",""
"17","BRSPunh1","30.1","2","NO","NO","NO","NO","NO","NO","FRAM",""
"18","BRSPunh2","18.7","2","NO","NO","NO","NO","NO","NO","FRAM",""
"19","BRSPunh2","45.6","2","NO","NO","NO","NO","NO","NO","FRAM",""
"20","BRSPunh2","18.8","2","NO","NO","NO","YES","NO","NO","FRAM",""
"21","BRSPunh2","11.4","1","NO","NO","NO","NO","NO","NO","FRAM",""
"22","BRSPunh2","46.6","2","NO","NO","NO","YES","NO","NO","FRAM",""
"23","BRSPunh2","16.2","5","NO","NO","NO","NO","NO","NO","FRAM",""
"24","BRSPunh2","25.8","1","NO","NO","YES","YES","NO","NO","FRAM",""
"25","BRSPunh2","34.6","2","NO","NO","NO","NO","NO","NO","FRAM",""
"26","BRSPunh2","49.9","2","NO","NO","NO","YES","NO","NO","FRAM",""
"27","BRSPunh2","35.7","1","NO","NO","NO","NO","NO","NO","FRAM",""
"28","BRSPunh3","17.8","1","NO","NO","NO","NO","NO","NO","FRNI","black ash"
"29","BRSPunh3","17.4","1","NO","NO","NO","YES","NO","NO","FRAM",""
"30","BRSPunh3","18.6","2","NO","NO","NO","NO","NO","NO","FRAM",""
"31","BRSPunh3","28.8","1","NO","NO","NO","NO","NO","YES","FRAM",""
"32","BRSPunh3","12.3","5","NO","NO","NO","YES","YES","NO","FRAM",""
"33","BRSPunh3","23.6","1","NO","NO","NO","NO","NO","YES","FRAM",""
"34","BRSPunh3","30.5","2","NO","NO","NO","NO","NO","YES","FRAM",""
"35","BRSPunh3","26.4","1","NO","NO","NO","NO","NO","YES","FRAM",""
"36","BRSPunh4","23.2","2","NO","NO","NO","YES","NO","NO","FRAM",""
"37","BRSPunh4","31.7","3","NO","NO","NO","NO","NO","NO","FRAM",""
"38","BRSPunh4","26.4","2","NO","NO","NO","NO","NO","NO","FRAM",""
"39","BRSPunh4","31.2","2","NO","NO","NO","NO","NO","NO","FRAM",""
"620","OMSFCRgap1","10.8","5","NO","NO","YES","YES","NO","NO","FRAM",""
"621","OMSFCRgap1","21.4","2","NO","NO","NO","NO","NO","NO","FRAM",""
"622","OMSFCRgap1","III","2","NO","NO","NO","YES","NO","NO","FRAM",""
"623","OMSFCRgap1","11.6","2","NO","NO","NO","YES","NO","YES","FRAM",""
"624","OMSFCRgap1","14.4","1","NO","NO","YES","YES","NO","YES","FRAM",""
"625","OMSFCRgap1","19.7","2","NO","NO","NO","NO","NO","YES","FRAM",""
"626","OMSFCRgap1","13.9","2","NO","YES","YES","YES","YES","YES","FRAM",""
"627","OMSFCRgap3","15.6","2","NO","NO","NO","NO","NO","NO","FRAM",""
"628","OMSFCRgap3","10.7","2","NO","NO","NO","NO","NO","NO","FRAM",""
"629","OMSFCRgap3","III","2","NO","NO","NO","NO","YES","NO","FRAM",""
"630","OMSFCRgap3","III","1","NO","NO","NO","NO","NO","NO","FRAM",""
"631","OMSFCRgap3","I","1","NO","NO","YES","NO","NO","NO","FRAM",""
"632","OMSFCRmat1","10.7","2","NO","NO","NO","YES","NO","YES","FRAM",""
"633","OMSFCRmat1","12.6","2","NO","NO","NO","NO","NO","YES","FRAM",""
"634","OMSFCRmat1","I","2","NO","NO","NO","NO","NO","NO","FRAM",""
"635","OMSFCRmat1","13.5","1","NO","NO","NO","NO","NO","YES","FRAM",""
"636","OMSFCRmat1","18.2","2","NO","NO","NO","NO","NO","NO","FRAM",""
"637","OMSFCRmat3","I","1","NO","NO","NO","NO","NO","NO","FRAM",""
"638","OMSFCRmat3","I","2","NO","NO","NO","NO","NO","NO","FRAM",""
"639","OMSFCRmat3","I","2","NO","NO","NO","NO","NO","NO","FRAM",""
"640","OMSFCRmat3","I","2","NO","NO","NO","NO","NO","NO","FRAM",""
"641","OMSFCRmat3","I","2","NO","NO","NO","NO","NO","NO","FRAM",""
"642","OMSFCRmat3","I","1","NO","NO","NO","NO","NO","NO","FRAM",""
"643","OMSFCRmat3","II","2","NO","NO","NO","NO","NO","NO","FRAM",""
"644","OMSFCRmat3","I","1","NO","NO","NO","NO","NO","NO","FRAM",""
"645","OMSFCRmat3","I","1","NO","NO","NO","NO","NO","NO","FRAM",""
"646","OMSFCRmat3","I","1","NO","NO","NO","NO","NO","NO","FRAM",""
"647","OMSFCRmat3","I","2","NO","NO","NO","NO","NO","NO","FRAM",""
"648","OMSFHRmat3","45.7","2","NO","NO","NO","NO","NO","YES","FRAM",""
"649","OMSFSCHgap1","I","1","NO","NO","NO","NO","NO","NO","FRAM",""
"650","OMSFSCHmat3","30.4","1","NO","NO","YES","YES","NO","YES","FRAM",""
"651","OMSFSH14mat2","52.6","3","NO","NO","NO","YES","NO","YES","FRAM",""
"652","OMSFSH14mat3","54","3","NO","YES","NO","YES","NO","YES","FRAM",""
"653","OMSFSH17mat1","21.8","5","NO","NO","NO","YES","NO","YES","FRAM",""
"654","OMSFSH17mat1","20.5","4","NO","NO","NO","YES","NO","NO","FRAM",""
"655","OMSFSH17mat1","13.4","3","NO","NO","NO","YES","YES","YES","FRAM",""
"656","OMSFSH17mat2","19.6","4","NO","NO","NO","YES","NO","NO","FRAM",""
"657","OMSFSH17mat2","14.4","3","NO","NO","NO","YES","NO","YES","FRAM",""
"658","OSFCD1gap3","19.9","2","NO","YES","NO","YES","NO","YES","FRAM",""
"659","OSFCD1gap3","30.3","2","NO","YES","NO","YES","NO","YES","FRAM",""
"660","OSFCD1mat1","65.4","2","NO","NO","YES","YES","NO","YES","FRAM",""
"661","OSFCD1mat1","24.7","2","NO","YES","YES","NO","NO","YES","FRAM",""
"662","OSFCD1mat1","43.6","2","NO","YES","YES","NO","NO","YES","FRAM",""
"663","OSFCD1mat2","30.9","2","NO","NO","NO","YES","NO","YES","FRAM",""
"664","OSFCD1mat2","33.2","2","NO","NO","NO","YES","YES","YES","FRAM",""
"665","OSFCD1mat2","81.2","2","NO","YES","NO","YES","YES","YES","FRAM",""
"666","OSFCD1mat3","21","3","NO","NO","NO","NO","NO","YES","FRAM",""
"667","OSFCD1mat3","28.8","2","NO","NO","NO","YES","NO","YES","FRAM",""
"668","OSFCD3unh1","34.6","2","NO","NO","YES","NO","NO","YES","FRAM",""
"669","OSFCD3unh1","32.3","2","NO","NO","NO","YES","NO","NO","FRAM",""
"670","OSFCD3unh2","54.8","2","NO","NO","NO","YES","NO","YES","FRAM",""
"671","OSFCD3unh2","48.3","1","NO","NO","NO","NO","NO","NO","FRAM",""
"672","OSFCD3unh2","47.4","2","NO","NO","NO","NO","NO","YES","FRAM","* marked to be cut"
"673","OSFCD3unh2","35.8","2","NO","NO","YES","YES","NO","YES","FRAM",""
"674","OSFCD3unh2","44.3","2","NO","NO","NO","YES","NO","YES","FRAM",""
"675","OSFCD3unh2","28.7","1","NO","NO","NO","NO","NO","NO","FRAM",""
"676","OSFCD3unh2","44.8","1","NO","NO","NO","NO","NO","YES","FRAM",""
"677","OSFCD3unh3","47.8","2","NO","NO","NO","NO","NO","YES","FRAM",""
"678","OSFCD3unh3","61.5","1","NO","NO","YES","NO","NO","YES","FRAM",""
"679","OSFCD3unh3","52.2","1","NO","NO","NO","YES","NO","YES","FRAM",""
"680","OSFCD3unh3","55.3","2","NO","NO","NO","YES","NO","YES","FRAM",""
"681","OSFCD3unh4","38.6","2","NO","NO","NO","NO","NO","NO","FRAM",""
