"","plot_ID","tree_ID","species","DBH_cm","status","height_m","decay_class","to.be.cut","notes"
"64","BRSPunh1",1,"BENI",34.6,"live",NA,NA,"NO",""
"65","BRSPunh1",2,"PRSE",63,"live",NA,NA,"NO",""
"66","BRSPunh1",3,"OSVI",12,"live",NA,NA,"NO",""
"67","BRSPunh1",4,"PRSE",22.5,"snag",4.8,2,"NO",""
"68","BRSPunh1",5,"FRAM",73.4,"live",NA,NA,"NO",""
"69","BRSPunh1",6,"ACSA",20.4,"live",NA,NA,"NO",""
"70","BRSPunh1",7,"PRSE",68.3,"live",NA,NA,"NO",""
"71","BRSPunh1",8,"ACRU",14.4,"live",NA,NA,"NO",""
"72","BRSPunh1",9,"FRAM",30.1,"live",NA,NA,"NO",""
"73","BRSPunh1",10,"OSVI",13.6,"live",NA,NA,"NO",""
"74","BRSPunh1",11,"ACSA",30.6,"live",NA,NA,"NO",""
"75","BRSPunh1",12,"OSVI",10.9,"live",NA,NA,"NO",""
"76","BRSPunh1",13,"ACRU",21.9,"live",NA,NA,"NO",""
"77","BRSPunh1",14,"ACRU",10.6,"live",NA,NA,"NO",""
"78","BRSPunh1",15,"PRSE",42.4,"live",NA,NA,"NO",""
"79","BRSPunh1",16,"OSVI",12.6,"live",NA,NA,"NO",""
"80","BRSPunh1",17,"BENI",17.7,"live",NA,NA,"NO",""
"81","BRSPunh1",18,"TSCA",20.3,"live",NA,NA,"NO",""
"82","BRSPunh1",19,"ACRU",11.8,"live",NA,NA,"NO",""
"83","BRSPunh1",20,"UNK",55.8,"stump",0.2,4,"NO",""
"84","BRSPunh1",21,"UNK",22.6,"stump",0.25,4,"NO",""
"85","BRSPunh2",1,"ACPE",10.8,"live",NA,NA,"NO",""
"86","BRSPunh2",2,"FRAM",18.7,"live",NA,NA,"NO",""
"87","BRSPunh2",3,"ACSA",22.2,"live",NA,NA,"NO",""
"88","BRSPunh2",4,"FRAM",45.6,"live",NA,NA,"NO",""
"89","BRSPunh2",5,"ACSA",52.3,"live",NA,NA,"NO",""
"90","BRSPunh2",6,"FRAM",18.8,"live",NA,NA,"NO",""
"91","BRSPunh2",7,"FRAM",11.4,"live",NA,NA,"NO",""
"92","BRSPunh2",8,"ACSA",39.3,"stump",0.84,4,"NO",""
"93","BRSPunh2",9,"QURU",45.4,"snag",2.23,2,"NO",""
"94","BRSPunh2",10,"FRAM",46.6,"live",NA,NA,"NO",""
"95","BRSPunh2",11,"FRAM",16.2,"snag",11,1,"NO",""
"96","BRSPunh2",12,"ACRU",17,"live",NA,NA,"NO",""
"97","BRSPunh2",13,"FRAM",25.8,"live",NA,NA,"NO",""
"98","BRSPunh2",14,"ACSA",48.4,"live",NA,NA,"NO",""
"99","BRSPunh2",15,"FRAM",34.6,"live",NA,NA,"NO",""
"100","BRSPunh2",16,"FRAM",49.9,"live",NA,NA,"NO",""
"101","BRSPunh2",17,"FRAM",35.7,"live",NA,NA,"NO",""
"102","BRSPunh2",18,"ACRU",23.4,"live",NA,NA,"NO",""
"103","BRSPunh3",1,"FAGR",13.5,"live",NA,NA,"NO",""
"104","BRSPunh3",2,"BENI",34.1,"live",NA,NA,"NO",""
"105","BRSPunh3",3,"ACSA",17.2,"live",NA,NA,"NO",""
"106","BRSPunh3",4,"TIAM",21.7,"snag",4,2,"NO",""
"107","BRSPunh3",5,"FRNI",17.2,"live",NA,NA,"NO",""
"108","BRSPunh3",6,"ACSA",37.1,"live",NA,NA,"NO",""
"109","BRSPunh3",7,"FRAM",31.8,"snag",14,2,"NO",""
"110","BRSPunh3",8,"ACSA",52.8,"live",NA,NA,"NO",""
"111","BRSPunh3",9,"FRAM",17.4,"live",NA,NA,"NO",""
"112","BRSPunh3",10,"FAGR",10.8,"live",NA,NA,"NO",""
"113","BRSPunh3",11,"BENI",12.6,"live",NA,NA,"NO",""
"114","BRSPunh3",12,"BEAL",12.7,"live",NA,NA,"NO",""
"115","BRSPunh3",13,"ACSA",12.2,"live",NA,NA,"NO",""
"116","BRSPunh3",14,"ACSA",10.2,"live",NA,NA,"NO",""
