"","plot_ID","azimuth","species","tally","X"
"14","BRSPunh1",60,"ACSA",2,""
"15","BRSPunh1",180,"RUBUS",1,""
"16","BRSPunh1",300,"ACRU",1,""
"17","BRSPunh1",300,"ACSA",1,""
"18","BRSPunh1",300,"FAGR",1,""
"19","BRSPunh1",300,"ACPE",3,""
"20","BRSPunh2",60,"ACSA",2,""
"21","BRSPunh2",300,"ACSA",2,""
"22","BRSPunh2",300,"FRAM",2,""
"23","BRSPunh2",300,"RUBUS",1,""
"24","BRSPunh3",60,"PRSE",1,""
"25","BRSPunh3",180,"PRSE",1,""
"26","BRSPunh3",180,"ACRU",1,""
"27","BRSPunh3",300,"ACSA",1,""
"28","BRSPunh3",300,"PRSE",1,""
"29","BRSPunh4",300,"ACPE",1,""
"737","OMSFCRgap1",60,"FRAM",1,""
"738","OMSFCRgap1",60,"ACSA",6,""
"739","OMSFCRgap1",60,"ACPE",1,""
"740","OMSFCRgap1",180,"ACSA",1,""
"741","OMSFCRgap2",60,"ACSA",1,""
"742","OMSFCRgap2",300,"RUBUS",4,""
"743","OMSFCRgap3",60,"RUBUS",4,""
"744","OMSFCRgap3",180,"RUBUS",10,""
"745","OMSFCRgap3",180,"FRAM",1,""
"746","OMSFCRgap3",180,"ACRU",2,""
"747","OMSFCRgap3",300,"RUBUS",12,""
"748","OMSFCRgap3",300,"ACSA",1,""
"749","OMSFCRmat1",60,"ACSA",1,""
"750","OMSFCRmat1",60,"ACRU",1,""
"751","OMSFCRmat1",60,"ABBA",1,""
"752","OMSFCRmat1",180,"FRAM",2,""
"753","OMSFCRmat2",60,"ACSA",3,""
"754","OMSFCRmat2",180,"BEAL",1,""
"755","OMSFCRmat2",300,"ACSA",4,""
"756","OMSFCRmat3",60,"ULSP",10,"rough on top only"
"757","OMSFCRmat3",180,"RUBUS",6,""
"758","OMSFCRmat3",180,"FRAM",2,""
"759","OMSFCRmat3",300,"FRAM",7,""
"760","OMSFCRmat3",300,"ULAM",3,""
"761","OMSFHRgap1",180,"FRAM",3,""
"762","OMSFHRgap1",180,"ACRU",1,""
"763","OMSFHRgap1",60,"ACRU",1,""
"764","OMSFHRgap1",60,"FRAM",1,""
"765","OMSFHRgap1",300,"FRAM",3,""
