"","plot_ID","azimuth","species","shrub","over_1_ft","over_4.5_ft","notes"
"15","BRSPunh1",0,"FRAM",0,1,0,""
"16","BRSPunh1",0,"ACPE",0,3,0,""
"17","BRSPunh1",0,"FAGR",0,0,1,""
"18","BRSPunh1",0,"VIDE",0,1,0,"arrowwood viburnum"
"19","BRSPunh1",120,"ACPE",0,2,0,""
"20","BRSPunh1",120,"ACSA",0,1,0,""
"21","BRSPunh1",120,"CACO",0,1,0,"bitternut hickory"
"22","BRSPunh1",240,"FAGR",0,0,3,""
"23","BRSPunh2",0,"ACSA",0,1,0,""
"24","BRSPunh2",0,"FAGR",0,1,1,""
"25","BRSPunh2",120,"FAGR",0,1,0,""
"26","BRSPunh2",120,"UNK-dead",0,0,1,""
"27","BRSPunh2",120,"PRSE",0,1,0,""
"28","BRSPunh2",120,"PRPE",0,3,0,""
"29","BRSPunh2",240,"ACPE",0,2,0,""
"30","BRSPunh2",240,"ACRU",0,1,0,""
"31","BRSPunh2",240,"ACSA",0,1,0,""
"32","BRSPunh3",0,"HAVI",0,1,1,"witch hazel"
"33","BRSPunh3",0,"FAGR",0,0,1,""
"34","BRSPunh3",120,"ACPE",0,2,0,""
"35","BRSPunh3",120,"HAVI",0,1,0,"witch hazel"
"36","BRSPunh4",0,"FAGR",0,1,2,""
"37","BRSPunh4",120,"FAGR",0,3,0,""
"38","BRSPunh4",240,"UNK",0,1,0,""
"878","OMSFCRgap1",120,"CACA",0,1,0,""
"879","OMSFCRgap1",240,"ACPE",0,2,0,""
"880","OMSFCRgap1",240,"ACSA",0,1,0,""
"881","OMSFCRgap2",0,"ACSA",0,3,0,""
"882","OMSFCRgap2",0,"RUBUS",20,0,0,""
"883","OMSFCRgap2",120,"RUBUS",11,0,0,""
"884","OMSFCRgap2",240,"RUBUS",14,0,0,""
"885","OMSFCRgap3",0,"FRAM",0,3,4,""
"886","OMSFCRgap3",0,"RUBUS",16,0,0,""
"887","OMSFCRgap3",120,"FRAM",0,1,0,""
"888","OMSFCRgap3",120,"LITU",0,1,0,"tulip poplar!! :)"
"889","OMSFCRgap3",240,"FRAM",0,3,0,""
"890","OMSFCRgap3",240,"CEOR",0,3,0,"oriental bittersweet?"
"891","OMSFCRmat1",0,"ABBA",0,2,2,""
"892","OMSFCRmat1",0,"CACA",0,1,0,""
"893","OMSFCRmat1",120,"FRAM",0,2,0,""
"894","OMSFCRmat1",120,"CACA",0,1,0,""
"895","OMSFCRmat2",0,"ACSA",0,1,2,""
"896","OMSFCRmat2",0,"OSVI",0,1,0,""
"897","OMSFCRmat2",0,"ACPE",0,1,0,""
"898","OMSFCRmat2",0,"PRSE",0,1,0,""
"899","OMSFCRmat2",120,"ACSA",0,1,1,""
"900","OMSFCRmat2",120,"PRSE",0,1,0,""
"901","OMSFCRmat2",120,"PRPE",0,2,0,""
"902","OMSFCRmat2",240,"PRPE",0,1,0,""
"903","OMSFCRmat2",240,"ACSA",0,0,1,""
"904","OMSFCRmat2",240,"FAGR",0,0,1,""
"905","OMSFCRmat3",0,"FRAM",0,2,1,""
"906","OMSFCRmat3",120,"ACSA",0,1,0,""
"907","OMSFCRmat3",120,"FRAM",0,3,1,""
"908","OMSFCRmat3",120,"ULAM",0,1,0,""
"909","OMSFCRmat3",120,"ACSP2",0,0,2,"mtn maple"
"910","OMSFCRmat3",240,"FRAM",0,7,2,""
"911","OMSFCRmat3",240,"ACSA",0,1,1,""
"912","OMSFCRmat3",240,"RUBUS",7,0,0,""
"913","OMSFHRgap1",0,"FRAM",0,8,0,""
"914","OMSFHRgap1",0,"PRSE",0,1,0,""
"915","OMSFHRgap1",0,"FAGR",0,2,0,""
"916","OMSFHRgap1",0,"ACRU",0,1,0,""
"917","OMSFHRgap1",0,"QURU",0,2,0,""
"918","OMSFHRgap1",0,"BEAL",0,3,0,""
"919","OMSFHRgap1",120,"BEAL",0,1,0,""
"920","OMSFHRgap1",120,"FAGR",0,3,0,""
"921","OMSFHRgap1",120,"RUBUS",7,0,0,""
"922","OMSFHRgap1",120,"QURU",0,1,0,""
"923","OMSFHRgap1",120,"ACPE",0,2,0,""
"924","OMSFHRgap1",120,"FRAM",0,1,0,""
"925","OMSFHRgap1",240,"RUBUS",3,0,0,""
"926","OMSFHRgap1",240,"FRAM",0,3,0,""
"927","OMSFHRgap1",240,"ACRU",0,3,0,""
"928","OMSFHRgap1",240,"FAGR",0,1,0,""
"929","OMSFHRgap2",0,"RUBUS",3,0,0,""
"930","OMSFHRgap2",0,"ACRU",0,5,0,""
"931","OMSFHRgap2",120,"RUBUS",2,0,0,""
"932","OMSFHRgap2",120,"ACRU",0,1,0,""
"933","OMSFHRgap2",120,"FAGR",0,2,0,""
"934","OMSFHRgap2",120,"BEAL",0,1,0,""
"935","OMSFHRgap3",0,"BEAL",0,1,0,""
"936","OMSFHRgap3",0,"RUBUS",1,0,0,""
"937","OMSFHRgap3",240,"FAGR",0,2,0,""
"938","OMSFHRgap3",240,"BEAL",0,4,0,""
"939","OMSFHRmat1",0,"ACRU",0,3,0,""
"940","OMSFHRmat1",0,"RUBUS",1,0,0,""
"941","OMSFHRmat1",0,"FAGR",0,2,0,""
"942","OMSFHRmat1",0,"ACPE",0,1,0,""
"943","OMSFHRmat1",0,"FRAM",0,1,0,""
"944","OMSFHRmat1",120,"FRAM",0,1,0,""
"945","OMSFHRmat1",120,"FAGR",0,14,0,""
"946","OMSFHRmat1",120,"ACPE",0,2,0,""
"947","OMSFHRmat1",240,"FAGR",0,17,0,""
"948","OMSFHRmat1",240,"BEAL",0,2,0,""
"949","OMSFHRmat2",240,"FAGR",0,1,4,""
"950","OMSFHRmat2",240,"BEAL",0,2,0,""
