Stand_code,FRAM,FAGR,CAOV,QURU,ACSA,ACRU,OSVI,PRSE,FRNI,TIAM,TSCA,ACPE,BENI,BEPA,BEAL,PRPE,ROPS,PODE,POTR,ABBA,PIRU,UNK,PIST,BEPO,ULAM,CACO,HAVI,ACER,THOC,BESP,CACA,PISP,BELE,ULSP,ULRU,POGR
ASF114,16.09415336,5.866345049,0.41282491,5.016485332,5.970866819,2.75579035,0.672271375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRSP,11.72243084,0.835349487,0,1.771745356,7.060901295,6.340327932,0.348800233,6.028249972,0.14522012,0.572967595,0.202284206,0.112410112,1.486375842,1.176919148,0.263918327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138,6.098762598,0.538073477,0,0,11.74812317,0,0,0,0,0.371650411,0,0.109966963,0,0,0.742204069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH145,18.81776693,0.251322504,0,0,12.88658235,0.496391274,0,1.27376365,0,0.825158945,0,0,0,0,3.01276772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH2214,11.77879788,7.19299054,0,0,10.62689366,0.051070516,1.429459019,0,0,0,0,0.051070516,0,2.07769721,0.850625481,0.125663706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH224,3.350534745,0.105727683,0,0,11.43441878,0,0.066919196,0,0,0,0,0.057887117,0,0,0.495196815,0,1.018936307,0.747712142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH231,17.21134789,1.793137638,0,0.066051986,10.94808715,1.601333589,0.135265199,0.443882498,0,0,0,0,0,0,1.564454237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF11,14.07358405,0,0,0,10.66210895,3.79101876,0,0,0,0.171658586,0,0,0,1.704142209,0.264207942,0,0,0,0.781476081,2.458757673,1.387985087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF62,9.183371109,1.914412932,0,0,9.669444215,3.352737132,0,0,0,0,0,0.341790554,0,4.244689283,0,0,0,0,0,0.705081384,1.748743007,0.493274225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE,18.47539715,3.077916497,0,0,11.03286597,0,1.604524269,0,0,0.368528453,0.101787602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHSP,4.538577094,0.063227825,0,0.757127102,5.417925241,2.476383317,0,4.663007071,0,0,0,0.036769724,0,0,0.555145602,0,0,0,0,0,0,0,0.766600967,0,0,0,0,0,0,0,0,0,0,0,0,0
GMA,7.473367867,0,0,0,6.564073143,0,0,0,0,0,0,0,0,0,3.558727436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCB,5.37005195,1.455954753,0,0,8.759640619,0,0,0,0,0,0.265808191,0.044797148,0,0,0.794551324,0,0,0,0,0,0.337960102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMMT,4.278299415,1.647657355,0,0,4.912799684,0,0,0.779553492,0,0,0,0,0,0,3.02445379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB5,11.25953679,1.335746291,0,0,18.61484459,0,0,1.295563358,0,0,0,0.075476764,0,0,3.389832469,0,0,0,0,3.182418632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB6,23.95179692,2.284148935,0,0,7.592223152,1.710435212,0,1.770797969,0,0,0,0,0,1.149258406,6.909182005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSS,2.564377363,0.362883404,0,0,6.266515231,0,0,0,0,0,0,0,0,0.365399951,1.792105167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396,6.258784669,0.755861582,0,0,11.71943089,0.409315863,0,0.471519397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP,20.0396354,0.713259342,0,6.920962977,7.088282238,4.281475369,0,0.686614709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098227161,0.790630879,0,0,0,0,0,0,0,0,0,0,0,0
HR,4.033537932,2.006690344,0,0,8.15668194,0.237787148,1.361505388,0,0,0,0,0.422826955,0,1.294302794,2.670526543,0,0,0,0,0,0.68921045,0.220353272,0,0,0.112156821,0,0,0,0,0,0,0,0,0,0,0
HSF161,2.1914245,0,0,0,8.808462932,0.837679501,0.079639374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099077978,0.044034657,0,0,0,0,0,0,0,0,0
HSP118,11.64445552,0.861405071,0,0,16.56526954,0,0,0,0,0,0,0,0,0.512123781,2.816212012,0,0,0,0.321699088,0.352751768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP1,9.240582456,0,0,0,13.67717396,0.289856101,0,0,0,0,0,0.052076807,0,2.368476154,1.511744202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP3,9.669257683,2.327709081,0,0,12.50958633,0,0.068349275,0,0,0,0,0,0,0,0.336955447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP7,6.942728324,0.33367641,0,0,18.11832569,0,0,0,0,0,0,0,0,0,1.080747143,0,0,0,0,0,0,0.055154586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JNP,10.02388459,0,0,0,5.852193156,0,0.157398701,0.903409146,5.620431976,5.544621418,0,0,0,0,1.002334954,0,0,0,0,0,0,0,0,0,1.183359413,0,0,0,0,0,0,0,0,0,0,0
KMSF,10.31906176,2.670888808,0,0,11.41877627,0,0,0,0,0,0,0.051070516,0,0.77366137,4.466328645,0,0,0,0,0,0.421802992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP,12.48764427,0.499518141,0,0,27.64485689,0,0,0,0,0,0,0.120995496,0,0,0.438846133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
