"Stand_code","RUBUS","ACSA","OSVI","FAGR","ACPE","FRAM","CACO","PRPE","PRSE","ACRU","VIAL","TIAM","SAMB","BEAL","ABBA","QURU","COCO","ACSP2","PRVI","SWAL","BEPA","ULSP","PISP"
"ASF114",2.5,0.5,2.5,11.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRSP",0,1.75,1.5,8,2.5,0.25,0.25,0.75,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH138",11,2.714285714,0.285714286,18,3.285714286,5,0,0.142857143,0,0,1.571428571,0.285714286,1,1.571428571,0,0,0,0,0,0,0,0,0
"CH145",0,3,0,5.5,1.5,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5
"CH2214",0,3.75,3.25,10,1.25,0,0,0,0.25,0,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0
"CH224",1.5,3.333333333,1.666666667,3.666666667,5.166666667,1.833333333,0,0,0,0,0.166666667,0.333333333,0.666666667,3.833333333,0,0,0,0,0,0,0,0,0
"CH231",0.5,2,3.75,5.5,4.5,0,0,0,0,1.25,0,0,0,4.75,0,0,0,0,0,0,0,0,0
"CMSF11",0,7.5,0,1,7.5,1.25,0,0,0,0.25,0.5,0,0,0.5,5.25,0.25,1.5,4.25,0,0,0,0,0.75
"CMSF62",0,3.75,0,4,5.5,0,0,0,0,0.5,0,0,0,0.25,6.5,0.5,2.5,0,0.5,0,0,0,0
"CWE",0,6.25,2.75,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DHSP",1.5,7.5,0,0,2.333333333,0.166666667,0,0.166666667,0.166666667,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0
"GMA",0.25,0.5,0,25.5,8.5,6.75,0,0.5,0,1.25,0.75,0,0.25,23.5,0,0,0,0,0,0,0,0,0
"GMCB",16.33333333,13.33333333,0,7.666666667,8,9.666666667,0,0.166666667,0,0,7.5,0,0,1,0,0,0,0,0,0,0,0,0
"GMMT",21.5,7.5,0,3.666666667,1.333333333,3,0,0,0,0,4.333333333,0,1.5,1.166666667,0,0,0,0,0,0,0,0,0
"GMRB5",0,0.75,0,12,1,0,0,0,0,1.5,24.25,0,0,3.5,0.25,0,0,0,0,0,0,0,0
"GMRB6",0,1,0,9.75,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"GMSS",2.666666667,1.666666667,0,0.833333333,4.166666667,1,0,0,0.333333333,0,6.833333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0
"GSF396",27.71428571,2.571428571,0,4.285714286,14.28571429,1.142857143,0,0,2.428571429,0.571428571,0,0,0,0.714285714,0.285714286,0,0,0,0,0,0,0,0
"HMSP",0,3.75,0,3.25,1.25,1.25,0.25,0,1,0,0,0,0,0,0,0.25,0,0,0.75,0.5,0,0,0
"HR",0,5.6,0.7,2,0.9,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.5
"HSF161",10.83333333,2.5,0,0,0,6,0.333333333,0,1.833333333,0.333333333,0,0,0,0,0,0,0,0,0.833333333,0,0,0.5,0
"HSP118",0,4.75,0,4,7,1.75,0,0,0.75,0,2.5,0,0,0.25,3.5,0,0,1.75,0,0,0,0,0.25
"JMP1",0,15.25,0.75,2.75,20,1,0,0.25,0.5,0,0,0,0,0.25,0,0,0,1.75,0.75,0,0,0,0
"JMP3",0,8,0.75,9,3.75,2,0,1.5,0.25,0,0,0,0,1,0,0,0.25,0,0,0,0,0,1
"JMP7",0,12.25,0.75,17.5,5.75,0.5,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0.5,0,0,0
"JNP",0,3.25,1.25,0,0,2.75,0,0,0,0,0,0.5,0,1.25,0,0,0,0,0,0,0,0,0
"KMSF",0,1.5,0,6.25,5.25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.25
"MP",0,14.75,0,0.5,11,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0
"MP1314",3.833333333,11.83333333,0,2,17.16666667,3.5,0,0,5,0,0,0.333333333,0.333333333,3.333333333,0,0,0,0.166666667,0,1.166666667,0,0,0
"MP19",0.857142857,7,0.142857143,0.571428571,5.714285714,3.285714286,0,0,0.857142857,1.142857143,0.142857143,0.285714286,0,0.571428571,1.428571429,0,0,0,0,0,0,0,1.142857143
"MSF3111",0.75,6.5,0,2.25,10.75,2.25,0,0.25,0.25,1.25,0,0,0,2.75,2,0,0,0,0,0,0.5,0.25,1
"OMSFCR",11.33333333,5.166666667,0.166666667,0.833333333,0.666666667,7.666666667,0,0.5,1,0.166666667,0,0,0,0.666666667,1.166666667,0.333333333,0,0.333333333,0,0,0,0.166666667,0.5
"OMSFHR",3.5,0.333333333,1,11.5,1,2.333333333,0,0,0.166666667,2.166666667,0,0,0.166666667,3.5,0,1,0,0.166666667,0,0,0,0,0
"OMSFSCH",21.5,0.166666667,0,7.166666667,3.833333333,0.833333333,0,0,0.166666667,0.166666667,1.5,0,0.333333333,0.5,0,0,0,6,0,0,0,0,0
"OMSFSH14",32.33333333,0.5,0.166666667,11,0.5,0,0,0,0.333333333,2,2.666666667,0,0,2.5,0,0,0,0,0.166666667,0,0,0,0
"OMSFSH17",0,2,0,14,1.5,0.333333333,0,0,0,0.166666667,7.333333333,0,0,0.833333333,0,0,0,0,0,0,0,0,0
"OSFCD1",7.666666667,0.833333333,0,1.333333333,0,0.5,0,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0
"OSFCD3",0,2.75,0.25,9.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSFPMH",18.5,0.833333333,0,3,4.166666667,1.166666667,0,0,0,0,0,0,0.166666667,1.166666667,0,0,0,0,0,0,0,0,0
"SSF1",21.42857143,1.285714286,0.285714286,4,1.142857143,0.428571429,0,0.714285714,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0
"SSFYL2",13.5,3.833333333,0,0.666666667,1.666666667,0.166666667,0,0,1,1,0,0,0,0.833333333,0,1.5,0,0,9.166666667,0,1.833333333,0,0
"SW",0,3.75,0,0.25,2,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25
"TNCLP",0,13.83333333,0.666666667,0.166666667,2.666666667,1.166666667,0,0,1,0,0,1.5,0.166666667,0,0.666666667,0,0,0,0,0,0,0,0.333333333
"TNCLPunh",0,5.5,1.5,0.5,0.5,0.5,0,0,0.75,0,0,0,0,0.25,1.25,0,0,0,0,0,0,0,0
"TSF49",0,2.5,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.75,0,0,0,0
