Stand_code,RUBUS,ACSA,OSVI,FAGR,CAOV,ACPE,BENI,FRAM,CACO,PRPE,PRSE,HAVI,ACRU,VIDE,RUPA,VIAL,TIAM,SAMB,BEAL,PIRU,ACPA,ABBA,AMAR,QURU,COCO,ACSP2,PRVI,JUCI,CEOR,LONI,SWAL,LOMA,CRMA,BEPA,ULSP,ULRU,FRNI,ACSP,POTR,ULAM,BELE,PODE,PISP,LITU,CACA,COAM,VITUS,TSCA,VIAC
ASF114,2.5,0.5,2.5,11.25,0.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRSP,0,1.75,1.5,8,0,2.5,0.5,0.25,0.25,0.75,0.25,1.25,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138,11,2.714285714,0.285714286,18,0,3.285714286,0,5,0,0.142857143,0,0,0,0,0.285714286,1.571428571,0.285714286,1,1.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH145,0,3,0,5.5,0,1.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH2214,0,3.75,3.25,10,0,1.25,0,0,0,0,0.25,0,0,0,0,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH224,1.5,3.333333333,1.666666667,3.666666667,0,5.166666667,0,1.833333333,0,0,0,0,0,0,0,0.166666667,0.333333333,0.666666667,3.833333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH231,0.5,2,3.75,5.5,0,4.5,0,0,0,0,0,0,1.25,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF11,0,7.5,0,1,0,7.5,0,1.25,0,0,0,0,0.25,0,0,0.5,0,0,0.5,0.75,0,5.25,0.25,0.25,1.5,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF62,0,3.75,0,4,0,5.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,6.5,0,0.5,2.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE,0,6.25,2.75,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
