Stand_code,State,Ownership_cat,Treatment,EAB_present,forest_type
ASF114,CT,public_state,unharvested,yes,NH
BRSP,MA,public_state,unharvested,yes,RNH
CH138,VT,public_state,removal,yes,NH
CH145,VT,public_state,unharvested,yes,NH
CH2214,VT,public_state,unharvested,yes,NH
CH224,VT,public_state,removal,yes,NH
CH231,VT,public_state,unharvested,yes,NH
CMSF11,NH,public_state,unharvested,yes,NH
CMSF62,NH,public_state,unharvested,yes,NH
CWE,VT,private,unharvested,yes,RNH
DHSP,CT,public_state,removal,yes,NH
GMA,VT,public_national,regeneration,yes,NH
GMCB,VT,public_national,removal,yes,NH
GMMT,VT,public_national,removal,yes,NH
GMRB5,VT,public_national,unharvested,yes,NH
GMRB6,VT,public_national,unharvested,yes,NH
GMSS,VT,public_national,removal,yes,NH
GSF396,VT,public_state,regeneration,yes,NH
HMSP,CT,public_state,unharvested,yes,NH
HR,VT,private_nonprofit,unharvested,yes,NH
HSF161,CT,public_state,removal,yes,NH
HSP118,VT,public_state,unharvested,no,NH
JMP1,VT,private,removal,yes,RNH
JMP3,VT,private,unharvested,yes,RNH
JMP7,VT,private,removal,yes,RNH
JNP,VT,private,unharvested,no,RNH
KMSF,NH,public_state,unharvested,yes,NH
MP,VT,private_nonprofit,unharvested,no,RNH
MP1314,VT,private_nonprofit,regeneration,no,RNH
MP19,VT,private_nonprofit,removal,no,RNH
MSF3111,VT,public_state,unharvested,no,NH
OMSFCR,MA,public_state,removal,yes,NH
OMSFHR,MA,public_state,removal,yes,NH
OMSFSCH,MA,public_state,removal,yes,NH
OMSFSH14,MA,public_state,removal,yes,NH
OMSFSH17,MA,public_state,removal,yes,NH
OSFCD1,MA,public_state,removal,yes,NH
OSFCD3,MA,public_state,unharvested,yes,NH
PSFPMH,MA,public_state,removal,yes,NH
SSF1,NH,public_state,removal,yes,NH
SSFYL2,MA,public_state,removal,yes,RNH
SW,VT,private,unharvested,no,RNH
TNCLP,VT,private_nonprofit,regeneration,no,RNH
TNCLPunh,VT,private_nonprofit,unharvested,no,RNH
TSF49,CT,public_state,unharvested,yes,RNH
