Stand_name,CAOV,ACRU,FAGR,FRAM,QURU,ACSA,BEAL,FRNI,BEPA,ACPE,OSVI,TIAM,TSCA,BENI,PRSE,PRPE,ROPS,PODE,ABBA,POTR,PIRU,UNK,BELE,ULSP,PIST,CACA,BEPO,ULAM,HAVI,CACO,BESP,ACER,THOC,ULRU,POGR,PISP
Algonquin State Forest stand 1-14,0.41282491,2.75579035,5.866345049,16.09415336,5.016485332,5.970866819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpaca stand 66-30,0,0,0,7.473367867,0,6.564073143,3.558727436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balance Rock State Park,0,6.340327932,0.835349487,11.72243084,1.771745356,7.060901295,0.263918327,0.14522012,1.176919148,0.112410112,0.348800233,0.572967595,0.202284206,1.486375842,6.028249972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camel's Hump SP stand 1-3-8,0,0,0.538073477,6.098762598,0,11.74812317,0.742204069,0,0,0.109966963,0,0.371650411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camel's Hump SP stand 1-4-5,0,0.496391274,0.251322504,18.81776693,0,12.88658235,3.01276772,0,0,0,0,0.825158945,0,0,1.27376365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camel's Hump SP stand 2-2-14,0,0.051070516,7.19299054,11.77879788,0,10.62689366,0.850625481,0,2.07769721,0.051070516,1.429459019,0,0,0,0,0.125663706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camel's Hump SP stand 2-2-4,0,0,0.105727683,3.350534745,0,11.43441878,0.495196815,0,0,0.057887117,0.066919196,0,0,0,0,0,1.018936307,0.747712142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camel's Hump SP stand 2-3-1,0,1.601333589,1.793137638,17.21134789,0.066051986,10.94808715,1.564454237,0,0,0,0.135265199,0,0,0,0.443882498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardigan Mountain State Forest comp 1 stand 1,0,3.79101876,0,14.07358405,0,10.66210895,0.264207942,0,1.704142209,0,0,0.171658586,0,0,0,0,0,0,2.458757673,0.781476081,1.387985087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardigan Mountain State Forest comp 6 stand 2,0,3.352737132,1.914412932,9.183371109,0,9.669444215,0,0,4.244689283,0.341790554,0,0,0,0,0,0,0,0,0.705081384,0,1.748743007,0.493274225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
