plot_ID,ABBA,ACER,ACPE,ACRU,ACSA,BEAL,BELE,BENI,BEPA,BEPO,BESP,CACA,CACO,CAOV,FAGR,FRAM,FRNI,HAVI,OSVI,PIRU,PISP,PIST,PODE,POGR,POTR,PRPE,PRSE,QURU,ROPS,THOC,TIAM,TSCA,ULAM,ULRU,ULSP,UNK
ASF114unh1,0,0,0,0,0.280628262,0,0,0,0,0,0,0,0,0.066051986,0,0.154133604,0,0,0.10756342,0,0,0,0,0,0,0,0,0.462588523,0,0,0,0,0,0,0,0
ASF114unh2,0,0,0,0,0.452767904,0,0,0,0,0,0,0,0,0,0.128307356,0.964976312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASF114unh3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401499468,0.865771884,0,0,0,0,0,0,0,0,0,0,0,0.34004913,0,0,0,0,0,0,0,0
ASF114unh4,0,0,0,0.440926456,0.221942525,0,0,0,0,0,0,0,0,0,0.408808383,0.590182737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRSPunh1,0,0,0,0.073715115,0.106226672,0,0,0.118630466,0,0,0,0,0,0,0,0.494295832,0,0,0.047636755,0,0,0,0,0,0,0,0.819299875,0,0,0,0,0.032365473,0,0,0,0
BRSPunh2,0,0,0.009160884,0.065703269,0.437520969,0,0,0,0,0,0,0,0,0,0,0.84126432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRSPunh3,0,0,0,0,0.585996565,0.012667687,0,0.103795865,0,0,0,0,0,0,0.023474766,0.287638726,0.023235219,0,0.008171282,0,0,0,0,0,0,0,0,0.193220515,0,0,0.091674815,0,0,0,0,0
BRSPunh4,0,0,0.008824734,0.875034085,0,0.029559245,0,0.015393804,0.188307064,0,0,0,0,0,0.110181152,0.252390056,0,0,0,0,0,0,0,0,0,0,0.14522012,0.090258742,0,0,0,0,0,0,0,0
CH138gap1,0,0,0,0,0.55021304,0,0,0,0,0,0,0,0,0,0.017985618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138gap2,0,0,0,0,0.06559724,0,0,0,0,0,0,0,0,0,0.009676891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138gap3,0,0,0,0,0.40520105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138mat1,0,0,0.03079075,0,0.547131923,0.167702143,0,0,0,0,0,0,0,0,0.030533924,0.562924709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138mat2,0,0,0,0,0.690926545,0,0,0,0,0,0,0,0,0,0.09246414,0.132670243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104062115,0,0,0,0,0
CH138mat3,0,0,0,0,0.574714321,0,0,0,0,0,0,0,0,0,0,0.690368913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138mat4,0,0,0,0,0.455690371,0.040114997,0,0,0,0,0,0,0,0,0,0.321689663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH145unh1,0,0,0,0.079422604,0.521959126,0.236431551,0,0,0,0,0,0,0,0,0.012667687,0.789312588,0,0,0,0,0,0,0,0,0,0,0.073061664,0,0,0,0,0,0,0,0,0
CH145unh2,0,0,0,0,0.432102508,0.057971024,0,0,0,0,0,0,0,0,0.010386891,0.591797516,0,0,0,0,0,0,0,0,0,0,0.13074052,0,0,0,0,0,0,0,0,0
