Stand_code,State,Ownership_cat,treatment_type,EAB_present,forest_type
ASF114,CT,public_state,na,yes,NH
BRSP,MA,public_state,na,yes,RNH
CH138,VT,public_state,thinning_focus,yes,NH
CH145,VT,public_state,na,yes,NH
CH2214,VT,public_state,na,yes,NH
CH224,VT,public_state,thinning_focus,yes,NH
CH231,VT,public_state,na,yes,NH
CMSF11,NH,public_state,na,yes,NH
CMSF62,NH,public_state,na,yes,NH
CWE,VT,private,na,yes,RNH
DHSP,CT,public_state,thinning_focus,yes,NH
GMA,VT,public_national,regen_focus,yes,NH
GMCB,VT,public_national,thinning_focus,yes,NH
GMMT,VT,public_national,thinning_focus,yes,NH
GMRB5,VT,public_national,na,yes,NH
GMRB6,VT,public_national,na,yes,NH
GMSS,VT,public_national,thinning_focus,yes,NH
GSF396,VT,public_state,other,yes,NH
HMSP,CT,public_state,na,yes,NH
HR,VT,private_nonprofit,na,yes,NH
HSF161,CT,public_state,thinning_focus,yes,NH
HSP118,VT,public_state,na,no,NH
JMP1,VT,private,thinning_focus,yes,RNH
JMP3,VT,private,na,yes,RNH
JMP7,VT,private,thinning_focus,yes,RNH
JNP,VT,private,na,no,RNH
KMSF,NH,public_state,na,yes,NH
MP,VT,private_nonprofit,na,no,RNH
MP1314,VT,private_nonprofit,regen_focus,no,RNH
MP19,VT,private_nonprofit,thinning_focus,no,RNH
MSF3111,VT,public_state,na,no,NH
OMSFCR,MA,public_state,thinning_focus,yes,NH
OMSFHR,MA,public_state,thinning_focus,yes,NH
OMSFSCH,MA,public_state,thinning_focus,yes,NH
OMSFSH14,MA,public_state,thinning_focus,yes,NH
OMSFSH17,MA,public_state,thinning_focus,yes,NH
OSFCD1,MA,public_state,thinning_focus,yes,NH
OSFCD3,MA,public_state,na,yes,NH
PSFPMH,MA,public_state,thinning_focus,yes,NH
SSF1,NH,public_state,other,yes,NH
SSFYL2,MA,public_state,thinning_focus,yes,RNH
SW,VT,private,na,no,RNH
TNCLP,VT,private_nonprofit,regen_focus,no,RNH
TNCLPunh,VT,private_nonprofit,na,no,RNH
TSF49,CT,public_state,na,yes,RNH
