plot_ID,Stand_name,State,Ownership_cat,treatment_type,EAB_present,forest_type
ASF114unh4,Algonquin State Forest stand 1-14,CT,public_state,na,yes,NH
ASF114unh1,Algonquin State Forest stand 1-14,CT,public_state,na,yes,NH
ASF114unh2,Algonquin State Forest stand 1-14,CT,public_state,na,yes,NH
ASF114unh3,Algonquin State Forest stand 1-14,CT,public_state,na,yes,NH
GMAgap1,Alpaca stand 66-30,VT,public_national,regen_focus,yes,NH
GMAgap2,Alpaca stand 66-30,VT,public_national,regen_focus,yes,NH
GMAmat1,Alpaca stand 66-30,VT,public_national,regen_focus,yes,NH
GMAmat2,Alpaca stand 66-30,VT,public_national,regen_focus,yes,NH
BRSPunh2,Balance Rock State Park,MA,public_state,na,yes,RNH
BRSPunh1,Balance Rock State Park,MA,public_state,na,yes,RNH
BRSPunh3,Balance Rock State Park,MA,public_state,na,yes,RNH
BRSPunh4,Balance Rock State Park,MA,public_state,na,yes,RNH
CH138mat1,Camel's Hump SP stand 1-3-8,VT,public_state,thinning_focus,yes,NH
CH138gap1,Camel's Hump SP stand 1-3-8,VT,public_state,thinning_focus,yes,NH
CH138mat2,Camel's Hump SP stand 1-3-8,VT,public_state,thinning_focus,yes,NH
CH138mat3,Camel's Hump SP stand 1-3-8,VT,public_state,thinning_focus,yes,NH
CH138gap2,Camel's Hump SP stand 1-3-8,VT,public_state,thinning_focus,yes,NH
CH138gap3,Camel's Hump SP stand 1-3-8,VT,public_state,thinning_focus,yes,NH
CH138mat4,Camel's Hump SP stand 1-3-8,VT,public_state,thinning_focus,yes,NH
CH145unh3,Camel's Hump SP stand 1-4-5,VT,public_state,na,yes,NH
CH145unh2,Camel's Hump SP stand 1-4-5,VT,public_state,na,yes,NH
CH145unh4,Camel's Hump SP stand 1-4-5,VT,public_state,na,yes,NH
CH145unh1,Camel's Hump SP stand 1-4-5,VT,public_state,na,yes,NH
CH2214unh1,Camel's Hump SP stand 2-2-14,VT,public_state,na,yes,NH
CH2214unh2,Camel's Hump SP stand 2-2-14,VT,public_state,na,yes,NH
CH2214unh4,Camel's Hump SP stand 2-2-14,VT,public_state,na,yes,NH
CH2214unh3,Camel's Hump SP stand 2-2-14,VT,public_state,na,yes,NH
CH224gap1,Camel's Hump SP stand 2-2-4,VT,public_state,thinning_focus,yes,NH
CH224mat3,Camel's Hump SP stand 2-2-4,VT,public_state,thinning_focus,yes,NH
CH224mat1,Camel's Hump SP stand 2-2-4,VT,public_state,thinning_focus,yes,NH
