"22"
""
""
"Appendix C"
"Standing dead tree absolute density and its uncertainty for each decay class by species present in the U.S. FIA inventory"
"Genus          Species          Code      den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3    den4   unc4      cod4"
"Abies          amabilis         ABAM      0.400   0.356   0.020    B     0.382   0.014    B     0.301   0.060     B    0.239   0.336      C"
"Abies          balsamea         ABBA      0.340   0.356   0.024    B     0.414   0.014    B     0.412   0.058     B    0.286   0.336      C"
"Abies          bracteata        ABBR      0.360   0.367   0.024    B     0.354   0.029    B     0.301   0.060     B    0.239   0.336      C"
"Abies          concolor         ABCO      0.370   0.337   0.012    B     0.319   0.013    B     0.172   0.057     B    0.232   0.336      C"
"Abies          fraseri          ABFR      0.340   0.367   0.024    B     0.354   0.029    B     0.301   0.060     B    0.239   0.336      C"
"Abies          grandis          ABGR      0.350   0.338   0.010    B     0.338   0.013    B     0.320   0.057     B    0.239   0.336      C"
"Abies          lasiocarpa       ABLA      0.310   0.367   0.014    B     0.331   0.025    B     0.331   0.057     B    0.255   0.336      C"
"Abies          magnifica        ABMA      0.360   0.473   0.012    B     0.435   0.023    B     0.213   0.057     B    0.240   0.336      C"
"Abies          magnifica var.   ABMA2     0.360   0.367   0.024    B     0.354   0.029    B     0.301   0.060     B    0.239   0.336      C"
"shastensis"
"Abies          procera          ABPR      0.370   0.364   0.010    B     0.309   0.012    B     0.334   0.057     B    0.252   0.336      C"
"Abies          species          ABIE      0.340   0.367   0.024    B     0.354   0.029    B     0.301   0.060     B    0.239   0.336      C"
"Acacia         species          ACSP2     0.600   0.565   0.126    B     0.464   0.119    B     0.341   0.119     B    0.356   0.338      C"
"Acer           barbatum         ACBA      0.540   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           glabrum          ACGL      0.440   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           grandidentatum   ACGR      0.440   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           macrophyllum     ACMA      0.440   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           negundo          ACNE      0.440   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           nigrum           ACNI      0.520   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           pensylvanicum    ACPE      0.440   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           rubrum           ACRU      0.490   0.462   0.030    B     0.286   0.047    B     0.208   0.085     B    0.297   0.336      C"
"Acer           saccharinum      ACSA2     0.440   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           saccharum        ACSA      0.560   0.720   0.028    B     0.497   0.052    B     0.340   0.085     B    0.306   0.336      C"
"Acer           species          ACER      0.490   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Acer           spicatum         ACSP      0.440   0.568   0.048    B     0.415   0.053    B     0.295   0.087     B    0.297   0.336      C"
"Aesculus       californica      AECA      0.380   0.565   0.126    B     0.464   0.119    B     0.341   0.119     B    0.356   0.338      C"
"Aesculus       species          AESP      0.330   0.565   0.126    B     0.464   0.119    B     0.341   0.119     B    0.356   0.338      C"
"Ailanthus      altissima        AIAL      0.370   0.565   0.126    B     0.464   0.119    B     0.341   0.119     B    0.356   0.338      C"
"Aleurites      fordii           ALFO      0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119     B    0.356   0.338      C"
"Alnus          rubra            ALRU      0.370   0.409   0.021    B     0.359   0.047    B     0.207   0.084     B    0.181   0.336      C"
"Alnus          species          ALSP      0.370   0.409   0.092    B     0.359   0.096    B     0.207   0.098     B    0.181   0.337      C"
"Amelanchier    species          AMSP      0.660   0.565   0.126    B     0.464   0.119    B     0.341   0.119     B    0.356   0.338      C"
"continued"
"     Appendix C.—continued"
"Genus          Species            Code    den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3   den4    unc4      cod4"
"Arbutus        menziesii          ARME    0.580   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Asimina        triloba            ASTR    0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Betula         alleghaniensis     BEAL    0.550   0.615   0.049    B     0.443   0.115    B     0.200   0.084    B     0.286   0.336      C"
"Betula         lenta              BELE    0.600   0.673   0.049    B     0.462   0.061    B     0.297   0.087    B     0.286   0.337      C"
"Betula         lutea              BELU    0.600   0.674   0.035    B     0.424   0.049    B     0.246   0.085    B     0.286   0.337      C"
"Betula         nigra              BENI    0.560   0.615   0.049    B     0.443   0.115    B     0.278   0.088    B     0.286   0.337      C"
"Betula         occidentalis       BEOC    0.530   0.615   0.049    B     0.443   0.115    B     0.278   0.088    B     0.286   0.337      C"
"Betula         papyrifera         BEPA    0.480   0.497   0.032    B     0.443   0.115    B     0.370   0.095    B     0.286   0.337      C"
"Betula         papyrifera var.    BEPA2   0.480   0.615   0.049    B     0.443   0.115    B     0.278   0.088    B     0.286   0.337      C"
"commutata"
"Betula         populifolia        BEPO    0.450   0.615   0.049    B     0.443   0.115    B     0.278   0.088    B     0.286   0.337      C"
"Betula         species            BESP    0.480   0.615   0.049    B     0.443   0.115    B     0.278   0.088    B     0.286   0.337      C"
"Bumelia        lanuginosa         BULA    0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Calocedrus     decurrens          CADE3   0.370   0.421   0.046    B     0.309   0.019    B     0.328   0.058    B     0.262   0.336      C"
"Carpinus       caroliniana        CACA    0.580   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Carya          aquatica           CAAQ    0.610   0.635   0.041    B     0.450   0.053    B     0.250   0.085    B     0.291   0.337      C"
"Carya          cordiformis        CACO    0.600   0.647   0.050    B     0.404   0.052    B     0.261   0.085    B     0.291   0.337      C"
"Carya          glabra             CAGL    0.660   0.635   0.041    B     0.450   0.053    B     0.250   0.085    B     0.291   0.337      C"
"Carya          illinoensis        CAIL    0.600   0.635   0.041    B     0.450   0.053    B     0.250   0.085    B     0.291   0.337      C"
"Carya          laciniosa          CALA    0.620   0.635   0.041    B     0.450   0.053    B     0.250   0.085    B     0.291   0.337      C"
"Carya          myristicaeformis   CAMY    0.560   0.635   0.041    B     0.450   0.053    B     0.250   0.085    B     0.291   0.337      C"
"Carya          ovata              CAOV    0.640   0.584   0.044    B     0.527   0.061    B     0.323   0.086    B     0.291   0.337      C"
"Carya          species            CASP    0.620   0.671   0.029    B     0.459   0.045    B     0.205   0.084    B     0.291   0.336      C"
"Carya          texana             CATE    0.540   0.635   0.041    B     0.450   0.053    B     0.250   0.085    B     0.291   0.337      C"
"Carya          tomentosa          CATO    0.640   0.637   0.041    B     0.409   0.046    B     0.250   0.085    B     0.291   0.337      C"
"Castanea       dentata            CADE    0.400   0.382   0.027    B     0.383   0.046    B     0.268   0.085    B     0.356   0.338      C"
"Castanea       ozarkensis         CAOZ    0.400   0.382   0.087    B     0.383   0.102    B     0.268   0.107    B     0.356   0.338      C"
"Castanea       pumila             CAPU    0.400   0.382   0.087    B     0.383   0.102    B     0.268   0.107    B     0.356   0.338      C"
"Castanopsis    species            CAST    0.420   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Catalpa        species            CATA    0.380   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Celtis         laevigata          CELA    0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Celtis         occidentalis       CEOC    0.490   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Celtis         species            CESP    0.490   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"continued"
"23"
"24"
""
""
"Appendix C.—continued"
"Genus           Species         Code   den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3   den4    unc4      cod4"
"Cercis          canadensis      CECA   0.580   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Cercocarpus     intricatus      CEIN   1.000   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Cercocarpus     ledifolius      CELE   1.000   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Cercocarpus     montanus        CEMO   1.000   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Chamaecyparis   lawsoniana      CHLA   0.390   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Chamaecyparis   nootkatensis    CHNO   0.420   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Chamaecyparis   thyoides        CHTH   0.310   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Cladrastis      lutea           CLLU   0.520   0.528   0.125    B     0.485   0.112    B     0.462   0.102    B     0.356   0.338      C"
"Cornus          florida         COFL   0.640   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Cornus          nuttallii       CONU   0.580   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Cornus          species         COSP   0.640   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Cotinus         obovaus         COOB   0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Crataegus       species         CRSP   0.620   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Cupressus       species         CUSP   0.440   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Diospyros       virginiana      DIVI   0.640   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Eucalyptus      species         EUSP   0.670   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Fagus           grandifolia     FAGR   0.560   0.604   0.038    B     0.330   0.046    B     0.175   0.084    B     0.403   0.336      C"
"Fraxinus        americana       FRAM   0.550   0.504   0.039    B     0.315   0.048    B     0.333   0.085    B     0.356   0.338      C"
"Fraxinus        latifolia       FRLA   0.500   0.504   0.113    B     0.349   0.094    B     0.313   0.114    B     0.356   0.338      C"
"Fraxinus        nigra           FRNI   0.450   0.504   0.113    B     0.349   0.094    B     0.313   0.114    B     0.356   0.338      C"
"Fraxinus        pennsylvanica   FRPE   0.530   0.504   0.113    B     0.349   0.094    B     0.313   0.114    B     0.356   0.338      C"
"Fraxinus        profunda        FRPR   0.540   0.504   0.113    B     0.349   0.094    B     0.313   0.114    B     0.356   0.338      C"
"Fraxinus        quadrangulata   FRQU   0.530   0.504   0.113    B     0.349   0.094    B     0.313   0.114    B     0.356   0.338      C"
"Fraxinus        species         FRSP   0.540   0.504   0.113    B     0.349   0.094    B     0.313   0.114    B     0.356   0.338      C"
"Gleditsia       aquatica        GLAQ   0.600   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Gleditsia       triacanthos     GLTR   0.600   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Gordonia        lasianthus      GOLA   0.370   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Gymnocladus     dioicus         GYDI   0.500   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Halesia         species         HASP   0.320   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ilex            opaca           ILOP   0.500   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Juglans         cinerea         JUCI   0.360   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Juglans         species         JUSP   0.510   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Julglans        nigra           JUNI   0.510   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"continued"
"     Appendix C.—continued"
"Genus          Species        Code    den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3   den4    unc4      cod4"
"Juniperus      monosperma     JUMO    0.450   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Juniperus      occidentalis   JUOC    0.440   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Juniperus      species        JUSP2   0.440   0.528   0.125    B     0.485   0.112    B     0.462   0.102    B     0.356   0.338      C"
"Larix          laricina       LALA    0.490   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Larix          lyallii        LALY    0.480   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Larix          occidentalis   LAOC    0.480   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Larix          species        LASP    0.440   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Liquidambar    styraciflua    LIST    0.460   0.477   0.022    B     0.364   0.045    B     0.239   0.084    B     0.356   0.338      C"
"Liriodendron   tulipifera     LITU    0.410   0.370   0.010    A     0.350   0.010    A     0.213   0.084    B     0.237   0.336      C"
"Lithocarpus    densiflorus    LIDE    0.580   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Maclura        pomifera       MAPO    0.760   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Magnolia       acuminata      MAAC    0.450   0.451   0.024    B     0.439   0.055    B     0.263   0.085    B     0.356   0.338      C"
"Magnolia       species        MASP    0.450   0.451   0.101    B     0.439   0.114    B     0.263   0.106    B     0.356   0.338      C"
"Malus          species        MASP2   0.610   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Melia          azedarach      MEAZ    0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Morus          alba           MOAL    0.590   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Morus          rubra          MORU    0.590   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Morus          species        MOSP    0.590   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Nyssa          aquatica       NYAQ    0.460   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Nyssa          ogeche         NYOG    0.460   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Nyssa          sylvatica      NYSY    0.460   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Olneya         tesota         OLTE    1.000   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ostrya         virginiana     OSVI    0.630   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Oxydendrum     arboreum       OXAR    0.500   0.555   0.058    B     0.447   0.046    B     0.354   0.086    B     0.356   0.338      C"
"Paulownia      tomentosa      PATO    0.380   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Persea         borbonia       PEBO    0.510   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Picea          abies          PIAB    0.370   0.370   0.030    A     0.370   0.020    A     0.398   0.065    B     0.260   0.336      C"
"Picea          breweriana     PIBR    0.330   0.389   0.024    B     0.359   0.017    B     0.398   0.065    B     0.260   0.336      C"
"Picea          engelmannii    PIEN    0.330   0.389   0.024    B     0.297   0.013    B     0.398   0.065    B     0.197   0.336      C"
"Picea          glauca         PIGL2   0.370   0.389   0.024    B     0.359   0.017    B     0.398   0.065    B     0.260   0.336      C"
"Picea          lutzii         PILU    0.360   0.380   0.010    A     0.380   0.010    A     0.400   0.020    A     0.254   0.336      C"
"Picea          mariana        PIMA    0.380   0.389   0.024    B     0.359   0.017    B     0.398   0.065    B     0.260   0.336      C"
"Picea          pungens        PIPU    0.380   0.389   0.024    B     0.359   0.017    B     0.398   0.065    B     0.260   0.336      C"
"continued"
"25"
"26"
""
""
"Appendix C.—continued"
"Genus          Species       Code    den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3   den4    unc4      cod4"
"Picea          rubens        PIRU    0.380   0.402   0.025    B     0.359   0.017    B     0.449   0.067    B     0.260   0.336      C"
"Picea          sitchensis    PISI    0.370   0.406   0.010    B     0.392   0.014    B     0.373   0.057    B     0.323   0.336      C"
"Picea          species       PICE    0.380   0.389   0.024    B     0.359   0.017    B     0.398   0.065    B     0.260   0.336      C"
"Pinus          albicaulis    PIAL    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          aristata      PIAR    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          arizonica     PIAR2   0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          attenuata     PIAT    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          balfouriana   PIBA    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          banksiana     PIBA2   0.420   0.390   0.020    A     0.380   0.010    A     0.320   0.040    A     0.284   0.336      C"
"Pinus          clausa        PICL    0.460   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          contorta      PICO    0.400   0.390   0.001    A     0.415   0.015    A     0.400   0.001    A     0.284   0.336      C"
"Pinus          coulteri      PICO2   0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          discolor      PIDI    0.500   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          echinata      PIEC    0.470   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          edulis        PIED    0.500   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          elliotti      PIEL    0.540   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          engelmannii   PIEN2   0.370   0.364   0.015    B     0.373   0.017    B     0.398   0.060    B     0.284   0.336      C"
"Pinus          flexilis      PIFL    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          glabra        PIGL    0.410   0.389   0.021    B     0.359   0.017    B     0.398   0.060    B     0.260   0.336      C"
"Pinus          jeffreyi      PIJE    0.370   0.361   0.014    B     0.412   0.019    B     0.308   0.058    B     0.344   0.336      C"
"Pinus          lambertiana   PILA    0.340   0.365   0.017    B     0.307   0.012    B     0.220   0.057    B     0.205   0.336      C"
