plot_ID,harvest_status,gap_status,date,site_name,measured_by,tallied_by,entered_by,notes,Property,Stand_name
HRgap1,NO,YES,6/3/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
HRgap2,NO,YES,6/3/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
HRmat1,NO,NO,6/3/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
HRgap3,NO,YES,6/3/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
HRunh1,NO,NO,6/4/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
HRunh2,NO,NO,6/4/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
CH145unh2,NO,NO,6/18/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-4-5
HRunh3,NO,NO,6/4/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
CH145unh3,NO,NO,6/18/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-4-5
HRunh4,NO,NO,6/4/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
HRmat2,NO,NO,6/4/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
HRmat3,NO,NO,6/4/2020,Hill Roberts ,"CS,BB,ED",HH,ED,,Hill Roberts property,Hill Roberts property
CH145unh4,NO,NO,6/18/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-4-5
CH2214unh1,NO,NO,6/18/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-2-14
CH2214unh2,NO,NO,6/18/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-2-14
MP19gap1,YES,YES,6/8/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2019
CH2214unh3,NO,NO,6/18/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-2-14
CH138mat1,YES,NO,6/16/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-3-8
MP19mat1,YES,NO,6/8/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2019
CH138gap1,YES,YES,6/16/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-3-8
CH138gap2,YES,YES,6/16/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-3-8
MP19gap2,YES,YES,6/8/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2019
MP19mat2,YES,NO,6/8/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2019
MP19gap3,YES,YES,6/8/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2019
MP19mat3,YES,NO,6/9/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2019
MP1314gap1,YES,YES,6/9/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2013-14
MP1314mat1,YES,NO,6/9/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2013-14
MP1314gap2,YES,YES,6/9/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2013-14
MP1314gap3,YES,YES,6/10/2020,Mud Pond ,"CS,BB,ED",HH,ED,,Mud Pond property,Mud Pond 2013-14
CH138mat2,YES,NO,6/17/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-3-8
CH138gap3,YES,YES,6/17/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-3-8
CH138mat3,YES,NO,6/17/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-3-8
CH138mat4,YES,NO,6/17/2020,CHSP,"CS, ED",HH,HT,More open than most matrix plots we've been in but still not a gap,Camel's Hump State Park,Camel's Hump SP stand 1-3-8
CH145unh1,NO,NO,6/17/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 1-4-5
CH2214unh4,NO,NO,6/22/2020,Camel's Hump SP,"ED, HT",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-2-14
CH224gap1,YES,YES,6/22/2020,Camel's Hump SP,"ED, HT",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-2-4
MP19gap4 ,YES,YES,6/15/2020,Mud Pond ,"CS, ED",HH,ED,,Mud Pond property,Mud Pond 2019
GMCBmat2,YES,NO,7/7/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Cook Brook stand 62-6
GMCBgap3,YES,YES,7/7/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Cook Brook stand 62-6
GMCBmat3,YES,NO,7/7/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Cook Brook stand 62-6
GMAmat1,YES,NO,7/7/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Alpaca stand 66-30
GMAgap1,YES,YES,7/7/2020,Green Mtn NF,"ED, HT, MW",HH,MW,,Green Mountain National Forest,Alpaca stand 66-30
GMAmat2,YES,NO,7/7/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Alpaca stand 66-30
GMAgap2,YES,YES,7/7/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Alpaca stand 66-30
GMRB5unh1,NO,NO,7/8/2020,Green Mtn NF,"HT, ED, MW",HH,MW, * = marked to be cut,Green Mountain National Forest,Roaring Brook stand 125-5
GMRB5unh2,NO,NO,7/8/2020,Green Mtn NF,"HT, ED, MW",HH,MW, * = marked to be cut,Green Mountain National Forest,Roaring Brook stand 125-5
GMRB5unh3,NO,NO,7/8/2020,Green Mtn NF,"ED, HT, MW",HH,MW, * = marked to be cut,Green Mountain National Forest,Roaring Brook stand 125-5
GMRB5unh4,NO,NO,7/8/2020,Green Mtn NF,"HT, MW, ED",HH,MW, * = marked to be cut,Green Mountain National Forest,Roaring Brook stand 125-5
GMRB6unh1,NO,NO,7/8/2020,Green Mtn NF,"HT, MW, ED",HH,MW, * = marked to be cut,Green Mountain National Forest,Roaring Brook stand 125-6
GMRB6unh2,NO,NO,7/8/2020,Green Mtn NF,"ED, HT, MW",HH,MW,"will be harvested soon, * marked to be cut",Green Mountain National Forest,Roaring Brook stand 125-6
GMRB6unh3,NO,NO,7/8/2020,Green Mtn NF,"HT, ED, MW",HH,MW, * = marked to be cut,Green Mountain National Forest,Roaring Brook stand 125-6
GMRB6unh4,NO,NO,7/8/2020,Green Mtn NF,"HT, ED, MW",HH,MW, * = marked to be cut,Green Mountain National Forest,Roaring Brook stand 125-6
GMMTmat1,YES,NO,7/9/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Mad Tom stand 58-14
GMMTgap1,YES,YES,7/9/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Mad Tom stand 58-14
GMMTmat2,YES,NO,7/9/2020,Green Mtn NF,"HT, ED, MW",HH,MW,,Green Mountain National Forest,Mad Tom stand 58-14
GMMTgap2,YES,YES,7/9/2020,Green Mtn NF,"HT, MW",HH,MW,,Green Mountain National Forest,Mad Tom stand 58-14
GMMTgap3,YES,YES,7/9/2020,Green Mtn NF,"HT, MW",HH,MW,,Green Mountain National Forest,Mad Tom stand 58-14
GMMTmat3,YES,NO,7/9/2020,Green Mtn NF,"HT, MW",HH,MW,rubus can be pinnate or palmate,Green Mountain National Forest,Mad Tom stand 58-14
CH224mat2,YES,NO,6/22/2020,Camel's Hump SP,"ED, HT",HH,HT,*Cottomwood = aspen,Camel's Hump State Park,Camel's Hump SP stand 2-2-4
CH224gap2,YES,YES,6/22/2020,Camel's Hump SP,"ED, HT",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-2-4
CH224mat3,YES,NO,6/22/2020,Camel's Hump SP,"ED, HT",HH,HT,Lots of wood nettle in this stand!,Camel's Hump State Park,Camel's Hump SP stand 2-2-4
CH224gap3,YES,YES,6/23/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-2-4
CH231unh1,NO,NO,6/23/2020,Camel's Hump SP,"CS, ED",HH,HT,,Camel's Hump State Park,Camel's Hump SP stand 2-3-1
