plot_ID,azimuth,species,class_1,class_2,class_3,notes
HRgap1,240,ACSA,1,0,1,
HRgap1,240,ACSA-dead,2,0,1,
HRgap1,0,BEPA,0,1,0,
HRgap1,0,ACSA,1,0,0,
HRgap1,0,PIRU,0,1,0,
HRgap2,120,ACSA,3,2,0,
HRgap2,0,ACSA,4,0,0,
HRgap2,0,FAGR,1,0,0,
HRgap2,240,ACSA,2,2,0,
HRmat1,120,ACSA,4,1,0,
HRmat1,240,ACSA,3,0,0,
HRmat1,0,FAGR,0,1,1,
HRmat1,0,ACSA,0,1,1,
HRgap3,240,ACPE-dead,2,0,1,
HRgap3,240,ACSA,1,1,0,
HRgap3,240,FRAM,1,0,0,
HRgap3,240,ACPE-dead,1,0,0,
HRgap3,0,ACSA,0,4,3,
HRgap3,0,ACPE-dead,0,3,0,
HRgap3,120,PIRU-dead,0,1,1,
HRgap3,120,ACPE-dead,1,0,0,
HRgap3,120,ACSA,0,1,3,
HRunh1,0,ACPE-dead,0,0,1,
HRunh1,240,ACPE,0,1,0,
HRunh2,0,FAGR,2,0,0,
HRunh2,120,PIRU,0,1,0,
HRunh2,120,ACPE ,2,1,0,
HRunh2,120,ACPE-dead,1,0,0,
HRunh2,240,ACPE,2,2,0,
HRunh2,240,OSVI,2,0,0,
HRunh2,240,ACPE ,0,1,0,
CH145unh2,0,FAGR,1,0,0,
CH145unh2,120,ACSA-dead,0,1,0,
CH145unh2,120,BEAL,0,0,1,
CH145unh2,120,ACSA,1,0,0,
CH145unh2,240,ACSA,1,0,0,
CH145unh2,240,ACPE,2,0,0,
HRunh3,120,ACSA,3,1,1,
HRunh3,120,FAGR,0,1,0,
HRunh3,0,FAGR,2,1,0,
HRunh3,0,ACSA,2,0,0,
HRunh3,0,OSVI,1,1,0,
HRunh3,240,ACSA,1,1,1,
HRunh3,240,FRAM,0,0,1,
CH145unh3,0,FAGR,2,0,1,
CH145unh3,120,FAGR,5,0,0,
CH145unh3,240,ACSA,0,1,0,
HRunh4,240,OSVI,0,1,0,
HRunh4,240,FAGR,0,1,0,
HRunh4,240,ACSA,1,0,0,
HRunh4,0,PIRU-dead,0,2,0,
HRunh4,0,PIRU,0,0,2,
HRunh4,120,ACSA,0,2,1,
HRunh4,120,PIRU,1,0,0,
HRmat2,0,PIRU-dead,0,1,0,
HRmat2,0,FAGR,0,0,1,
HRmat2,240,FAGR,0,0,1,
HRmat2,240,OSVI,0,1,0,
CH145unh4,0,ACSA,0,1,1,
CH145unh4,0,FAGR,1,0,0,
CH145unh4,240,ACSA-dead,1,0,0,
CH2214unh1,0,FAGR,2,0,2,
CH2214unh1,120,ACSA,2,0,0,
CH2214unh1,240,FAGR,1,1,0,
CH2214unh2,0,FAGR,1,1,2,
CH2214unh2,0,OSVI,3,2,0,
CH2214unh2,120,FAGR,3,1,0,
CH2214unh2,120,OSVI,0,2,2,
CH2214unh2,240,FAGR,1,0,1,
CH2214unh2,240,ACSA,0,0,1,
CH2214unh2,240,OSVI,1,0,0,
CH2214unh3,0,ACSA,0,1,0,
CH2214unh3,0,OSVI,0,1,0,
CH2214unh3,120,ACSA,4,2,0,
CH2214unh3,120,BEAL,1,0,0,
CH2214unh3,120,OSVI,1,0,0,
CH2214unh3,120,FAGR,1,0,0,
CH2214unh3,240,ACSA,3,1,1,
MP19gap1,0,ABBA,0,1,0,
CH138mat1,0,FAGR,7,3,1,
CH138mat1,0,ACPE,0,1,0,
CH138mat1,0,ACSA,0,1,0,
CH138mat1,120,FAGR,2,2,2,
CH138mat1,240,FAGR,5,0,2,
CH138gap2,240,FAGR,2,0,0,
CH138gap2,0,ACPE,2,0,0,
CH138gap2,0,FAGR,2,0,0,
