Property,Stand_name,Stand_code,City,County,State,Owner,Ownership_cat,Harvest_status,Dates_sampled,num_plots,sample_lat,sample_long,treatment_type,harvest_start_year,harvest_end_year,notes,EAB_present,bedrock_type,calcium_rich,forest_type,Treatment
Hill Roberts property,Hill Roberts property,HR,Starksboro,Addison,VT,Vermont Land Trust,private_nonprofit,to be cut,"6/3/20, 6/4/20",10,44.161693,-72.995658,na,na,na,,yes,metawacke,no,NH,unharvested
Mud Pond property,Mud Pond 2019,MP19,Greensboro,Orleans,VT,Vermont Land Trust,private_nonprofit,cut,"6/8/20, 6/9/20, 6/15/20",7,44.628268,-72.239941,thinning_focus,2019,2019,,no,granite (Dbg),no,RNH,removal
Mud Pond property,Mud Pond 2013-14,MP1314,Greensboro,Orleans,VT,Vermont Land Trust,private_nonprofit,cut,"6/9/20, 6/10/20, 6/15/20",6,44.637807,-72.241975,regen_focus,2013,2014,counting as regen b/c of crop tree sections,no,granite (Dbg),no,RNH,regeneration
Mud Pond property,Mud Pond unharvested,MP,Greensboro,Orleans,VT,Vermont Land Trust,private_nonprofit,not cut,"6/10/20, 6/15/20",4,44.635516,-72.239189,na,na,na,,no,granite (Dbg),no,RNH,unharvested
Camel's Hump State Park,Camel's Hump SP stand 1-3-8,CH138,Duxbury,Washington,VT,VT FPR,public_state,cut,"6/16/20, 6/17/20",7,44.336092,-72.846009,thinning_focus,2014,2014,"mentions regen but also specifically mentions cutting trees over 18"" diam…maybe flag this for Tony as an example of a tricky one?",yes,schist (CZf),no,NH,removal
Camel's Hump State Park,Camel's Hump SP stand 1-4-5,CH145,Duxbury,Washington,VT,VT FPR,public_state,not cut,"6/17/20, 6/18/20",4,44.326756,-72.84979,na,na,na,,yes,schist (CZf),no,NH,unharvested
Camel's Hump State Park,Camel's Hump SP stand 2-2-14,CH2214,Bolton,Chittenden,VT,VT FPR,public_state,not cut,"6/18/20, 6/22/20",4,44.351512,-72.910963,na,na,na,,yes,schist (CZhn),no,NH,unharvested
Camel's Hump State Park,Camel's Hump SP stand 2-2-4,CH224,Bolton,Chittenden,VT,VT FPR,public_state,cut,"6/22/20, 6/23/20",6,44.356229,-72.901008,thinning_focus,2016,2018,"not much detail, but no mention of regen for ash & does mention targeting ""high-risk"" and larger trees",yes,schist (CZhn),no,NH,removal
Camel's Hump State Park,Camel's Hump SP stand 2-3-1,CH231,Bolton,Chittenden,VT,VT FPR,public_state,not cut,6/23/2020,4,44.341031,-72.91144,na,na,na,,yes,schist (CZhn),no,NH,unharvested
Clement Woodlot,Clements Woodlot East,CWE,Corinth,Orange,VT,Dartmouth College,private,not cut,6/24/2020,4,44.052472,-72.317757,na,na,na,,yes,phyllite (Dsw),no,RNH,unharvested
Joe Nelson property,Joe Nelson property,JNP,Waterford,Caledonia,VT,Joe Nelson,private,not cut,6/25/2020,4,44.356952,-71.967039,na,na,na,,no,metasiltstone (Oam),no,RNH,unharvested
Jason Mills property,Jason Mills property stand 7,JMP7,Peacham,Caledonia,VT,Jason Mills,private,cut,7/2/2020,4,44.347126,-72.240917,thinning_focus,2019,2020,definitely selective for ash!,yes,granite (Dbg),no,RNH,removal
Jason Mills property,Jason Mills property stand 3,JMP3,Peacham,Caledonia,VT,Jason Mills,private,not cut,7/2/2020,4,44.348638,-72.241526,na,na,na,,yes,granite (Dbg),no,RNH,unharvested
Green Mountain National Forest,Sunnyside stand 63-49,GMSS,Peru,Bennington,VT,USFS,public_national,cut,7/6/2020,6,43.210909,-72.960232,thinning_focus,2018,2019,"this is another one w/ diam-limit cutting, but also mention to not completely liquidate ash…flag for Tony/send him the language?",yes,trondhjemite gneiss (Y1rt),no,NH,removal
Green Mountain National Forest,Cook Brook stand 62-6,GMCB,Peru,Bennington,VT,USFS,public_national,cut,"7/6/20, 7/7/20",6,43.228802,-72.923897,thinning_focus,2016,2017,,yes,trondhjemite gneiss (Y1rt),no,NH,removal
Green Mountain National Forest,Alpaca stand 66-30,GMA,Winhall,Bennington,VT,USFS,public_national,cut,7/7/2020,4,43.190605,-72.88595,regen_focus,2013,2013,less info about this one…unsure. White ash is one of the LEAST prioritized species and they mention crop tree release so…maybe change this one to regen focus?,yes,granite gneiss (Y2gg),no,NH,regeneration
Green Mountain National Forest,Roaring Brook stand 125-5,GMRB5,Stamford,Bennington,VT,USFS,public_national,to be cut,7/8/2020,4,42.792949,-73.079846,na,na,na,,yes,granite (Y3Ccbs),no,NH,unharvested
Green Mountain National Forest,Roaring Brook stand 125-6,GMRB6,Stamford,Bennington,VT,USFS,public_national,to be cut,7/8/2020,4,42.79026,-73.081395,na,na,na,,yes,granite (Y3Ccbs),no,NH,unharvested
