plot_ID,tree_ID,species,DBH_cm,status,height_m,decay_class,to be cut,notes
HRgap1,1,ACSA,14.9,live,,,NO,
HRgap1,2,ACSA,30,live,,,NO,
HRgap1,3,ACSA,15,live,,,NO,
HRgap1,4,FRAM,30.2,live,,,NO,
HRgap1,5,ACSA,27.5,live,,,NO,
HRgap1,6,ACSA,14,live,,,NO,
HRgap1,7,ACSA,13.8,live,,,NO,
HRgap1,8,FRAM,42.5,live,,,NO,
HRgap1,9,ACSA,14.5,live,,,NO,
HRgap1,10,BEPA,21.3,live,,,NO,
HRgap1,11,FRAM,14.9,live,,,NO,
HRgap1,12,BEPA,24,live,,,NO,
HRgap1,13,FRAM,34.4,live,,,NO,
HRgap1,14,ACSA,17,live,,,NO,
HRgap1,15,ACSA,11.1,live,,,NO,
HRgap1,16,ACSA,18.4,live,,,NO,
HRgap1,17,ACSA,21,live,,,NO,
HRgap1,18,ACSA,16.5,live,,,NO,
HRgap1,19,ACSA,23.4,live,,,NO,
HRgap1,20,FRAM,16.1,live,,,NO,
HRgap1,21,ACSA,22.7,live,,,NO,
HRgap1,22,ACSA,16.4,live,,,NO,
HRgap1,23,ACSA,18.4,live,,,NO,
HRgap1,24,BEPA,21.2,live,,,NO,
HRgap1,25,UNK,22.2,snag,7.62,,NO,
HRgap1,26,FRAM,40.4,live,,,NO,
HRgap1,27,ACRU,34.8,live,,,NO,
HRgap1,28,ACSA,16,live,,,NO,
HRgap1,29,BEAL,34.5,live,,,NO,
HRgap1,30,PIRU,12.3,live,,,NO,
HRgap1,31,ACSA,22.6,live,,,NO,
HRgap1,32,ACSA,21.1,live,,,NO,
HRgap2,1,ULAM,23.9,live,,,NO,
HRgap2,2,BEAL,14,live,,,NO,
HRgap2,3,FRAM,35.9,live,,,NO,
HRgap2,4,FRAM,26.1,live,,,NO,
HRgap2,5,OSVI,19,live,,,NO,
HRgap2,6,FRAM,41,live,,,NO,
HRgap2,7,BEAL,37,live,,,NO,
HRgap2,8,BEAL,12.9,live,,,NO,
HRgap2,9,FRAm,31.4,live,,,NO,
HRgap2,10,OSVI,18.9,live,,,NO,
HRgap2,11,FAGR,27.1,live,,,NO,
HRgap2,12,OSVI,11.9,live,,,NO,
HRgap2,13,FAGR,11.5,live,,,NO,
HRgap2,14,FAGR,27.2,live,,,NO,
HRgap2,15,FAGR,42.5,live,,,NO,
HRgap2,16,FAGR,18.9,live,,,NO,
HRmat1,1,ACSA,54.1,live,,,NO,
HRmat1,2,OSVI,23.5,live,,,NO,
HRmat1,3,ACSA,13.5,live,,,NO,
HRmat1,4,ACSA,45.4,live,,,NO,
HRmat1,5,ACSA,54.7,live,,,NO,
HRmat1,6,FAGR,22.5,live,,,NO,
HRmat1,7,OSVI,19.6,live,,,NO,
HRmat1,8,BEPA,37.5,live,,,NO,
HRmat1,9,OSVI,49.4,live,,,NO,
HRmat1,10,OSVI,35.6,live,,,NO,
HRmat1,11,OSVI,24.2,live,,,NO,
HRmat1,12,BEAL,38,live,,,NO,
HRmat1,13,OSVI,18,live,,,NO,
HRmat1,14,ACSA,38.8,live,,,NO,
HRmat1,15,UNK,37.7,stump,0.33,4,NO,
HRmat1,16,UNK,13.2,stump,0.25,4,NO,
HRgap3,1,ACPE,10.5,live,,,NO,
HRgap3,2,BEPA,31.9,live,,,NO,
HRgap3,3,FAGR,12,live,,,NO,
HRgap3,4,ACSA,15.7,live,,,NO,
HRgap3,5,PIRU,18.5,live,,,NO,
HRgap3,6,ACSA,18,live,,,NO,
HRgap3,7,ACPE,7.5,live,,,NO,
HRgap3,8,ACSA,12.7,live,,,NO,
HRgap3,9,ACSA,10.9,live,,,NO,
HRgap3,10,ACSA,15.3,live,,,NO,
HRgap3,11,PIRU,12.2,live,,,NO,
HRgap3,12,OSVI,11.6,live,,,NO,
HRgap3,13,OSVI,11.9,live,,,NO,
HRgap3,14,BEAL,63,live,,,NO,
HRgap3,15,ACSA,27.7,live,,,NO,
HRgap3,16,ACSA,42.5,live,,,NO,
HRgap3,17,ACSA,15.9,live,,,NO,
HRgap3,18,ACSA,42.4,live,,,NO,
HRgap3,19,ACSA,14.8,live,,,NO,
HRgap3,20,UNK,32.5,stump,0.45,3,NO,
HRgap3,21,UNK,26,stump,0.52,4,NO,
HRgap3,22,UNK,45.1,stump,0.33,4,NO,
HRgap3,23,UNK,15,stump,0.33,3,NO,
HRgap3,24,UNK,47,stump,0.4,4,NO,
HRgap3,25,UNK,20.7,stump,0.28,4,NO,
HRgap3,26,UNK,31,stump,0.25,4,NO,
HRunh1,1,FRAM,19.6,live,,,NO,
HRunh1,2,ACPE,13.4,live,,,NO,
HRunh1,3,ACPE,14.8,live,,,NO,
HRunh1,4,ACPE,18.2,live,,,NO,
HRunh1,5,PIRU,32.5,live,,,NO,
HRunh1,6,ACPE,20.7,live,,,NO,
HRunh1,7,ACPE,15.2,live,,,NO,
HRunh1,8,FRAM,12.7,live,,,NO,
HRunh1,9,PIRU,18.7,live,,,NO,
HRunh1,10,ACPE,21.5,snag,5,2,NO,
HRunh1,11,ACPE,14.2,live,,,NO,
HRunh1,12,ACPE,14.8,live,,,NO,
HRunh1,13,ACPE,13.3,live,,,NO,
HRunh1,14,ACSA,31.3,live,,,NO,
HRunh1,15,BEAL,24.2,live,,,NO,
HRunh1,16,BEPA,17.3,live,,,NO,
HRunh1,17,BEPA,29,snag,5,3,NO,
HRunh1,18,FRAM,15.8,live,,,NO,
HRunh1,19,FRAM,16,live,,,NO,
HRunh1,20,UNK,45,stump,0.45,4,NO,
HRunh2,1,ACSA,54.4,live,,,NO,
HRunh2,2,BEAL,13.2,live,,,NO,
HRunh2,3,BEPA,26.7,live,,,NO,
HRunh2,4,FAGR,11.5,live,,,NO,
HRunh2,5,BEPa,37.9,live,,,NO,
HRunh2,6,ACSA,17.4,live,,,NO,
HRunh2,7,FAGR,23.7,live,,,NO,
HRunh2,8,BEPA,15.5,live,,,NO,
HRunh2,9,ACSA,37.1,live,,,NO,
HRunh2,10,BEAL,19.2,live,,,NO,
HRunh2,11,BEAL,50.3,live,,,NO,
HRunh2,12,ACSA,18.3,live,,,NO,
HRunh2,13,FAGR,37.8,live,,,NO,
HRunh2,14,UNK,46.5,stump,0.26,4,NO,
HRunh2,15,UNK,51.3,stump,0.41,4,NO,
HRunh2,16,BEAL,23.9,stump,0.73,4,NO,
HRunh2,17,UNK,35,stump,0.1,5,NO,
HRunh2,18,UNK,57.5,stump,0.25,4,NO,
HRunh2,19,UNK,26,stump,0.37,4,NO,
CH145unh2,1,ACSA,36.6,live,,,NO,
CH145unh2,2,FRAM,33.2,live,,,NO,
CH145unh2,3,ACSA,37.7,live,,,NO,
CH145unh2,4,FRAM,27.8,live,,,NO,
CH145unh2,5,FRAM,15.9,snag,6.2,3,NO,
CH145unh2,6,UNK,18.2,stump,0.45,3,NO,
CH145unh2,7,FRAM,25.1,live,,,NO,
CH145unh2,8,BEAL,10.5,live,,,NO,
CH145unh2,9,FRAM,36.1,live,,,NO,
CH145unh2,10,FRAM,13.3,snag,5.8,3,NO,
CH145unh2,11,FRAM,37.9,live,,,NO,
CH145unh2,12,BEAL,18.5,live,,,NO,
CH145unh2,13,FRAM,19.1,snag,18,1,NO,
CH145unh2,14,ACSA,14.5,live,,,NO,
CH145unh2,15,ACSA,14.4,live,,,NO,
CH145unh2,16,FAGR,11.5,live,,,NO,
CH145unh2,17,ACSA,48.2,live,,,NO,
CH145unh2,18,FRAM,26,live,,,NO,
CH145unh2,19,FRAM,30.2,live,,,NO,
CH145unh2,20,FRAM,26.5,live,,,NO,
CH145unh2,21,BEAL,16.9,live,,,NO,
CH145unh2,22,PRSE,40.8,live,,,NO,
HRunh3,1,ACSA,11.9,live,,,NO,
HRunh3,2,UNK,33.5,live,,,NO,
HRunh3,3,ACSA,42.4,live,,,NO,
HRunh3,4,FAGR,34,live,,,NO,
HRunh3,5,FAGR,27.5,live,,,NO,
HRunh3,6,ACSA,10.4,live,,,NO,
HRunh3,7,FRAM,12.5,live,,,NO,
HRunh3,8,FRAM,61.2,live,,,NO,
HRunh3,9,FAGR,13,live,,,NO,
HRunh3,10,FAGR,19.5,live,,,NO,
HRunh3,11,FAGR,10.3,live,,,NO,
HRunh3,12,FAGR,13,live,,,NO,
HRunh3,13,FAGR,22.1,live,,,NO,
HRunh3,14,ACSA,21.7,live,,,NO,
HRunh3,15,ACSA,30.5,live,,,NO,
HRunh3,16,OSVI,11.3,live,,,NO,
HRunh3,17,FAGR,16,live,,,NO,
HRunh3,18,ACSA,33.8,live,,,NO,
HRunh3,19,ACSA,19.1,live,,,NO,
HRunh3,20,FAGR,14,live,,,NO,
HRunh3,21,ACSA,30.3,live,,,NO,
HRunh3,22,ACSA,10.5,live,,,NO,
HRunh3,23,OSVI,10.8,live,,,NO,
HRunh3,24,UNK,34,stump,0.2,5,NO,
HRunh3,25,UNK,51,stump,0.4,4,NO,
CH145unh3,1,BEAL,58.7,snag,11.5,3,NO,
CH145unh3,2,ACSA,15.7,live,,,NO,
CH145unh3,3,TIAM,41,live,,,NO,
CH145unh3,4,ACSA,52.2,live,,,NO,
CH145unh3,5,FRAM,37.9,live,,,NO,
CH145unh3,6,ACSA,33.4,live,,,NO,
CH145unh3,7,FRAM,21.7,snag,22,2,NO,
CH145unh3,8,FRAM,26.2,live,,,NO,
CH145unh3,9,FAGR,10.6,live,,,NO,
CH145unh3,10,BEAL,29.9,live,,,NO,
CH145unh3,11,FRAM,35.1,live,,,NO,
CH145unh3,12,FAGR,10.3,live,,,NO,
CH145unh3,13,FRAM,37.4,live,,,NO,
CH145unh3,14,ACSA,39.9,live,,,NO,
CH145unh3,15,ACSA,43.9,live,,,NO,
CH145unh3,16,FRAM,33.4,live,,,NO,
CH145unh3,17,ACSA,14.1,live,,,NO,
CH145unh3,18,ACSA,27.9,live,,,NO,
HRunh4,1,FRAM,32.7,live,,,NO,
HRunh4,2,ACSA,23.3,live,,,NO,
HRunh4,3,BEAL,23,live,,,NO,
HRunh4,4,BEAL,17,live,,,NO,
HRunh4,5,FRAM,12.8,live,,,NO,
HRunh4,6,PIRU,13.7,live,,,NO,
HRunh4,7,BEAL,28.1,live,,,NO,
HRunh4,8,ACSA,45.8,live,,,NO,
HRunh4,9,PIRU,15.2,live,,,NO,
HRunh4,10,PIRU,11.2,live,,,NO,
HRunh4,11,ACSA,59.4,live,,,NO,
HRunh4,12,PIRU,12.3,live,,,NO,
HRunh4,13,PIRU,12.5,live,,,NO,
HRunh4,14,ACSA,18.2,live,,,NO,
HRunh4,15,FRAM,32.6,live,,,NO,
HRunh4,16,ACSA,21.5,live,,,NO,
HRunh4,17,PIRU,24.7,live,,,NO,
HRunh4,18,FRAM,51.4,live,,,NO,
HRunh4,19,UNK,17,stump,0.48,4,NO,
HRunh4,20,UNK,25,stump,0.25,4,NO,
HRmat2,1,ACSA,37.2,,,,NO,
HRmat2,2,BEAL,37,,,,NO,
HRmat2,3,PIRU,12,,,,NO,
HRmat2,4,ACSA,27.1,,,,NO,
HRmat2,5,OSVI,14.6,,,,NO,
HRmat2,6,ACPE,10.6,,,,NO,
HRmat2,7,FAGR,10.8,,,,NO,
HRmat2,8,ACSA,43,,,,NO,
HRmat2,9,ACSA,60.5,,,,NO,
HRmat2,10,ACSA,39.7,,,,NO,
HRmat2,11,ACSA,40.4,,,,NO,
HRmat2,12,ACSA,27.6,snag,7,2,NO,
HRmat2,13,ACRU,55.8,,,,NO,
HRmat2,14,ACRU,44.1,,,,NO,
HRmat2,15,ACSA,19.5,,,,NO,
HRmat2,16,FAGR,27.5,,,,NO,
HRmat2,17,ACSA,36.7,,,,NO,
HRmat2,18,FRAM,51.7,,,,NO,
HRmat2,19,UNK,41.8,stump,0.36,4,NO,
HRmat2,20,UNK,48.9,stump,0.43,4,NO,
HRmat2,21,UNK,44.1,stump,0.25,5,NO,
HRmat2,22,UNK,25.2,stump,0.25,4,NO,
HRmat3,1,ACSA,12.5,,,,NO,
HRmat3,2,FRAM,33.2,,,,NO,
HRmat3,3,ACSA,13.5,,,,NO,
HRmat3,4,ACSA,18.2,,,,NO,
HRmat3,5,ACSA,18.4,,,,NO,
HRmat3,6,FRAM,32,,,,NO,
HRmat3,7,ACSA,31,,,,NO,
HRmat3,8,BEAL,11.3,,,,NO,
HRmat3,9,BEAL,27.8,,,,NO,
HRmat3,10,BEAL,23,snag,4.41,2,NO,
HRmat3,11,BEAL,27.5,,,,NO,
HRmat3,12,ACSA,20.7,,,,NO,
HRmat3,13,FRAM,19,,,,NO,
HRmat3,14,ACSA,24.9,,,,NO,
HRmat3,15,ACSA,18.8,,,,NO,
HRmat3,16,FAGR,23.2,,,,NO,
HRmat3,17,FAGR,21,,,,NO,
HRmat3,18,FAGR,10.5,snag,4,2,NO,
HRmat3,19,ACSA,17.4,,,,NO,
HRmat3,20,ACSA,12.9,,,,NO,
HRmat3,21,ACSA,12,,,,NO,
HRmat3,22,OSVI,19.2,snag,8.3,1,NO,
HRmat3,23,ACSA,31,,,,NO,
HRmat3,24,ACSA,16.4,,,,NO,
HRmat3,25,ACSA,17.5,,,,NO,
HRmat3,26,ACSA,13.8,,,,NO,
HRmat3,27,ACSA,18.5,,,,NO,
