"Stand_name","diam_cm_sq","n_stand","QMD_cm","Treatment","forest_type","per_ha_stand"
"Algonquin State Forest stand 1-14",74945.4,50,38.7157332359856,"unharvested","NH",312.5
"Alpaca stand 66-30",35846.62,22,40.3657257853964,"regeneration","NH",137.5
"Balance Rock State Park",77551.29,94,28.7230521255011,"unharvested","RNH",587.5
"Camel's Hump SP stand 1-3-8",69906.69,84,28.8482668456876,"removal","NH",300
"Camel's Hump SP stand 1-4-5",76524.25,94,28.5322232915251,"unharvested","NH",587.5
"Camel's Hump SP stand 2-2-14",69639.62,105,25.753339127004,"unharvested","NH",656.25
"Camel's Hump SP stand 2-2-4",52795.64,53,31.5617513922057,"removal","NH",220.833333333333
"Camel's Hump SP stand 2-3-1",68782.56,92,27.3429428141729,"unharvested","NH",575
"Cardigan Mountain State Forest comp 1 stand 1",71902.26,105,26.1683669450623,"unharvested","NH",656.25
"Cardigan Mountain State Forest comp 6 stand 2",64484.07,102,25.1435233152771,"unharvested","NH",637.5
"Clam Dam unit 1",59851.19,63,30.8223764315617,"removal","NH",262.5
"Clam Dam unit 3",81006.1,78,32.2263827258,"unharvested","NH",487.5
"Clements Woodlot East",70610.85,101,26.4408268919993,"unharvested","RNH",631.25
"Cook Brook stand 62-6",52036.07,76,26.1664887132177,"removal","NH",316.666666666667
"County Rd ash salvage",60030.21,79,27.565849813662,"removal","NH",329.166666666667
"Dennis Hill State Park stand 1",58899.34,70,29.0072257007998,"removal","NH",291.666666666667
"Groton State Forest stand 3-9-6",69928.55,73,30.9503690198639,"regeneration","NH",260.714285714286
"Haystack Mountain State Park",84785.71,80,32.5548978649911,"unharvested","NH",500
"Heaphy Richardson Lot",34534.54,42,28.6749185243995,"removal","NH",175
"Hill Roberts property",107999.13,151,26.7437100360078,"unharvested","NH",377.5
"Holbrook State Park stand 1-1-8",67377.63,79,29.2041331390792,"unharvested","NH",493.75
"Housatonic State Forest stand 16-1",36853.62,42,29.6220718866379,"removal","NH",175
"Jason Mills property stand 1",55288.97,83,25.8095363901543,"removal","RNH",518.75
"Jason Mills property stand 3",50750.02,69,27.1202421860846,"unharvested","RNH",431.25
"Jason Mills property stand 7",54047.76,69,27.9875127434579,"removal","RNH",431.25
"Joe Nelson property",61701.46,120,22.6755117546073,"unharvested","RNH",750
"Kearsarge Mountain State Forest comp 4 stand 26",61363.2,72,29.1936066060134,"unharvested","NH",450
"Long Pond harvested",69693.29,125,23.6124187664034,"regeneration","RNH",520.833333333333
"Long Pond unharvested",79439.82,126,25.1092564984462,"unharvested","RNH",787.5
"Mad Tom stand 58-14",44744.99,58,27.7752649821309,"removal","NH",241.666666666667
"Mathewson State Forest stand 3-1-11",49712.35,103,21.9691641797607,"unharvested","NH",643.75
"Mud Pond 2013-14",67430.85,84,28.3328116198466,"regeneration","RNH",350
"Mud Pond 2019",56873.11,112,22.5343210459068,"removal","RNH",400
"Mud Pond unharvested",83915.37,79,32.591714797134,"unharvested","RNH",493.75
"Potter Mtn Rd. Hancock Unit",66208.83,59,33.4990083334124,"removal","NH",245.833333333333
"Roaring Brook stand 125-5",79762.69,105,27.5616521033603,"unharvested","NH",656.25
"Roaring Brook stand 125-6",92422.61,143,25.422666226066,"unharvested","NH",893.75
"Schoolhouse Lot BB stand",45888.39,54,29.151072021454,"removal","NH",225
"Shaker State Forest",74081.79,96,27.779224476216,"removal","NH",342.857142857143
"Sherlock Lot 2014",44564.2,44,31.8248759192039,"removal","NH",183.333333333333
"Sherlock Lot 2017",44800.23,59,27.5558692877468,"removal","NH",245.833333333333
"Stoner Woodlot",59884.68,104,23.9961294955922,"unharvested","RNH",650
"Sunnyside stand 63-49",34686.96,42,28.7381279835691,"removal","NH",175
"Tunxis State Forest stand 49",74956.32,92,28.5436964791817,"unharvested","RNH",575
"York Lake stand 2",82366.34,84,31.3137616179639,"removal","RNH",350
