"","plot_ID","Stand_name","State","Ownership_cat","Treatment","EAB_present","forest_type","species","small_saplings_tally","large_saplings_tally","all_saplings_tally"
"1","ASF114unh1","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","all",10,5,15
"2","ASF114unh1","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACSA",0,0,0
"3","ASF114unh1","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FRAM",0,0,0
"4","ASF114unh1","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FAGR",0,0,0
"5","ASF114unh1","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACRU",0,0,0
"6","ASF114unh1","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","BEAL",0,0,0
"7","ASF114unh2","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","all",1,6,7
"8","ASF114unh2","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACSA",0,1,1
"9","ASF114unh2","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FRAM",0,0,0
"10","ASF114unh2","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FAGR",1,5,6
"11","ASF114unh2","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACRU",0,0,0
"12","ASF114unh2","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","BEAL",0,0,0
"13","ASF114unh3","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","all",10,14,24
"14","ASF114unh3","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACSA",0,0,0
"15","ASF114unh3","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FRAM",0,0,0
"16","ASF114unh3","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FAGR",9,14,23
"17","ASF114unh3","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACRU",0,0,0
"18","ASF114unh3","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","BEAL",0,0,0
"19","ASF114unh4","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","all",4,15,19
"20","ASF114unh4","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACSA",0,1,1
"21","ASF114unh4","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FRAM",0,0,0
"22","ASF114unh4","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","FAGR",4,12,16
"23","ASF114unh4","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","ACRU",0,0,0
"24","ASF114unh4","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH","BEAL",0,0,0
"25","BRSPunh1","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","all",13,8,21
"26","BRSPunh1","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","ACSA",1,1,2
"27","BRSPunh1","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","FRAM",1,0,1
"28","BRSPunh1","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","FAGR",4,4,8
"29","BRSPunh1","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","ACRU",0,0,0
"30","BRSPunh1","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","BEAL",0,0,0
"31","BRSPunh2","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","all",13,8,21
"32","BRSPunh2","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","ACSA",2,1,3
"33","BRSPunh2","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","FRAM",0,0,0
"34","BRSPunh2","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","FAGR",3,5,8
"35","BRSPunh2","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","ACRU",1,2,3
"36","BRSPunh2","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","BEAL",0,0,0
"37","BRSPunh3","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","all",6,16,22
"38","BRSPunh3","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","ACSA",0,1,1
"39","BRSPunh3","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","FRAM",0,0,0
"40","BRSPunh3","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","FAGR",1,5,6
"41","BRSPunh3","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","ACRU",0,0,0
"42","BRSPunh3","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","BEAL",0,0,0
"43","BRSPunh4","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","all",7,9,16
"44","BRSPunh4","Balance Rock State Park","MA","public_state","unharvested","yes","RNH","ACSA",0,1,1
