"","plot_ID","Stand_name","State","Ownership_cat","Treatment","EAB_present","forest_type","tally","ACRU","ACSA","BEAL","FAGR","FRAM"
"1","ASF114unh1","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH",14,0,3,0,0,0
"2","ASF114unh2","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH",5,0,4,0,0,0
"3","ASF114unh3","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH",5,0,1,0,4,0
"4","ASF114unh4","Algonquin State Forest stand 1-14","CT","public_state","unharvested","yes","NH",3,0,0,0,3,0
"5","BRSPunh1","Balance Rock State Park","MA","public_state","unharvested","yes","RNH",9,1,3,0,1,0
"6","BRSPunh2","Balance Rock State Park","MA","public_state","unharvested","yes","RNH",7,0,4,0,0,2
"7","BRSPunh3","Balance Rock State Park","MA","public_state","unharvested","yes","RNH",5,1,1,0,0,0
"8","BRSPunh4","Balance Rock State Park","MA","public_state","unharvested","yes","RNH",1,0,0,0,0,0
"9","CH138gap1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH",12,0,6,0,0,0
"10","CH138gap2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH",9,0,1,2,2,0
"11","CH138gap3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH",64,0,39,2,0,3
"12","CH138mat1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH",24,1,23,0,0,0
"13","CH138mat2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH",16,0,16,0,0,0
"14","CH138mat3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH",44,0,33,0,0,5
"15","CH138mat4","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH",36,0,18,1,0,5
"16","CH145unh1","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH",45,20,25,0,0,0
"17","CH145unh2","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH",43,0,42,0,0,0
"18","CH145unh3","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH",17,0,16,0,0,0
"19","CH145unh4","Camel's Hump SP stand 1-4-5","VT","public_state","unharvested","yes","NH",26,0,21,0,0,0
"20","CH2214unh1","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH",13,1,12,0,0,0
"21","CH2214unh2","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH",10,0,9,0,0,0
"22","CH2214unh3","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH",127,96,24,0,0,0
"23","CH2214unh4","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH",187,0,187,0,0,0
"24","CH224gap1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH",25,0,20,0,0,1
"25","CH224gap2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH",13,0,11,0,0,2
"26","CH224gap3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH",60,0,40,1,2,4
"27","CH224mat1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH",42,0,41,1,0,0
"28","CH224mat2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH",61,0,57,1,0,1
"29","CH224mat3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH",23,0,15,0,0,5
"30","CH231unh1","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH",44,0,40,0,0,0
"31","CH231unh2","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH",83,0,81,0,0,0
"32","CH231unh3","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH",15,2,11,0,0,0
"33","CH231unh4","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH",4,1,1,0,0,0
"34","CMSF11unh1","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH",11,3,6,1,0,0
"35","CMSF11unh2","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH",18,0,11,0,0,1
"36","CMSF11unh3","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH",10,0,4,0,2,0
"37","CMSF11unh4","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH",12,4,2,0,0,0
"38","CMSF62unh1","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH",0,0,0,0,0,0
"39","CMSF62unh2","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH",4,3,0,0,0,0
"40","CMSF62unh3","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH",8,0,6,0,0,0
"41","CMSF62unh4","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH",5,5,0,0,0,0
"42","CWEunh1","Clements Woodlot East","VT","private","unharvested","yes","RNH",3,0,1,0,2,0
"43","CWEunh2","Clements Woodlot East","VT","private","unharvested","yes","RNH",21,0,18,0,0,0
"44","CWEunh3","Clements Woodlot East","VT","private","unharvested","yes","RNH",21,0,21,0,0,0
"45","CWEunh4","Clements Woodlot East","VT","private","unharvested","yes","RNH",21,0,16,0,0,0
"46","DHSPgap1","Dennis Hill State Park stand 1","CT","public_state","removal","yes","NH",3,1,1,0,0,1
"47","DHSPgap2","Dennis Hill State Park stand 1","CT","public_state","removal","yes","NH",2,0,0,0,0,0
"48","DHSPgap3","Dennis Hill State Park stand 1","CT","public_state","removal","yes","NH",1,0,1,0,0,0
"49","DHSPmat1","Dennis Hill State Park stand 1","CT","public_state","removal","yes","NH",2,1,0,0,0,1
"50","DHSPmat2","Dennis Hill State Park stand 1","CT","public_state","removal","yes","NH",2,1,0,0,0,0
"51","DHSPmat3","Dennis Hill State Park stand 1","CT","public_state","removal","yes","NH",10,0,0,0,0,0
"52","GMAgap1","Alpaca stand 66-30","VT","public_national","regeneration","yes","NH",1,0,0,0,0,0
"53","GMAgap2","Alpaca stand 66-30","VT","public_national","regeneration","yes","NH",6,4,0,0,0,0
"54","GMAmat1","Alpaca stand 66-30","VT","public_national","regeneration","yes","NH",6,1,3,1,0,0
"55","GMAmat2","Alpaca stand 66-30","VT","public_national","regeneration","yes","NH",5,3,0,0,0,2
"56","GMCBgap1","Cook Brook stand 62-6","VT","public_national","removal","yes","NH",28,0,1,3,0,2
"57","GMCBgap2","Cook Brook stand 62-6","VT","public_national","removal","yes","NH",29,0,19,2,0,5
"58","GMCBgap3","Cook Brook stand 62-6","VT","public_national","removal","yes","NH",90,0,7,13,0,20
"59","GMCBmat1","Cook Brook stand 62-6","VT","public_national","removal","yes","NH",21,0,4,0,0,17
"60","GMCBmat2","Cook Brook stand 62-6","VT","public_national","removal","yes","NH",29,0,13,0,0,12
"61","GMCBmat3","Cook Brook stand 62-6","VT","public_national","removal","yes","NH",24,0,8,1,0,9
"62","GMMTgap1","Mad Tom stand 58-14","VT","public_national","removal","yes","NH",43,2,17,1,1,2
"63","GMMTgap2","Mad Tom stand 58-14","VT","public_national","removal","yes","NH",10,0,3,0,0,0
"64","GMMTgap3","Mad Tom stand 58-14","VT","public_national","removal","yes","NH",1,0,1,0,0,0
"65","GMMTmat1","Mad Tom stand 58-14","VT","public_national","removal","yes","NH",5,0,4,0,0,1
