"","Stand_name","species","BA_sqm"
"1","Shaker State Forest","",0.114608441595609
"2","Cardigan Mountain State Forest comp 1, stand 1","ABBA",0.831865373769233
"3","Cardigan Mountain State Forest comp 6, stand 2","ABBA",0.138201342284094
"4","County Rd ash salvage","ABBA",0.628008862306466
"5","Holbrook State Park stand 1-1-8","ABBA",0.184922782970093
"6","Mathewson State Forest stand 3-1-11","ABBA",0.0233616683702571
"7","Mud Pond 2019","ABBA",0.0728790663634792
"8","Roaring Brook stand 125-5","ABBA",0.519215730247765
"9","Mud Pond 2013-14","ACER",0.0508938009881546
"10","Balance Rock State Park","ACPE",0.0179856179418016
"11","Camel's Hump SP stand 1-3-8","ACPE",0.0307907495978336
"12","Camel's Hump SP stand 2-2-14","ACPE",0.00817128249198705
"13","Camel's Hump SP stand 2-2-4","ACPE",0.022336176440979
"14","Cardigan Mountain State Forest comp 6, stand 2","ACPE",0.0546864887192009
"15","Cook Brook stand 62-6","ACPE",0.0681045958094696
"16","Dennis Hill State Park stand 1","ACPE",0.00882473376393373
"17","Heaphy Richardson Lot","ACPE",0.0964188563965336
"18","Hill Roberts property","ACPE",0.214260545965641
"19","Jason Mills property stand 1","ACPE",0.00833228911548353
"20","Kearsarge Mountain State Forest comp 4, stand 26","ACPE",0.00817128249198705
"21","Long Pond harvested","ACPE",0.0126676869774374
"22","Mad Tom stand 58-14","ACPE",0.00754194249239428
"23","Mathewson State Forest stand 3-1-11","ACPE",0.0371179172021634
"24","Mud Pond 2013-14","ACPE",0.00865901475145687
"25","Mud Pond 2019","ACPE",0.0503181041343843
"26","Mud Pond unharvested","ACPE",0.0302951633567298
"27","Potter Mtn Rd. Hancock Unit","ACPE",0.0213575878018369
"28","Roaring Brook stand 125-5","ACPE",0.0120762821603992
"29","Sherlock Lot 2017","ACPE",0.0223877746476443
"30","Sunnyside stand 63-49","ACPE",0.0142532880310005
"31","Tunxis State Forest stand 49","ACPE",0.00833228911548353
"32","Algonquin State Forest stand 1-14","ACRU",0.440926455922145
"33","Balance Rock State Park","ACRU",1.02378378474817
"34","Camel's Hump SP stand 1-4-5","ACRU",0.0880816186268604
"35","Camel's Hump SP stand 2-2-14","ACRU",0.00817128249198705
"36","Camel's Hump SP stand 2-3-1","ACRU",0.256213374261679
"37","Cardigan Mountain State Forest comp 1, stand 1","ACRU",0.671368560248263
"38","Cardigan Mountain State Forest comp 6, stand 2","ACRU",0.536437941174745
"39","Clam Dam unit 1","ACRU",0.648359633080732
"40","Clam Dam unit 3","ACRU",0.4638160999962
"41","County Rd ash salvage","ACRU",0.543684068272557
"42","Dennis Hill State Park stand 1","ACRU",0.629436697861624
"43","Groton State Forest stand 3-9-6","ACRU",0.114608441595609
"44","Haystack Mountain State Park","ACRU",0.734911984056097
"45","Heaphy Richardson Lot","ACRU",2.93263901089765
"46","Hill Roberts property","ACRU",0.492404593143867
"47","Housatonic State Forest stand 16-1","ACRU",0.201043080273825
"48","Jason Mills property stand 1","ACRU",0.0463769761504559
"49","Mathewson State Forest stand 3-1-11","ACRU",0.138895309002349
"50","Mud Pond 2019","ACRU",0.82001483972621
"51","Roaring Brook stand 125-5","ACRU",0.0834689752132272
"52","Roaring Brook stand 125-6","ACRU",0.273669633841351
"53","Shaker State Forest","ACRU",0.977303136040144
"54","Sherlock Lot 2017","ACRU",0.85606679035411
"55","Stoner Woodlot","ACRU",0.111445643191608
"56","Tunxis State Forest stand 49","ACRU",0.841584762608738
"57","York Lake stand 2","ACRU",1.66834956555714
"58","Algonquin State Forest stand 1-14","ACSA",0.955338691002571
"59","Alpaca stand 66-30","ACSA",2.07089988551224
"60","Balance Rock State Park","ACSA",1.24263898230588
"61","Camel's Hump SP stand 1-3-8","ACSA",4.0625186909109
"62","Camel's Hump SP stand 1-4-5","ACSA",2.09713247563155
"63","Camel's Hump SP stand 2-2-14","ACSA",1.74006376817399
"64","Camel's Hump SP stand 2-2-4","ACSA",3.58983997061229
"65","Camel's Hump SP stand 2-3-1","ACSA",1.88439560326337
"66","Cardigan Mountain State Forest comp 1, stand 1","ACSA",1.70593743257621
"67","Cardigan Mountain State Forest comp 6, stand 2","ACSA",1.69304826331669
"68","Clam Dam unit 1","ACSA",3.84802530660942
"69","Clam Dam unit 3","ACSA",1.88010890008755
"70","Clements Woodlot East","ACSA",1.7735908449731
"71","Cook Brook stand 62-6","ACSA",3.31325636453619
"72","County Rd ash salvage","ACSA",2.3442699651264
"73","Dennis Hill State Park stand 1","ACSA",2.5158632751617
"74","Groton State Forest stand 3-9-6","ACSA",5.19616412598624
"75","Haystack Mountain State Park","ACSA",1.19513253126026
"76","Heaphy Richardson Lot","ACSA",0.381165558149514
"77","Hill Roberts property","ACSA",4.84200873707731
"78","Holbrook State Park stand 1-1-8","ACSA",2.84857063131617
"79","Housatonic State Forest stand 16-1","ACSA",2.68055798331425
"80","Jason Mills property stand 1","ACSA",2.56347017478902
"81","Jason Mills property stand 3","ACSA",2.12872646354213
"82","Jason Mills property stand 7","ACSA",2.94463608694605
"83","Joe Nelson property","ACSA",0.936350905004274
"84","Kearsarge Mountain State Forest comp 4, stand 26","ACSA",1.82700420326943
"85","Long Pond harvested","ACSA",5.91960775921951
"86","Long Pond unharvested","ACSA",3.55000668519887
"87","Mad Tom stand 58-14","ACSA",3.72693470557548
"88","Mathewson State Forest stand 3-1-11","ACSA",1.67404869634594
"89","Mud Pond 2013-14","ACSA",2.39904209987812
"90","Mud Pond 2019","ACSA",2.8054764258955
"91","Mud Pond unharvested","ACSA",4.43544894859095
"92","Potter Mtn Rd. Hancock Unit","ACSA",2.75867882220285
"93","Roaring Brook stand 125-5","ACSA",3.47638488362306
"94","Roaring Brook stand 125-6","ACSA",1.30848863909866
"95","Schoolhouse Lot, BB stand","ACSA",4.75396969573472
"96","Shaker State Forest","ACSA",0.574265708019542
"97","Sherlock Lot 2014","ACSA",3.83015134917506
"98","Sherlock Lot 2017","ACSA",1.43981509064534
"99","Stoner Woodlot","ACSA",2.98028468607254
"100","Sunnyside stand 63-49","ACSA",7.06296072161048
"101","Tunxis State Forest stand 49","ACSA",1.39878560812412
"102","York Lake stand 2","ACSA",2.36363738617011
"103","Camel's Hump SP stand 2-3-1","ACSP",0.0103868907109313
"104","Jason Mills property stand 3","ACSP",0.122541748444087
"105","Mud Pond 2019","ACSP",0.687492395190309
"106","Sherlock Lot 2014","ACSP",0.758323043168227
"107","Tunxis State Forest stand 49","ACSP",0.0191134497044403
"108","York Lake stand 2","ACSP",0.0820887108394888
"109","Clam Dam unit 1","ACSP2",0.0382879778418722
"110","Algonquin State Forest stand 1-14","BEAL",0.147253516257224
"111","Alpaca stand 66-30","BEAL",1.42391669189295
"112","Balance Rock State Park","BEAL",0.0422269322550638
"113","Camel's Hump SP stand 1-3-8","BEAL",0.222774262056869
"114","Camel's Hump SP stand 1-4-5","BEAL",0.879034482483402
"115","Camel's Hump SP stand 2-2-14","BEAL",0.21960222681897
"116","Camel's Hump SP stand 2-2-4","BEAL",0.118847235483465
"117","Camel's Hump SP stand 2-3-1","BEAL",0.333990353475109
"118","Cardigan Mountain State Forest comp 1, stand 1","BEAL",0.0974278567712901
"119","Clam Dam unit 1","BEAL",0.0216424317905801
"120","Clam Dam unit 3","BEAL",0.109271661075324
"121","Cook Brook stand 62-6","BEAL",0.406536977618895
"122","County Rd ash salvage","BEAL",0.497482633919371
"123","Dennis Hill State Park stand 1","BEAL",0.197256000045484
"124","Heaphy Richardson Lot","BEAL",0.318874950745335
"125","Hill Roberts property","BEAL",1.4438342951892
"126","Holbrook State Park stand 1-1-8","BEAL",0.463663732752501
"127","Jason Mills property stand 1","BEAL",0.241879072381512
"128","Jason Mills property stand 3","BEAL",0.112447811248103
"129","Jason Mills property stand 7","BEAL",0.198190503456104
"130","Joe Nelson property","BEAL",0.160373592576779
"131","Kearsarge Mountain State Forest comp 4, stand 26","BEAL",0.906389212535766
"132","Long Pond harvested","BEAL",0.612006951706359
"133","Long Pond unharvested","BEAL",0.983147283773985
"134","Mad Tom stand 58-14","BEAL",0.742150011923746
"135","Mathewson State Forest stand 3-1-11","BEAL",0.137359070194743
"136","Mud Pond 2013-14","BEAL",0.813122241992785
"137","Mud Pond 2019","BEAL",2.43172051912779
"138","Mud Pond unharvested","BEAL",0.154711657216846
"139","Potter Mtn Rd. Hancock Unit","BEAL",0.644508728458234
"140","Roaring Brook stand 125-5","BEAL",0.610960911713134
"141","Roaring Brook stand 125-6","BEAL",1.35456750892149
"142","Schoolhouse Lot, BB stand","BEAL",0.08656501477334
"143","Shaker State Forest","BEAL",0.258502403730279
"144","Sherlock Lot 2014","BEAL",0.426670471188694
"145","Sherlock Lot 2017","BEAL",1.85837193252518
"146","Stoner Woodlot","BEAL",0.577704778353659
"147","Sunnyside stand 63-49","BEAL",0.430105240026854
"148","York Lake stand 2","BEAL",0.370232050919863
"149","Clam Dam unit 1","BELE",0.257377334339834
"150","Shaker State Forest","BELE",0.0973139740375975
"151","Balance Rock State Park","BENI",0.237820134673074
"152","Clam Dam unit 3","BENI",0.0735415424278835
"153","Alpaca stand 66-30","BEPA",0.0564104376878583
"154","Balance Rock State Park","BEPA",0.188307063656172
"155","Camel's Hump SP stand 2-2-14","BEPA",0.347051255235949
"156","Camel's Hump SP stand 2-2-4","BEPA",0.166307163718079
"157","Cardigan Mountain State Forest comp 1, stand 1","BEPA",0.391503705694033
"158","Cardigan Mountain State Forest comp 6, stand 2","BEPA",1.23604177643157
"159","County Rd ash salvage","BEPA",0.00882473376393373
"160","Haystack Mountain State Park","BEPA",0.0193592793295837
"161","Heaphy Richardson Lot","BEPA",0.062141525729408
"162","Hill Roberts property","BEPA",0.619778896487338
"163","Holbrook State Park stand 1-1-8","BEPA",0.0819398049890924
"164","Jason Mills property stand 1","BEPA",0.822567249015637
"165","Kearsarge Mountain State Forest comp 4, stand 26","BEPA",0.157439345038326
"166","Mathewson State Forest stand 3-1-11","BEPA",0.0868037758150128
"167","Potter Mtn Rd. Hancock Unit","BEPA",0.0552402350251256
"168","Roaring Brook stand 125-6","BEPA",0.183881345005428
"169","Schoolhouse Lot, BB stand","BEPA",0.110678006490884
"170","Sherlock Lot 2017","BEPA",0.0387075630848798
"171","Sunnyside stand 63-49","BEPA",0.0876959881286323
"172","Haystack Mountain State Park","BEPO",0.126500940585773
"173","Mathewson State Forest stand 3-1-11","BESP",0.0147411381288067
"174","Sunnyside stand 63-49","BESP",0.127283290203113
"175","County Rd ash salvage","CACA",0.00899202357273738
"176","Housatonic State Forest stand 16-1","CACO",0.0237787147950211
"177","Algonquin State Forest stand 1-14","CAOV",0.0660519855417254
"178","Algonquin State Forest stand 1-14","FAGR",1.07388040660047
"179","Alpaca stand 66-30","FAGR",0.919651536557641
"180","Balance Rock State Park","FAGR",0.133655917854324
"181","Camel's Hump SP stand 1-3-8","FAGR",0.229920556179115
"182","Camel's Hump SP stand 1-4-5","FAGR",0.040211600567786
"183","Camel's Hump SP stand 2-2-14","FAGR",1.15087848634547
"184","Camel's Hump SP stand 2-2-4","FAGR",0.251259763154236
"185","Camel's Hump SP stand 2-3-1","FAGR",0.314073656959169
"186","Cardigan Mountain State Forest comp 6, stand 2","FAGR",0.306306069123168
"187","Clam Dam unit 1","FAGR",0.146276632420179
"188","Clam Dam unit 3","FAGR",0.523712134733216
"189","Clements Woodlot East","FAGR",0.531428245536586
"190","Cook Brook stand 62-6","FAGR",0.60674460662049
"191","County Rd ash salvage","FAGR",0.0325831959549831
"192","Dennis Hill State Park stand 1","FAGR",0.025487093144593
"193","Groton State Forest stand 3-9-6","FAGR",0.51825390337335
"194","Haystack Mountain State Park","FAGR",0.114121494734303
"195","Heaphy Richardson Lot","FAGR",1.22491412767631
"196","Hill Roberts property","FAGR",0.956801102382817
"197","Holbrook State Park stand 1-1-8","FAGR",0.168924677489266
"198","Jason Mills property stand 3","FAGR",0.429688979000254
"199","Jason Mills property stand 7","FAGR",0.0533882255551049
"200","Kearsarge Mountain State Forest comp 4, stand 26","FAGR",0.667028449997329
"201","Long Pond harvested","FAGR",0.00756722995046782
"202","Long Pond unharvested","FAGR",0.0778525929467721
"203","Mad Tom stand 58-14","FAGR",0.931769461986834
"204","Mathewson State Forest stand 3-1-11","FAGR",0.104939404806023
"205","Mud Pond 2013-14","FAGR",0.0793228583086521
"206","Mud Pond 2019","FAGR",0.307275194651405
"207","Mud Pond unharvested","FAGR",0.106803154647765
"208","Potter Mtn Rd. Hancock Unit","FAGR",0.52816394872037
"209","Roaring Brook stand 125-5","FAGR",0.21371940663106
"210","Roaring Brook stand 125-6","FAGR",0.46320967233837
"211","Schoolhouse Lot, BB stand","FAGR",0.573381484047352
"212","Shaker State Forest","FAGR",1.15552777429179
"213","Sherlock Lot 2014","FAGR",1.17988358892449
"214","Sherlock Lot 2017","FAGR",2.78535427650769
"215","Sunnyside stand 63-49","FAGR",0.3116366518737
"216","Tunxis State Forest stand 49","FAGR",0.0265935818126376
"217","York Lake stand 2","FAGR",0.042665969828403
"218","Algonquin State Forest stand 1-14","FRAM",3.52455466185227
"219","Alpaca stand 66-30","FRAM",2.49634892753802
"220","Balance Rock State Park","FRAM",1.98750581574684
"221","Camel's Hump SP stand 1-3-8","FRAM",4.94853587966138
"222","Camel's Hump SP stand 1-4-5","FRAM",3.16763174429907
"223","Camel's Hump SP stand 2-2-14","FRAM",2.0372623601944
"224","Camel's Hump SP stand 2-2-4","FRAM",1.75391372930651
"225","Camel's Hump SP stand 2-3-1","FRAM",2.8697435726912
"226","Cardigan Mountain State Forest comp 1, stand 1","FRAM",2.28102874436256
"227","Cardigan Mountain State Forest comp 6, stand 2","FRAM",1.54110337127187
"228","Clam Dam unit 1","FRAM",5.17078368233704
"229","Clam Dam unit 3","FRAM",2.67804437436731
"230","Clements Woodlot East","FRAM",3.09169157485357
"231","Cook Brook stand 62-6","FRAM",2.81774791489378
"232","County Rd ash salvage","FRAM",2.89311592615597
"233","Dennis Hill State Park stand 1","FRAM",4.53350871256635
"234","Groton State Forest stand 3-9-6","FRAM",2.83231004060848
"235","Haystack Mountain State Park","FRAM",3.37576539919205
"236","Heaphy Richardson Lot","FRAM",2.72114432717078
"237","Hill Roberts property","FRAM",2.0186908352227
"238","Holbrook State Park stand 1-1-8","FRAM",1.95190057540738
"239","Housatonic State Forest stand 16-1","FRAM",5.59610925918677
"240","Jason Mills property stand 1","FRAM",2.18666249865663
"241","Jason Mills property stand 3","FRAM",1.54708122925111
"242","Jason Mills property stand 7","FRAM",3.27042911492285
"243","Joe Nelson property","FRAM",1.64854367638777
"244","Kearsarge Mountain State Forest comp 4, stand 26","FRAM",1.80272440444616
"245","Long Pond harvested","FRAM",1.90532567592952
"246","Long Pond unharvested","FRAM",1.84504951147165
"247","Mad Tom stand 58-14","FRAM",1.95384033460486
"248","Mathewson State Forest stand 3-1-11","FRAM",1.10785594575088
"249","Mud Pond 2013-14","FRAM",2.95131957309924
"250","Mud Pond 2019","FRAM",1.80200860393074
"251","Mud Pond unharvested","FRAM",2.17460728848208
