"","plot_ID","tree_ID","species","DBH_cm","status","height_m","decay_class","to.be.cut","notes.x","harvest_status","gap_status","date","site_name","measured_by","tallied_by","entered_by","notes.y","Property","Stand_name","ASH_stump_DBH","BA_sqm","diam_in","height_ft","stump_DBH_in","stump_DBH_cm"
"1","ASF114unh1",1,"ACSA",36.9,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.10694059932636,14.5275669,NA,0,0
"2","ASF114unh1",2,"ACSA",40.5,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.128824933751266,15.9448905,NA,0,0
"3","ASF114unh1",3,"FRAM",40.4,"snag",15.2,1,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.128189546637078,15.9055204,49.868768,0,0
"4","ASF114unh1",4,"OSVI",21.4,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0359680942909495,8.4252014,NA,0,0
"5","ASF114unh1",5,"OSVI",13.5,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0143138815279185,5.3149635,NA,0,0
"6","ASF114unh1",6,"OSVI",10.3,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.00833228911548353,4.0551203,NA,0,0
"7","ASF114unh1",7,"OSVI",22,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0380132711084365,8.661422,NA,0,0
"8","ASF114unh1",8,"FRAM",36.2,"snag",15.2,1,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.102921716924255,14.2519762,49.868768,0,0
"9","ASF114unh1",9,"UNK",18,"snag",20,2,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0254469004940773,7.086618,65.6168,0,0
"10","ASF114unh1",10,"QURU",56.9,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.254281294779721,22.4015869,NA,0,0
